LOF_2014_ABS;#Cidade;LOF_2014_REL;#Cidade;LOF_2014_REL_NOR;#Cidade;LOF_2014_SUA;#Cidade;LOF_2014_SUA_NOR;#Cidade
1,08;SENHORA DE OLIVEIRA - MG;1,12;SENHORA DE OLIVEIRA - MG;1,33;SENHORA DE OLIVEIRA - MG;1,11;SENHORA DE OLIVEIRA - MG;1,13;SENHORA DE OLIVEIRA - MG
1,09;AURELINO LEAL - BA;1,02;AURELINO LEAL - BA;1,39;AURELINO LEAL - BA;1,17;AURELINO LEAL - BA;1,12;AURELINO LEAL - BA
1,11;PETROLÂNDIA - PE;1,12;PETROLÂNDIA - PE;1,42;PETROLÂNDIA - PE;1,23;PETROLÂNDIA - PE;1,2;PETROLÂNDIA - PE
0,99;FILADÉLFIA - TO;1,01;FILADÉLFIA - TO;1,07;FILADÉLFIA - TO;1,01;FILADÉLFIA - TO;1,02;FILADÉLFIA - TO
1,28;GENERAL SALGADO - SP;1,27;GENERAL SALGADO - SP;1,35;GENERAL SALGADO - SP;1,17;GENERAL SALGADO - SP;1,3;GENERAL SALGADO - SP
1,15;URUSSANGA - SC;1,09;URUSSANGA - SC;1,34;URUSSANGA - SC;1,02;URUSSANGA - SC;1,06;URUSSANGA - SC
1,37;PARECI NOVO - RS;1,46;PARECI NOVO - RS;1,88;PARECI NOVO - RS;1,23;PARECI NOVO - RS;1,38;PARECI NOVO - RS
1,07;SANTANA DO ITARARÉ - PR;1,1;SANTANA DO ITARARÉ - PR;1,29;SANTANA DO ITARARÉ - PR;1,06;SANTANA DO ITARARÉ - PR;1,06;SANTANA DO ITARARÉ - PR
1,32;ANÁPOLIS - GO;1,32;ANÁPOLIS - GO;1,44;ANÁPOLIS - GO;1,14;ANÁPOLIS - GO;1,08;ANÁPOLIS - GO
1,09;ÁGUA SANTA - RS;1,11;ÁGUA SANTA - RS;1,47;ÁGUA SANTA - RS;1,04;ÁGUA SANTA - RS;1,05;ÁGUA SANTA - RS
1,26;SANTO ANTÔNIO DO PALMA - RS;1,38;SANTO ANTÔNIO DO PALMA - RS;2,66;SANTO ANTÔNIO DO PALMA - RS;1,13;SANTO ANTÔNIO DO PALMA - RS;1,88;SANTO ANTÔNIO DO PALMA - RS
1,14;GUAMIRANGA - PR;1,08;GUAMIRANGA - PR;1,15;GUAMIRANGA - PR;1,09;GUAMIRANGA - PR;1,09;GUAMIRANGA - PR
1,25;MORRO GRANDE - SC;1,27;MORRO GRANDE - SC;1,28;MORRO GRANDE - SC;1,12;MORRO GRANDE - SC;1,15;MORRO GRANDE - SC
0,99;MASSAPÊ DO PIAUÍ - PI;0,99;MASSAPÊ DO PIAUÍ - PI;1,01;MASSAPÊ DO PIAUÍ - PI;1,08;MASSAPÊ DO PIAUÍ - PI;1,06;MASSAPÊ DO PIAUÍ - PI
1,05;CASTELO DO PIAUÍ - PI;1,04;CASTELO DO PIAUÍ - PI;1,21;CASTELO DO PIAUÍ - PI;1,44;CASTELO DO PIAUÍ - PI;1,33;CASTELO DO PIAUÍ - PI
1,18;PIÚMA - ES;1,16;PIÚMA - ES;1,41;PIÚMA - ES;1,14;PIÚMA - ES;1,13;PIÚMA - ES
1,08;MIRANDA - MS;1,01;MIRANDA - MS;1,31;MIRANDA - MS;1,21;MIRANDA - MS;1,2;MIRANDA - MS
1,19;QUIRINÓPOLIS - GO;1,14;QUIRINÓPOLIS - GO;1,15;QUIRINÓPOLIS - GO;1,07;QUIRINÓPOLIS - GO;1,08;QUIRINÓPOLIS - GO
1,1;TURMALINA - SP;1,29;TURMALINA - SP;1,51;TURMALINA - SP;1,02;TURMALINA - SP;1,07;TURMALINA - SP
1,32;NOVA LONDRINA - PR;1,2;NOVA LONDRINA - PR;1,27;NOVA LONDRINA - PR;1,15;NOVA LONDRINA - PR;1,17;NOVA LONDRINA - PR
1,41;IPATINGA - MG;1,4;IPATINGA - MG;1,57;IPATINGA - MG;1,29;IPATINGA - MG;1,22;IPATINGA - MG
1,02;PARANAPUÃ - SP;1,12;PARANAPUÃ - SP;1,25;PARANAPUÃ - SP;0,98;PARANAPUÃ - SP;0,98;PARANAPUÃ - SP
1,08;HERVEIRAS - RS;1,13;HERVEIRAS - RS;1,44;HERVEIRAS - RS;1,13;HERVEIRAS - RS;1,13;HERVEIRAS - RS
1,05;IBIRÁ - SP;1,04;IBIRÁ - SP;1,35;IBIRÁ - SP;1,01;IBIRÁ - SP;1,02;IBIRÁ - SP
1,23;GIRUÁ - RS;1,27;GIRUÁ - RS;1,23;GIRUÁ - RS;1,06;GIRUÁ - RS;1,06;GIRUÁ - RS
0,99;MIMOSO DE GOIÁS - GO;1,08;MIMOSO DE GOIÁS - GO;1,2;MIMOSO DE GOIÁS - GO;1,06;MIMOSO DE GOIÁS - GO;1,08;MIMOSO DE GOIÁS - GO
1,28;SOBRAL - CE;1,26;SOBRAL - CE;1,49;SOBRAL - CE;1,5;SOBRAL - CE;1,47;SOBRAL - CE
1,06;IBIRAPUÃ - BA;1,03;IBIRAPUÃ - BA;1,55;IBIRAPUÃ - BA;1,09;IBIRAPUÃ - BA;1,24;IBIRAPUÃ - BA
1,06;NOVO CABRAIS - RS;1,13;NOVO CABRAIS - RS;1,39;NOVO CABRAIS - RS;1,01;NOVO CABRAIS - RS;1,02;NOVO CABRAIS - RS
2,4;DUQUE DE CAXIAS - RJ;1,47;DUQUE DE CAXIAS - RJ;1,48;DUQUE DE CAXIAS - RJ;1,33;DUQUE DE CAXIAS - RJ;1,21;DUQUE DE CAXIAS - RJ
1,06;CACIQUE DOBLE - RS;1,14;CACIQUE DOBLE - RS;1,28;CACIQUE DOBLE - RS;1,09;CACIQUE DOBLE - RS;1,06;CACIQUE DOBLE - RS
1,19;IRANDUBA - AM;1,03;IRANDUBA - AM;1,03;IRANDUBA - AM;1,06;IRANDUBA - AM;1,09;IRANDUBA - AM
0,99;SANTA CRUZ DE SALINAS - MG;1,05;SANTA CRUZ DE SALINAS - MG;1,4;SANTA CRUZ DE SALINAS - MG;1,18;SANTA CRUZ DE SALINAS - MG;1,04;SANTA CRUZ DE SALINAS - MG
1,03;TABAPUÃ - SP;1,03;TABAPUÃ - SP;1,21;TABAPUÃ - SP;1,01;TABAPUÃ - SP;1,03;TABAPUÃ - SP
1,02;PRESIDENTE KUBITSCHEK - MG;1,21;PRESIDENTE KUBITSCHEK - MG;1,56;PRESIDENTE KUBITSCHEK - MG;1,04;PRESIDENTE KUBITSCHEK - MG;1,04;PRESIDENTE KUBITSCHEK - MG
1,07;PARAGUAÇU - MG;1,03;PARAGUAÇU - MG;1,05;PARAGUAÇU - MG;1,04;PARAGUAÇU - MG;1,09;PARAGUAÇU - MG
1,39;PITANGA - PR;1,34;PITANGA - PR;1,52;PITANGA - PR;1,25;PITANGA - PR;1,27;PITANGA - PR
1,36;FAXINAL DO SOTURNO - RS;1,33;FAXINAL DO SOTURNO - RS;1,28;FAXINAL DO SOTURNO - RS;1,01;FAXINAL DO SOTURNO - RS;1,03;FAXINAL DO SOTURNO - RS
1,05;BIRITINGA - BA;1,03;BIRITINGA - BA;1,08;BIRITINGA - BA;1,13;BIRITINGA - BA;1,15;BIRITINGA - BA
1,09;JACOBINA - BA;1,04;JACOBINA - BA;1,05;JACOBINA - BA;1,09;JACOBINA - BA;1,18;JACOBINA - BA
1,2;SÃO FÉLIX DO TOCANTINS - TO;1,4;SÃO FÉLIX DO TOCANTINS - TO;2,64;SÃO FÉLIX DO TOCANTINS - TO;1,19;SÃO FÉLIX DO TOCANTINS - TO;1,35;SÃO FÉLIX DO TOCANTINS - TO
1,02;JUAZEIRO DO PIAUÍ - PI;1,04;JUAZEIRO DO PIAUÍ - PI;1,15;JUAZEIRO DO PIAUÍ - PI;1,05;JUAZEIRO DO PIAUÍ - PI;1,02;JUAZEIRO DO PIAUÍ - PI
1,04;NOVA AURORA - GO;1,2;NOVA AURORA - GO;1,69;NOVA AURORA - GO;1,19;NOVA AURORA - GO;1,19;NOVA AURORA - GO
1,06;HORIZONTE - CE;1,08;HORIZONTE - CE;1,26;HORIZONTE - CE;1,06;HORIZONTE - CE;1,09;HORIZONTE - CE
1,01;IVORÁ - RS;1,09;IVORÁ - RS;1,57;IVORÁ - RS;1,08;IVORÁ - RS;1,05;IVORÁ - RS
1,15;MARCELINO RAMOS - RS;1,24;MARCELINO RAMOS - RS;1,31;MARCELINO RAMOS - RS;1,03;MARCELINO RAMOS - RS;1,02;MARCELINO RAMOS - RS
1,07;AUGUSTINÓPOLIS - TO;1,09;AUGUSTINÓPOLIS - TO;1,19;AUGUSTINÓPOLIS - TO;1,18;AUGUSTINÓPOLIS - TO;1,27;AUGUSTINÓPOLIS - TO
1,02;REGENERAÇÃO - PI;0,99;REGENERAÇÃO - PI;1,04;REGENERAÇÃO - PI;1,16;REGENERAÇÃO - PI;1,23;REGENERAÇÃO - PI
1,01;NOVA REDENÇÃO - BA;0,97;NOVA REDENÇÃO - BA;0,96;NOVA REDENÇÃO - BA;1,01;NOVA REDENÇÃO - BA;1,01;NOVA REDENÇÃO - BA
1,29;VIAMÃO - RS;1,2;VIAMÃO - RS;1,21;VIAMÃO - RS;1,18;VIAMÃO - RS;1,12;VIAMÃO - RS
1,15;BARRACÃO - RS;1,17;BARRACÃO - RS;1,51;BARRACÃO - RS;1,09;BARRACÃO - RS;1,1;BARRACÃO - RS
1,1;CHUÍ - RS;1,14;CHUÍ - RS;1,35;CHUÍ - RS;1,24;CHUÍ - RS;1,17;CHUÍ - RS
1,05;SÃO PAULO DE OLIVENÇA - AM;1,01;SÃO PAULO DE OLIVENÇA - AM;0,99;SÃO PAULO DE OLIVENÇA - AM;1,16;SÃO PAULO DE OLIVENÇA - AM;1,18;SÃO PAULO DE OLIVENÇA - AM
0,98;SÃO JOSÉ DO PEIXE - PI;1,08;SÃO JOSÉ DO PEIXE - PI;1,16;SÃO JOSÉ DO PEIXE - PI;1,06;SÃO JOSÉ DO PEIXE - PI;1,08;SÃO JOSÉ DO PEIXE - PI
0,98;VIEIRÓPOLIS - PB;1,02;VIEIRÓPOLIS - PB;1,08;VIEIRÓPOLIS - PB;0,97;VIEIRÓPOLIS - PB;0,99;VIEIRÓPOLIS - PB
1,16;ICAPUÍ - CE;1,2;ICAPUÍ - CE;1,44;ICAPUÍ - CE;1,07;ICAPUÍ - CE;1,2;ICAPUÍ - CE
1,11;SÃO PEDRO DO IGUAÇU - PR;1,06;SÃO PEDRO DO IGUAÇU - PR;1,2;SÃO PEDRO DO IGUAÇU - PR;1,04;SÃO PEDRO DO IGUAÇU - PR;1,02;SÃO PEDRO DO IGUAÇU - PR
0,97;CARRASCO BONITO - TO;1,16;CARRASCO BONITO - TO;4,2;CARRASCO BONITO - TO;1,24;CARRASCO BONITO - TO;1,98;CARRASCO BONITO - TO
1,23;IRACEMÁPOLIS - SP;1,21;IRACEMÁPOLIS - SP;1,24;IRACEMÁPOLIS - SP;1,24;IRACEMÁPOLIS - SP;1,16;IRACEMÁPOLIS - SP
1,03;IPAUSSU - SP;1,07;IPAUSSU - SP;1,33;IPAUSSU - SP;1,1;IPAUSSU - SP;1,09;IPAUSSU - SP
1,05;SÃO JOÃO DO ARRAIAL - PI;1,03;SÃO JOÃO DO ARRAIAL - PI;1;SÃO JOÃO DO ARRAIAL - PI;1,02;SÃO JOÃO DO ARRAIAL - PI;1,03;SÃO JOÃO DO ARRAIAL - PI
1,1;TIMBAÚBA - PE;1,03;TIMBAÚBA - PE;1,04;TIMBAÚBA - PE;1,19;TIMBAÚBA - PE;1,2;TIMBAÚBA - PE
1,05;GRAVATÁ - PE;1,03;GRAVATÁ - PE;1,06;GRAVATÁ - PE;1,18;GRAVATÁ - PE;1,21;GRAVATÁ - PE
1,04;LEME DO PRADO - MG;1,14;LEME DO PRADO - MG;1,59;LEME DO PRADO - MG;1,05;LEME DO PRADO - MG;1,05;LEME DO PRADO - MG
1,16;MACHADINHO - RS;1,08;MACHADINHO - RS;1,39;MACHADINHO - RS;1,03;MACHADINHO - RS;1,03;MACHADINHO - RS
1,05;ITIÚBA - BA;1,02;ITIÚBA - BA;1,01;ITIÚBA - BA;0,97;ITIÚBA - BA;1,03;ITIÚBA - BA
1,3;POJUCA - BA;1,32;POJUCA - BA;1,3;POJUCA - BA;1,19;POJUCA - BA;1,15;POJUCA - BA
1,16;PARAMIRIM - BA;1,09;PARAMIRIM - BA;1,2;PARAMIRIM - BA;0,99;PARAMIRIM - BA;1,02;PARAMIRIM - BA
1,06;BOM JARDIM DE GOIÁS - GO;1,06;BOM JARDIM DE GOIÁS - GO;1,11;BOM JARDIM DE GOIÁS - GO;1,18;BOM JARDIM DE GOIÁS - GO;1,21;BOM JARDIM DE GOIÁS - GO
1,07;SANTA ALBERTINA - SP;1,08;SANTA ALBERTINA - SP;1,21;SANTA ALBERTINA - SP;1,13;SANTA ALBERTINA - SP;1,06;SANTA ALBERTINA - SP
1,09;BACURITUBA - MA;1,17;BACURITUBA - MA;1,34;BACURITUBA - MA;0,99;BACURITUBA - MA;0,99;BACURITUBA - MA
1,07;FAROL - PR;1,1;FAROL - PR;1,58;FAROL - PR;1,09;FAROL - PR;1,1;FAROL - PR
1,17;GLÓRIA DE DOURADOS - MS;1,11;GLÓRIA DE DOURADOS - MS;1,23;GLÓRIA DE DOURADOS - MS;1,1;GLÓRIA DE DOURADOS - MS;1,07;GLÓRIA DE DOURADOS - MS
1,33;HORTOLÂNDIA - SP;1,2;HORTOLÂNDIA - SP;1,31;HORTOLÂNDIA - SP;1,22;HORTOLÂNDIA - SP;1,2;HORTOLÂNDIA - SP
1,09;MANDAGUARI - PR;1,05;MANDAGUARI - PR;1,23;MANDAGUARI - PR;1,24;MANDAGUARI - PR;1,24;MANDAGUARI - PR
1,03;VILA PAVÃO - ES;1,07;VILA PAVÃO - ES;1,62;VILA PAVÃO - ES;1,29;VILA PAVÃO - ES;1,23;VILA PAVÃO - ES
1,1;VITOR MEIRELES - SC;1,1;VITOR MEIRELES - SC;1,4;VITOR MEIRELES - SC;1,01;VITOR MEIRELES - SC;1,03;VITOR MEIRELES - SC
1,21;PROFESSOR JAMIL - GO;1,69;PROFESSOR JAMIL - GO;1,72;PROFESSOR JAMIL - GO;1,17;PROFESSOR JAMIL - GO;1,22;PROFESSOR JAMIL - GO
1,29;ÁGUAS VERMELHAS - MG;1,14;ÁGUAS VERMELHAS - MG;1,4;ÁGUAS VERMELHAS - MG;1;ÁGUAS VERMELHAS - MG;1,01;ÁGUAS VERMELHAS - MG
1,31;SOLEDADE - RS;1,16;SOLEDADE - RS;1,1;SOLEDADE - RS;1;SOLEDADE - RS;1,01;SOLEDADE - RS
1,06;SANTO ANTÔNIO DO LESTE - MT;1,09;SANTO ANTÔNIO DO LESTE - MT;1,33;SANTO ANTÔNIO DO LESTE - MT;1,06;SANTO ANTÔNIO DO LESTE - MT;1,04;SANTO ANTÔNIO DO LESTE - MT
1,26;NOVA ERA - MG;1,15;NOVA ERA - MG;1,31;NOVA ERA - MG;1;NOVA ERA - MG;1,01;NOVA ERA - MG
1,07;BRAÇO DO TROMBUDO - SC;1,1;BRAÇO DO TROMBUDO - SC;1,48;BRAÇO DO TROMBUDO - SC;1;BRAÇO DO TROMBUDO - SC;1;BRAÇO DO TROMBUDO - SC
1,18;SÃO VICENTE FERRER - PE;1,07;SÃO VICENTE FERRER - PE;1,07;SÃO VICENTE FERRER - PE;1,04;SÃO VICENTE FERRER - PE;1,05;SÃO VICENTE FERRER - PE
1,18;TARUMÃ - SP;1,09;TARUMÃ - SP;1,46;TARUMÃ - SP;1,24;TARUMÃ - SP;1,28;TARUMÃ - SP
1,01;ITAMBÉ - BA;1,01;ITAMBÉ - BA;1,03;ITAMBÉ - BA;1,04;ITAMBÉ - BA;1,12;ITAMBÉ - BA
1,35;HARMONIA - RS;1,31;HARMONIA - RS;1,81;HARMONIA - RS;1,26;HARMONIA - RS;1,18;HARMONIA - RS
1,25;ARUJÁ - SP;1,11;ARUJÁ - SP;1,42;ARUJÁ - SP;1,3;ARUJÁ - SP;1,32;ARUJÁ - SP
1,39;ITACURUBA - PE;1,36;ITACURUBA - PE;1,49;ITACURUBA - PE;1,17;ITACURUBA - PE;1,17;ITACURUBA - PE
1,1;IRAÍ - RS;1,09;IRAÍ - RS;1,36;IRAÍ - RS;1,15;IRAÍ - RS;1,13;IRAÍ - RS
0,99;NOVA CAMPINA - SP;1,05;NOVA CAMPINA - SP;1,09;NOVA CAMPINA - SP;0,99;NOVA CAMPINA - SP;0,99;NOVA CAMPINA - SP
1,33;PINHEIRO MACHADO - RS;1,38;PINHEIRO MACHADO - RS;1,9;PINHEIRO MACHADO - RS;1,1;PINHEIRO MACHADO - RS;1,17;PINHEIRO MACHADO - RS
1,47;PATO BRAGADO - PR;1,28;PATO BRAGADO - PR;1,59;PATO BRAGADO - PR;1,06;PATO BRAGADO - PR;1,06;PATO BRAGADO - PR
1,24;ÁGUAS DE LINDÓIA - SP;1,37;ÁGUAS DE LINDÓIA - SP;1,66;ÁGUAS DE LINDÓIA - SP;1,2;ÁGUAS DE LINDÓIA - SP;1,25;ÁGUAS DE LINDÓIA - SP
1,06;PALMEIRAS - BA;1,05;PALMEIRAS - BA;1,09;PALMEIRAS - BA;1,25;PALMEIRAS - BA;1,19;PALMEIRAS - BA
1,42;COLINA - SP;1,47;COLINA - SP;1,62;COLINA - SP;1,07;COLINA - SP;1,09;COLINA - SP
0,99;BARRA FUNDA - RS;1,11;BARRA FUNDA - RS;1,33;BARRA FUNDA - RS;1,09;BARRA FUNDA - RS;1,11;BARRA FUNDA - RS
1,1;SÃO ROMÃO - MG;1,04;SÃO ROMÃO - MG;1,25;SÃO ROMÃO - MG;1,08;SÃO ROMÃO - MG;1,01;SÃO ROMÃO - MG
1,39;MURIAÉ - MG;1,3;MURIAÉ - MG;1,18;MURIAÉ - MG;1,29;MURIAÉ - MG;1,25;MURIAÉ - MG
1,15;GARANHUNS - PE;1,05;GARANHUNS - PE;1,05;GARANHUNS - PE;1,24;GARANHUNS - PE;1,14;GARANHUNS - PE
1,11;IVINHEMA - MS;1,07;IVINHEMA - MS;1,23;IVINHEMA - MS;1,06;IVINHEMA - MS;1,1;IVINHEMA - MS
1,09;BELA VISTA DO MARANHÃO - MA;1,32;BELA VISTA DO MARANHÃO - MA;1,55;BELA VISTA DO MARANHÃO - MA;1,2;BELA VISTA DO MARANHÃO - MA;1,19;BELA VISTA DO MARANHÃO - MA
1,32;BANDEIRANTES - PR;1,16;BANDEIRANTES - PR;1,24;BANDEIRANTES - PR;1,27;BANDEIRANTES - PR;1,37;BANDEIRANTES - PR
1,02;ENTRE RIOS - BA;0,97;ENTRE RIOS - BA;1,19;ENTRE RIOS - BA;1,25;ENTRE RIOS - BA;1,18;ENTRE RIOS - BA
1,08;SONORA - MS;1,02;SONORA - MS;1,3;SONORA - MS;1,19;SONORA - MS;1,19;SONORA - MS
1,07;SAPUCAIA - PA;1,22;SAPUCAIA - PA;1,59;SAPUCAIA - PA;1,25;SAPUCAIA - PA;1,16;SAPUCAIA - PA
1,16;PUTINGA - RS;1,19;PUTINGA - RS;1,4;PUTINGA - RS;1,02;PUTINGA - RS;1,06;PUTINGA - RS
1,08;SANTO ESTÊVÃO - BA;1,06;SANTO ESTÊVÃO - BA;1,1;SANTO ESTÊVÃO - BA;1,21;SANTO ESTÊVÃO - BA;1,21;SANTO ESTÊVÃO - BA
1,14;JEQUIÉ - BA;1,06;JEQUIÉ - BA;1,02;JEQUIÉ - BA;1,24;JEQUIÉ - BA;1,3;JEQUIÉ - BA
1,45;HERVAL - RS;1,35;HERVAL - RS;1,48;HERVAL - RS;1,09;HERVAL - RS;1,23;HERVAL - RS
1,08;SOCORRO - SP;1,17;SOCORRO - SP;1,61;SOCORRO - SP;1,1;SOCORRO - SP;1,12;SOCORRO - SP
1,47;ALIANÇA - PE;1,37;ALIANÇA - PE;1,29;ALIANÇA - PE;1,19;ALIANÇA - PE;1,27;ALIANÇA - PE
1,21;PIÇARRA - PA;1,39;PIÇARRA - PA;1,41;PIÇARRA - PA;1,16;PIÇARRA - PA;1,18;PIÇARRA - PA
1,03;PRATÂNIA - SP;1,07;PRATÂNIA - SP;1,31;PRATÂNIA - SP;1,08;PRATÂNIA - SP;1,06;PRATÂNIA - SP
1,18;SILVEIRAS - SP;1,16;SILVEIRAS - SP;1,3;SILVEIRAS - SP;1,07;SILVEIRAS - SP;1,07;SILVEIRAS - SP
1;MAURILÂNDIA DO TOCANTINS - TO;1,1;MAURILÂNDIA DO TOCANTINS - TO;1,45;MAURILÂNDIA DO TOCANTINS - TO;1,07;MAURILÂNDIA DO TOCANTINS - TO;1,08;MAURILÂNDIA DO TOCANTINS - TO
1,01;ADUSTINA - BA;1;ADUSTINA - BA;0,98;ADUSTINA - BA;1,06;ADUSTINA - BA;1,07;ADUSTINA - BA
1,06;CONCEIÇÃO DO COITÉ - BA;1,02;CONCEIÇÃO DO COITÉ - BA;1,02;CONCEIÇÃO DO COITÉ - BA;1,26;CONCEIÇÃO DO COITÉ - BA;1,3;CONCEIÇÃO DO COITÉ - BA
1,25;CAMPO NOVO DE RONDÔNIA - RO;1,13;CAMPO NOVO DE RONDÔNIA - RO;1,26;CAMPO NOVO DE RONDÔNIA - RO;1,08;CAMPO NOVO DE RONDÔNIA - RO;1,11;CAMPO NOVO DE RONDÔNIA - RO
1,16;PALMITINHO - RS;1,17;PALMITINHO - RS;1,29;PALMITINHO - RS;1,04;PALMITINHO - RS;1,02;PALMITINHO - RS
1,52;ESTRELA - RS;1,28;ESTRELA - RS;1,83;ESTRELA - RS;1,08;ESTRELA - RS;1,13;ESTRELA - RS
1,05;LUNARDELLI - PR;1,12;LUNARDELLI - PR;1,47;LUNARDELLI - PR;1,14;LUNARDELLI - PR;1,13;LUNARDELLI - PR
1,21;PIRAPETINGA - MG;1,11;PIRAPETINGA - MG;1,22;PIRAPETINGA - MG;1,01;PIRAPETINGA - MG;1,01;PIRAPETINGA - MG
1,13;PEDERNEIRAS - SP;1,24;PEDERNEIRAS - SP;1,94;PEDERNEIRAS - SP;1,43;PEDERNEIRAS - SP;1,29;PEDERNEIRAS - SP
1,52;NONOAI - RS;1,55;NONOAI - RS;2,01;NONOAI - RS;1,07;NONOAI - RS;1,09;NONOAI - RS
1,5;CAMPINA GRANDE DO SUL - PR;1,31;CAMPINA GRANDE DO SUL - PR;1,43;CAMPINA GRANDE DO SUL - PR;1,22;CAMPINA GRANDE DO SUL - PR;1,21;CAMPINA GRANDE DO SUL - PR
2,3;CARLOS BARBOSA - RS;1,46;CARLOS BARBOSA - RS;2,08;CARLOS BARBOSA - RS;1,15;CARLOS BARBOSA - RS;1,24;CARLOS BARBOSA - RS
1,1;VICENTE DUTRA - RS;1,15;VICENTE DUTRA - RS;1,51;VICENTE DUTRA - RS;1,05;VICENTE DUTRA - RS;1,06;VICENTE DUTRA - RS
1,05;MARIANO MORO - RS;1,2;MARIANO MORO - RS;1,42;MARIANO MORO - RS;1,05;MARIANO MORO - RS;1,06;MARIANO MORO - RS
1,47;CAMAÇARI - BA;1,47;CAMAÇARI - BA;1,44;CAMAÇARI - BA;1,14;CAMAÇARI - BA;1,16;CAMAÇARI - BA
1,16;MINAS NOVAS - MG;1,08;MINAS NOVAS - MG;1,11;MINAS NOVAS - MG;1,1;MINAS NOVAS - MG;1,05;MINAS NOVAS - MG
1,3;ITUPEVA - SP;1,13;ITUPEVA - SP;2,51;ITUPEVA - SP;1,45;ITUPEVA - SP;2,01;ITUPEVA - SP
1,15;AMAPORÃ - PR;1,13;AMAPORÃ - PR;1,28;AMAPORÃ - PR;1,12;AMAPORÃ - PR;1,1;AMAPORÃ - PR
1,2;CAMAQUÃ - RS;1,14;CAMAQUÃ - RS;1,36;CAMAQUÃ - RS;1,05;CAMAQUÃ - RS;1,05;CAMAQUÃ - RS
1,1;ITAÍBA - PE;1,18;ITAÍBA - PE;1,14;ITAÍBA - PE;0,99;ITAÍBA - PE;1;ITAÍBA - PE
1,56;MARILAC - MG;1,57;MARILAC - MG;2,09;MARILAC - MG;1,1;MARILAC - MG;1,1;MARILAC - MG
1,12;BELA VISTA DE GOIÁS - GO;1,04;BELA VISTA DE GOIÁS - GO;1,31;BELA VISTA DE GOIÁS - GO;1,19;BELA VISTA DE GOIÁS - GO;1,08;BELA VISTA DE GOIÁS - GO
1,15;PINTO BANDEIRA - RS;1,21;PINTO BANDEIRA - RS;1,75;PINTO BANDEIRA - RS;1,13;PINTO BANDEIRA - RS;1,97;PINTO BANDEIRA - RS
1;AVELINÓPOLIS - GO;1,17;AVELINÓPOLIS - GO;1,71;AVELINÓPOLIS - GO;1,15;AVELINÓPOLIS - GO;1,29;AVELINÓPOLIS - GO
1,17;NOVO AIRÃO - AM;1,12;NOVO AIRÃO - AM;1,21;NOVO AIRÃO - AM;1,13;NOVO AIRÃO - AM;1,89;NOVO AIRÃO - AM
1,2;NATIVIDADE DA SERRA - SP;1,12;NATIVIDADE DA SERRA - SP;1,39;NATIVIDADE DA SERRA - SP;1,17;NATIVIDADE DA SERRA - SP;1,28;NATIVIDADE DA SERRA - SP
1,04;ACOPIARA - CE;0,98;ACOPIARA - CE;0,97;ACOPIARA - CE;1,01;ACOPIARA - CE;1,07;ACOPIARA - CE
1,22;PASSO FUNDO - RS;1,15;PASSO FUNDO - RS;1,56;PASSO FUNDO - RS;1,06;PASSO FUNDO - RS;1,08;PASSO FUNDO - RS
1,38;CÂNDIDO MOTA - SP;1,16;CÂNDIDO MOTA - SP;1,17;CÂNDIDO MOTA - SP;1,03;CÂNDIDO MOTA - SP;1,06;CÂNDIDO MOTA - SP
1,23;MARECHAL CÂNDIDO RONDON - PR;1,09;MARECHAL CÂNDIDO RONDON - PR;1,38;MARECHAL CÂNDIDO RONDON - PR;1,14;MARECHAL CÂNDIDO RONDON - PR;1,1;MARECHAL CÂNDIDO RONDON - PR
1,02;PINHAL - RS;1,14;PINHAL - RS;1,34;PINHAL - RS;1,04;PINHAL - RS;1,03;PINHAL - RS
0,98;SÃO MIGUEL DO TAPUIO - PI;0,97;SÃO MIGUEL DO TAPUIO - PI;0,96;SÃO MIGUEL DO TAPUIO - PI;0,99;SÃO MIGUEL DO TAPUIO - PI;1,01;SÃO MIGUEL DO TAPUIO - PI
1,31;ALVORADA DE MINAS - MG;1,62;ALVORADA DE MINAS - MG;2,53;ALVORADA DE MINAS - MG;1,12;ALVORADA DE MINAS - MG;1,12;ALVORADA DE MINAS - MG
1,72;EMBU DAS ARTES - SP;1,25;EMBU DAS ARTES - SP;1,58;EMBU DAS ARTES - SP;1,26;EMBU DAS ARTES - SP;1,23;EMBU DAS ARTES - SP
1,04;BUTIÁ - RS;1,03;BUTIÁ - RS;1,08;BUTIÁ - RS;1,09;BUTIÁ - RS;1,08;BUTIÁ - RS
1,01;IBITIÚRA DE MINAS - MG;1,13;IBITIÚRA DE MINAS - MG;1,35;IBITIÚRA DE MINAS - MG;1,28;IBITIÚRA DE MINAS - MG;1,34;IBITIÚRA DE MINAS - MG
1,26;NOVA VIÇOSA - BA;1,15;NOVA VIÇOSA - BA;1,54;NOVA VIÇOSA - BA;1,16;NOVA VIÇOSA - BA;1,16;NOVA VIÇOSA - BA
1,18;CÂNDIDO DE ABREU - PR;1,09;CÂNDIDO DE ABREU - PR;1,17;CÂNDIDO DE ABREU - PR;1,04;CÂNDIDO DE ABREU - PR;1,02;CÂNDIDO DE ABREU - PR
1,12;CENTRO NOVO DO MARANHÃO - MA;1,13;CENTRO NOVO DO MARANHÃO - MA;1,19;CENTRO NOVO DO MARANHÃO - MA;1,13;CENTRO NOVO DO MARANHÃO - MA;1,12;CENTRO NOVO DO MARANHÃO - MA
