LOF_2014_ABS;#Cidade;LOF_2014_REL;#Cidade;LOF_2014_REL_NOR;#Cidade;LOF_2014_SUA;#Cidade;LOF_2014_SUA_NOR;#Cidade
1,11;BOM SUCESSO DO SUL - PR;1,23;BOM SUCESSO DO SUL - PR;1,68;BOM SUCESSO DO SUL - PR;1,24;BOM SUCESSO DO SUL - PR;1,4;BOM SUCESSO DO SUL - PR
1,1;RELVADO - RS;1,21;RELVADO - RS;1,29;RELVADO - RS;1,02;RELVADO - RS;1,03;RELVADO - RS
1,22;RESENDE - RJ;1,13;RESENDE - RJ;1,34;RESENDE - RJ;1,1;RESENDE - RJ;1,14;RESENDE - RJ
1,02;VISTA ALEGRE DO ALTO - SP;1,07;VISTA ALEGRE DO ALTO - SP;1,23;VISTA ALEGRE DO ALTO - SP;1,16;VISTA ALEGRE DO ALTO - SP;1,15;VISTA ALEGRE DO ALTO - SP
1,98;CANDÓI - PR;1,36;CANDÓI - PR;1,5;CANDÓI - PR;1,22;CANDÓI - PR;1,22;CANDÓI - PR
1,4;MAUÁ - SP;1,4;MAUÁ - SP;1,74;MAUÁ - SP;1,41;MAUÁ - SP;1,22;MAUÁ - SP
1,07;GUARANI DE GOIÁS - GO;1,14;GUARANI DE GOIÁS - GO;1,33;GUARANI DE GOIÁS - GO;1,09;GUARANI DE GOIÁS - GO;1,09;GUARANI DE GOIÁS - GO
1,06;BRAGA - RS;1,09;BRAGA - RS;1,41;BRAGA - RS;1,12;BRAGA - RS;1,18;BRAGA - RS
1,28;TAPERA - RS;1,18;TAPERA - RS;1,45;TAPERA - RS;1,03;TAPERA - RS;1,05;TAPERA - RS
1,26;BILAC - SP;1,24;BILAC - SP;1,22;BILAC - SP;0,96;BILAC - SP;0,97;BILAC - SP
1,06;NOVA CANTU - PR;1,13;NOVA CANTU - PR;1,59;NOVA CANTU - PR;1,3;NOVA CANTU - PR;1,31;NOVA CANTU - PR
1,2;BARRETOS - SP;1,25;BARRETOS - SP;1,38;BARRETOS - SP;1,2;BARRETOS - SP;1,2;BARRETOS - SP
1,19;TRAVESSEIRO - RS;1,38;TRAVESSEIRO - RS;1,61;TRAVESSEIRO - RS;1,16;TRAVESSEIRO - RS;1,15;TRAVESSEIRO - RS
1,04;ARIRANHA - SP;1,12;ARIRANHA - SP;1,23;ARIRANHA - SP;0,99;ARIRANHA - SP;0,98;ARIRANHA - SP
1,19;POTIRENDABA - SP;1,22;POTIRENDABA - SP;1,36;POTIRENDABA - SP;1,06;POTIRENDABA - SP;1,07;POTIRENDABA - SP
