#Codigo;Legislativa(2014);Judiciária(2014);Essencial à Justiça(2014);Administração(2014);Defesa Nacional(2014);Segurança Pública(2014);Relações Exteriores(2014);Assistência Social(2014);Previdência Social(2014);Saúde(2014);Trabalho(2014);Educação(2014);Cultura(2014);Direitos da Cidadania(2014);Urbanismo(2014);Habitação(2014);Saneamento(2014);Gestão Ambiental(2014);Ciência e Tecnologia(2014);Agricultura(2014);Organização Agrária(2014);Indústria(2014);Comércio e Serviços(2014);Comunicações(2014);Energia(2014);Transporte(2014);Desporto e Lazer(2014);Encargos Especiais(2014);Despesas (Intraorçamentárias)(2014);Legislativa(2015);Judiciária(2015);Essencial à Justiça(2015);Administração(2015);Defesa Nacional(2015);Segurança Pública(2015);Relações Exteriores(2015);Assistência Social(2015);Previdência Social(2015);Saúde(2015);Trabalho(2015);Educação(2015);Cultura(2015);Direitos da Cidadania(2015);Urbanismo(2015);Habitação(2015);Saneamento(2015);Gestão Ambiental(2015);Ciência e Tecnologia(2015);Agricultura(2015);Organização Agrária(2015);Indústria(2015);Comércio e Serviços(2015);Comunicações(2015);Energia(2015);Transporte(2015);Desporto e Lazer(2015);Encargos Especiais(2015);Despesas (Intraorçamentárias)(2015)
315790;-0.21;-0.28;-0.15;-0.53;-0.08;-0.17;-0.01;-0.61;-0.64;0.03;0.64;-0.98;-0.25;-0.10;-0.46;-0.22;-0.41;0.34;-0.10;-0.43;-0.04;-0.17;-0.26;-0.08;-0.44;-0.39;-0.27;-0.58;-0.31;-0.32;-0.29;-0.08;-0.60;-0.08;-0.23;-0.02;-0.65;-0.66;-0.14;0.61;-1.25;-0.41;-0.12;-0.60;-0.16;-0.48;0.11;-0.11;-0.50;-0.04;-0.19;-0.25;0.01;-0.45;-0.05;-0.41;-0.53;-0.37
231095;-0.03;-0.28;-0.15;-0.23;-0.08;-0.32;-0.01;0.25;-0.64;-0.73;-0.22;0.05;-0.09;-0.10;0.56;-0.22;-0.20;-0.44;-0.10;-0.40;-0.04;-0.17;-0.26;-0.21;-0.44;-0.47;0.26;-0.62;-0.31;-0.02;-0.29;-0.08;-0.09;-0.08;-0.31;-0.02;0.32;-0.66;-0.68;-0.22;0.55;0.63;-0.12;0.02;-0.16;0.68;-0.41;-0.11;-0.40;-0.04;-0.19;-0.25;-0.22;-0.45;-0.46;-0.43;-0.61;-0.37
316320;0.64;-0.28;-0.15;0.25;-0.08;0.05;-0.01;-0.62;0.13;-0.63;4.45;-1.10;0.17;-0.10;0.06;-0.22;0.87;-0.44;-0.10;-0.56;-0.04;0.39;-0.26;-0.21;1.93;0.05;-0.60;-0.32;-0.31;0.72;-0.29;-0.08;0.18;-0.08;0.10;-0.02;-0.49;-0.66;-0.37;-0.22;-0.71;0.53;-0.12;-0.35;0.03;0.82;-0.26;-0.11;-0.30;-0.04;0.43;-0.25;-0.22;2.15;0.03;-0.46;-0.82;-0.37
430237;2.16;-0.28;-0.15;1.32;-0.08;-0.32;-0.01;2.00;-0.64;0.96;-0.22;1.77;-0.73;2.46;-0.19;-0.22;0.03;-0.44;-0.10;1.81;-0.04;-0.17;-0.26;-0.21;-0.44;1.35;-0.65;-0.81;-0.31;2.07;-0.29;-0.08;1.35;-0.08;-0.31;-0.02;1.82;-0.66;0.61;-0.22;1.43;-0.73;2.92;0.07;-0.16;0.70;-0.41;-0.11;2.06;-0.04;-0.19;-0.25;-0.22;-0.45;1.74;1.29;-0.82;-0.37
221005;-0.11;-0.28;-0.15;-0.32;-0.08;-0.32;-0.01;-0.39;-0.64;-0.31;-0.22;0.90;-0.56;-0.10;-0.30;-0.22;0.68;0.19;-0.10;-0.27;-0.04;-0.17;-0.26;0.74;1.24;-0.46;0.26;-0.71;-0.31;-0.16;-0.29;-0.08;-0.37;-0.08;-0.31;-0.02;-0.32;-0.66;-0.43;-0.22;0.51;-0.33;-0.03;-0.48;-0.16;-0.48;0.77;-0.11;-0.11;-0.04;-0.19;-0.25;1.24;1.81;-0.56;-0.03;-0.51;-0.37
410715;-1.21;-0.28;-0.15;-0.28;-0.08;-0.32;-0.01;1.63;-0.64;0.37;-0.22;-0.18;-0.17;-0.10;0.01;-0.22;-0.41;0.21;-0.10;0.73;-0.04;-0.17;-0.26;-0.21;-0.44;1.57;-0.38;0.40;-0.31;-1.27;-0.29;-0.08;-0.43;-0.08;-0.31;-0.02;2.24;-0.66;0.54;-0.22;0.15;0.24;-0.12;-0.02;-0.16;-0.48;1.12;-0.11;1.35;-0.04;-0.19;-0.25;-0.22;-0.45;1.29;-0.38;0.32;-0.37
353990;0.48;-0.28;-0.15;0.24;-0.08;-0.32;-0.01;0.63;-0.64;-0.02;-0.22;-0.74;-0.27;-0.10;0.58;-0.22;-0.41;-0.44;-0.10;-0.22;-0.04;-0.17;-0.26;-0.21;-0.44;0.02;-0.16;0.65;-0.31;0.46;-0.29;-0.08;0.10;-0.08;-0.31;-0.02;0.35;-0.66;-0.16;-0.22;-0.81;-0.34;-0.12;-0.10;-0.16;-0.48;-0.41;-0.11;-0.11;-0.04;-0.19;-0.25;-0.22;-0.45;-0.05;0.04;0.70;-0.37
410130;-1.21;-0.28;-0.15;-0.51;-0.08;-0.32;-0.01;-0.43;-0.64;0.04;-0.22;-0.73;-0.73;-0.10;-1.07;-0.22;-0.41;-0.44;-0.10;0.00;-0.04;-0.17;-0.26;-0.21;-0.44;1.62;0.99;-0.64;-0.31;-1.27;-0.29;-0.08;-0.30;-0.08;-0.31;-0.02;-0.31;-0.66;0.24;-0.22;-0.69;-0.73;-0.12;-1.07;-0.16;-0.48;-0.39;-0.11;-0.15;-0.04;-0.19;-0.25;-0.22;-0.45;2.08;0.48;-0.28;-0.37
350130;-0.37;-0.28;-0.15;-0.65;-0.08;-0.32;-0.01;0.20;0.04;-0.38;-0.22;-0.12;-0.59;-0.10;0.31;-0.22;-0.41;-0.44;-0.10;-0.10;-0.04;-0.17;-0.26;-0.21;-0.44;-0.52;-0.37;-0.31;-0.31;-0.49;-0.29;-0.08;-0.61;-0.08;-0.31;-0.02;-0.04;0.00;-0.31;-0.22;0.06;-0.73;-0.12;0.16;-0.16;-0.47;-0.41;-0.11;-0.16;-0.04;-0.19;-0.25;-0.22;-0.45;-0.56;-0.33;-0.37;-0.37
352080;1.19;-0.28;-0.15;-0.09;-0.08;-0.32;-0.01;0.99;-0.64;0.84;0.54;0.06;1.21;-0.10;2.53;-0.22;-0.41;-0.02;-0.10;0.04;-0.04;-0.17;-0.26;-0.21;-0.44;-0.52;0.95;0.41;-0.31;1.03;-0.29;-0.08;-0.01;-0.08;-0.31;-0.02;1.16;-0.66;0.90;0.35;0.05;1.13;-0.12;2.34;-0.16;-0.48;0.89;-0.11;-0.13;-0.04;-0.19;-0.25;-0.22;-0.45;-0.57;0.50;0.24;-0.37
