#Codigo;Cidade ;População 2014;Legislativa(2014);Judiciária(2014);Essencial à Justiça(2014);Administração(2014);Defesa Nacional(2014);Segurança Pública(2014);Relações Exteriores(2014);Assistência Social(2014);Previdência Social(2014);Saúde(2014);Trabalho(2014);Educação(2014);Cultura(2014);Direitos da Cidadania(2014);Urbanismo(2014);Habitação(2014);Saneamento(2014);Gestão Ambiental(2014);Ciência e Tecnologia(2014);Agricultura(2014);Organização Agrária(2014);Indústria(2014);Comércio e Serviços(2014);Comunicações(2014);Energia(2014);Transporte(2014);Desporto e Lazer(2014);Encargos Especiais(2014);Despesas (Intraorçamentárias)(2014);Legislativa(2015);Judiciária(2015);Essencial à Justiça(2015);Administração(2015);Defesa Nacional(2015);Segurança Pública(2015);Relações Exteriores(2015);Assistência Social(2015);Previdência Social(2015);Saúde(2015);Trabalho(2015);Educação(2015);Cultura(2015);Direitos da Cidadania(2015);Urbanismo(2015);Habitação(2015);Saneamento(2015);Gestão Ambiental(2015);Ciência e Tecnologia(2015);Agricultura(2015);Organização Agrária(2015);Indústria(2015);Comércio e Serviços(2015);Comunicações(2015);Energia(2015);Transporte(2015);Desporto e Lazer(2015);Encargos Especiais(2015);Despesas (Intraorçamentárias)(2015);LOF_REL_NOR;LOF_SUA_NOR
411250;Jardim Alegre - PR;12280;0;625769.99;0;2581934.32;0;1123.37;0;1175148.98;951759.58;6228110.58;0;9820837.04;0;0;1326070.14;0;0;98135.09;0;1276235.97;0;0;0;11262;0;1684445.09;266270.01;346173.08;0;0;323172.41;0;2556709.76;0;0;0;1443214.4;979694.36;6834355.31;0;6758390.12;0;0;2273422.21;0;0;269223.48;0;151541.68;0;204.71;0;25883;0;1957136.28;326764.99;395789.32;0;1.36;1.22
431517;Protásio Alves - RS;2044;0;0;0;3037845.56;0;20400;0;240199.01;0;2589341.23;804533.64;1676282.61;44757.46;0;265370.89;0;200178.21;45205.08;63325.75;658398.96;0;0;0;210.58;108081.13;530944.51;234358.4;172394.6;0;234109.42;0;0;3070474.47;0;12400;0;218844.98;0;2345993.83;13660.08;1675085.46;39660.03;0;335022.49;0;242354.24;27835.76;75817.45;777589.07;0;0;0;0;285447.19;623122.85;419914.5;232388.64;0;3.25;1.31
421480;Rio do Sul - SC;66251;3517163.03;1067470.59;0;13561808.95;0;3767498.59;0;4295512.5;6404999.01;72566485.22;0;44737291.32;2432147.95;95190.23;20074472.76;0;0;3896771.64;0;1442130.64;0;0;716459.06;0;2035327.23;0;2788857.09;4205837.29;8846270.7;3723744.82;0;0;16664966.16;0;3234796.79;0;5112981.38;7442833.73;75726492.58;0;49570768.5;2745699.82;100365.72;14462650.23;0;0;3670500.49;0;1637135.93;0;0;752901.31;0;3173167.88;0;1950492.82;5822524.19;7387271.38;1.36;1.18
316930;Três Corações - MG;77340;4218971.8;0;1954247.22;25015121.95;0;248159.21;0;4739110.12;14635938.43;33703476.53;0;30472629.63;1758434.23;0;10021498.81;0;16622.45;1045862.77;0;941277.43;0;0;0;114567.7;0;3964301.51;847239.63;4463082.45;4676668.47;4247058.83;0;1234804.19;26023059.03;15000;209565.55;0;6032534.18;14854777.65;40383409.1;0;30978729.19;2695183.68;0;8679425;0;35140.52;1372881.18;0;1127754.14;0;0;0;127788.65;0;1314624.12;1980399.53;6957908.62;5962414.97;1.3;1.26
355080;São Sebastião da Grama - SP;12374;559424.06;0;0;3581132.41;0;386084.59;0;2018567.76;0;8805505.17;0;8272013.79;729079.73;0;3138137.99;148333.1;457659.96;1273.9;0;232791.94;0;4666.15;0;0;48055.42;462609.86;401325.38;0;0;0;0;0;3302354.16;0;450569.95;0;1821953.66;0;8464077.25;0;9284184.4;412085.21;0;3289365.07;4900.5;467908.44;0;0;181377.55;0;49769.6;0;9942.5;89228.32;321323.31;390089.33;0;0;1.44;1.2
110094;Cujubim - RO;20204;1362330.29;0;0;5215304.21;0;0;0;1106791.51;760150.33;6188597.87;0;14149095.75;54290;0;597905;0;0;115680.29;0;1688568.16;0;0;0;0;0;2349878.33;82974.16;471865.02;0;1406905.27;0;0;6482581.37;0;0;0;1236284.62;948768.63;7451791.56;0;16292863.48;9225.85;0;858211.03;0;0;238353.89;0;1283985.53;0;0;0;0;0;1135755.99;584453.91;611193.7;0;1.08;1
291600;Itanhém - BA;20671;1288501.79;0;0;7259540.97;0;0;0;2038174.02;0;8455881.71;0;12645139.67;601684.79;925704.4;474380.01;13448;0;69185;0;17277;0;0;0;0;0;0;240505.67;238963.32;0;1373436.71;0;0;7328394.22;0;0;0;1995468.49;0;8539396.69;0;14284454.78;525485.43;966102.23;519326.03;0;21196;0;0;17873.5;0;0;0;0;0;0;218975.4;579538;0;2.09;1.28
351925;Iaras - SP;7704;811321.4;0;0;2507006.91;0;0;0;1258134.31;0;5422987.22;0;8679709.63;511404.32;0;2282604.79;0;0;2732;0;222904.11;0;0;0;0;0;581374.84;57108.25;39185.76;0;958632.4;0;0;2498733.25;0;0;0;1833100.93;0;4632446.56;0;8094577.91;498888.97;0;1701342.37;0;0;18685.36;0;369486.57;0;0;0;0;0;374393.06;36572.23;196382.42;0;1.18;0.97
430676;Eldorado do Sul - RS;37366;4126605.48;0;0;21678025.67;0;0;0;1130166.3;0;17656424.11;0;31369906.23;265440.44;0;11146041.98;0;287436.7;112844.3;0;261597.14;0;338280;0;0;0;206538.92;79111;2041473.52;0;4319641.15;0;0;21839501.17;0;0;0;1021850.13;0;18074986.85;0;32640596.53;138847;0;11929465.08;0;349339.5;213843;0;83684.08;0;0;0;0;0;559328.36;738835.34;2279846.58;0;1.27;1.11
291890;Lajedão - BA;3997;700495.63;0;160800;4557769.83;0;0;0;320162.19;0;2851782.31;0;5225872.39;204283.5;0;584495.68;0;0;0;0;0;0;0;0;0;0;0;0;104700.62;0;762537.97;0;150600;4634509.19;0;0;0;502406.3;0;2660285.42;0;5894082.09;143353.5;93590.68;1235586.43;0;0;8397.5;0;3060;0;0;0;0;0;0;0;114479.62;0;1.88;1.36
412180;Ribeirão Claro - PR;10952;1087328.35;0;0;5059882.45;0;0;0;1097507.25;0;5758866.33;0;8145788.67;400794.34;0;3860406.01;0;2012740.04;149625.92;0;1738358.23;0;307757.57;305710.99;0;0;1446401.83;390653.14;246061.63;0;1158598.06;0;0;5180820.54;0;0;0;1310111.19;0;5935696.98;0;9405169.72;305755.06;0;4430314.29;0;1932055.72;323414.72;0;1238872.88;0;313751.5;1556195.27;0;0;1581484.92;484377.84;196495.63;0;1.69;1.05
316600;Senhora de Oliveira - MG;5871;589486.43;81731.91;0;1266228.68;0;0;0;335381.2;520568.02;3984613.43;3592.68;2593538.02;659458.87;0;1358838.24;120897.82;318053.36;168403.83;0;272629.99;0;0;9000;11021.15;130371.94;721364.4;3424.01;0;0;595044.75;76560;0;1320108.32;0;0;0;527056.13;612547.01;3737232.24;2250.56;2681685.55;518762.43;0;416587.52;37918.3;262315.13;229193.1;0;176466.35;0;0;9000;19608;243260.44;718250.56;12917.95;27279.87;0;1.3;1.09
290240;Aurelino Leal - BA;13301;812214.32;373873.09;0;6485794.56;0;0;0;1137848.6;0;6341554.33;0;10030591.63;1090065.48;0;287528;0;0;0;0;0;0;0;0;0;0;20317;0;0;0;914988.92;568617.98;0;6428390.2;0;0;0;1140043.29;0;7146284.49;0;12188937.08;895485.53;0;207482.14;0;0;0;0;0;0;0;0;0;0;4583.6;0;0;0;1.34;1.18
261100;Petrolândia - PE;34939;4190956.62;159169.99;0;6320926.31;0;1459334.84;0;2229466.65;795941.02;25219904.68;0;28791836.27;1477054.94;63680.41;7253107.41;0;448600.32;837377.95;0;975590.55;0;0;781263.5;0;0;0;217880.46;0;0;4328895.21;237693.53;0;6787640.32;0;1447840.74;0;2192612.16;822916.04;23026994.66;0;26451169.08;1058540.39;50529.2;6781965.52;0;314282.01;1006700.39;0;1049056.87;0;0;275577.48;0;0;0;174693.62;0;0;1.51;1.19
351690;General Salgado - SP;10966;781112.07;0;0;5586560.26;0;0;0;1141327.93;4297975.26;6750023.46;0;10272441.85;742781.74;0;2883426.83;0;0;0;0;437340.75;0;29261.91;0;0;0;1369576.24;0;286888.26;1733774.58;872723.88;0;0;6362904.33;0;0;0;1427147.54;4918777.12;7387123.85;0;8873880.83;799988.14;0;2884326.48;302372.99;0;0;0;632408.64;0;30896.96;0;0;0;1566430.86;0;331052.36;703329.58;1.38;1.31
421900;Urussanga - SC;20915;1524051.44;0;0;9171952.85;0;471357.24;0;1428375.83;0;17039423.38;0;13633719.17;617118.94;0;4050052.08;0;3568128.86;440064.71;0;1029460.96;0;0;725992.94;0;837716.09;2288550.26;577189.07;106100.19;0;1636411.81;1520602.39;0;7177682.38;0;285414.06;0;1363513.02;0;16164488.34;0;16517265.63;511277.06;0;3012137.89;0;3647758.13;531931.7;0;1094519.96;0;0;372875.88;0;1402327.04;1692893.82;2062085.06;1074446.73;0;1.57;1.09
431403;Pareci Novo - RS;3706;464580.03;228851.73;0;1837781.37;0;8000;0;128625.88;532431.69;2982241.49;0;6273943.26;105326.54;164673.58;0;38308.01;613639.29;257522.94;0;1148289.54;0;0;39670.89;0;125869.85;3137094.28;994586.34;394233.7;578125.87;513895.24;120291.13;0;1791374.62;0;0;0;122842.8;605067.17;2683287.7;0;4210375.95;238270.99;99579.77;0;39554.61;409404.11;276695.15;0;1283866.95;0;0;25106.21;0;175861.34;3581918.32;1439663.75;194701.13;708324.61;1.87;1.4
412400;Santana do Itararé - PR;5291;0;0;0;3242115.15;0;0;0;490429.7;0;4128893.04;0;3292851.76;13529.87;0;717496.03;25862.74;0;11936.54;0;910255.39;0;12777.68;3064.72;0;81396.56;514445.82;39824.66;160772.54;0;0;0;0;3719719.61;0;0;0;502303.17;0;4177278.58;0;3938732.39;14673.09;0;1012780.94;10413.33;0;190923.74;0;430427.75;0;11782.2;29105.68;0;111468.22;513265.08;51645.89;278361.87;0;1.38;1.05
520110;Anápolis - GO;361991;22811983.45;0;0;74007075.94;0;4958203.68;0;18719095.49;94652796.55;224640858.96;1400445.47;196142813.86;9918485.42;1030646.01;62715665.74;301027.86;10363787.09;66327015.71;2019749.57;300764.8;0;0;3223201.19;0;0;162597.02;8216122.54;27566342.31;0;24330340.7;0;0;101959320.02;0;5499113.28;0;20525368.5;109403053;245430551.54;1282709.46;221963563.5;9179697.07;809848.76;66037776.34;234882.02;8739534.13;51575839.94;2263913.18;369757.82;0;0;2152945.66;0;0;7570.6;8589099.13;22200845.78;0;1.52;1.08
430005;Água Santa - RS;3839;381371.12;0;0;3017330.28;0;650;0;447459.65;824521.51;3394532.5;0;3753615.94;3100;0;249680.92;42334.63;31498.27;392.42;0;993048.21;0;469063.64;0;1769;43413.12;1807157.63;318137.45;143890.06;0;426530.67;0;0;2962058.78;0;20000;0;457668.54;1117242.23;3263329.22;0;3770258.9;21524;0;310254.52;52338.85;62542.01;189.2;0;1121472.44;0;219576.99;0;0;74145.58;1716777;301839.97;116493.29;0;1.53;1.04
431755;Santo Antônio do Palma - RS;2199;499369.31;0;0;2833241.47;0;195130;0;143548.64;0;2977560.36;0;2127507.44;154758.86;0;556603.06;7189.09;14110.25;159025.56;0;1400275.47;26290;848310.35;0;11387.06;0;158006.94;98218.98;476931.81;0;492523.25;0;0;2464563.46;274661.6;2000;0;133856.47;0;2739189.17;0;2288367.7;540006.48;0;1283183.04;25208.3;0;226223.58;0;1047603.14;0;810855.97;0;19072.86;0;282857.41;1086647.51;514419.96;0;5.59;2.04
410895;Guamiranga - PR;8415;0;0;0;1547859.98;0;0;0;1120189.28;378109.63;4935856.82;0;4860579.19;17219.35;0;1414308.05;90304.65;63.64;313830.97;0;980070.19;0;0;45107.37;0;0;2702404.99;244911.19;883886.14;551798.36;0;0;0;1393660.21;0;0;0;1179953.59;539347.85;5829271.75;0;6265431.68;42438.19;0;2042238.35;56517.11;93856.74;154696.81;0;560633.17;0;0;0;0;0;1798456.42;145582.83;595876.42;608271.08;1.15;1.14
421125;Morro Grande - SC;2925;528627.62;0;0;1481510.28;0;46757.91;0;346544.27;0;2721118.16;0;3909384.63;0;0;589807.48;0;196883.46;135144.14;0;1702579.94;0;50137.2;24922.5;0;0;3417302.06;185335.13;748920.56;0;491550.02;0;0;3364100;0;54150.07;0;455326.37;0;3063484.97;0;3373309.85;15207.71;0;829277.37;0;227779.44;67471.76;0;1210736.09;0;66217.76;23322;0;0;1522290.99;86759.58;724708.36;0;1.26;1.1
220605;Massapê do Piauí - PI;6315;403110.96;0;0;1719585.18;0;0;0;634489.3;0;3104731.44;0;4925749.33;99043.99;0;562722.53;0;353384.78;0;0;137235.37;0;0;0;0;25247;0;77471.09;0;0;440400;0;0;1714543.64;0;0;0;633396.22;0;3374332.44;0;4945672.16;149004.66;0;843096.12;0;254157.25;0;0;169155.01;0;0;0;0;0;47322;52761.04;0;0;1;1.04
220260;Castelo do Piauí - PI;18466;1008068.1;0;0;3941395.84;26791.87;0;0;1486607.35;0;8554344.3;5068;14898081.01;870835.85;0;0;0;1207377.47;309094.4;0;304431.58;0;582;2520;0;0;67811.25;395364.62;142304.32;0;1068160.79;0;0;4136962.3;22382.72;0;0;1632417.45;0;8526334.97;0;15456246.9;822647.52;0;699081.2;0;1754890.9;114707.28;0;363678.23;0;0;5250;0;0;0;310051.13;147673.78;0;1.15;1.32
