#Cidade;Legislativa;Judiciária;Essencial à Justiça;Administração;Defesa Nacional;Segurança Pública;Relações Exteriores;Assistência Social;Previdência Social;Saúde;Trabalho;Educação;Cultura;Direitos da Cidadania;Urbanismo;Habitação;Saneamento;Gestão Ambiental;Ciência e Tecnologia;Agricultura;Organização Agrária;Indústria;Comércio e Serviços;Comunicações;Energia;Transporte;Desporto e Lazer;Encargos Especiais;Despesas (Intraorçamentárias)
211195;0.00;0.00;0.00;791.15;0.00;0.00;0.00;295.09;0.00;718.31;306.90;1939.26;81.18;0.00;209.96;0.00;102.60;0.00;0.00;18.07;0.00;0.00;0.00;0.00;0.00;141.63;9.21;43.80;0.00
230837;61.91;0.00;0.00;164.13;0.00;0.00;0.00;73.18;0.00;382.58;0.00;997.41;0.98;0.00;191.13;0.00;0.00;53.04;0.00;17.07;0.00;0.00;0.00;0.00;0.00;89.83;23.39;20.40;0.00
521805;318.79;0.00;0.00;970.95;0.00;32.62;0.00;493.68;231.78;1090.15;0.00;1134.38;0.00;2.49;827.69;11.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;84.47;167.46;56.96;0.00
320316;100.63;0.00;0.00;758.19;0.00;0.03;0.00;100.22;0.00;714.45;0.00;505.98;42.64;0.00;216.42;0.00;55.64;3.15;0.00;205.42;0.00;0.00;0.49;0.00;0.00;275.49;45.91;0.00;0.00
310920;88.31;10.38;0.00;273.89;0.00;0.00;0.00;45.67;70.42;514.66;0.00;509.68;67.12;2.82;87.82;0.00;5.77;3.17;0.00;10.91;0.00;41.40;1.05;1.55;26.38;55.03;19.85;0.00;0.00
270880;0.00;0.00;0.00;193.11;0.00;0.00;0.00;49.96;151.49;305.77;0.00;763.57;53.88;0.00;180.33;3.14;47.52;0.00;0.00;23.97;0.00;0.00;0.00;0.00;0.00;0.00;10.96;9.04;46.92
350275;169.74;0.00;0.00;705.75;0.00;40.38;0.00;91.42;58.44;747.58;0.00;1432.40;49.65;0.00;474.07;11.71;0.15;46.28;0.00;0.00;0.00;12.35;0.00;0.00;0.00;0.00;0.00;80.35;161.98
410660;0.00;5.76;5.16;231.29;0.00;10.72;0.00;74.81;0.00;660.98;0.32;537.62;11.70;0.00;182.41;0.00;2.83;0.00;0.00;47.88;0.00;3.53;9.94;0.00;64.81;61.30;8.07;50.64;108.21
353910;91.24;0.00;46.19;231.66;0.00;67.02;0.00;193.27;0.00;603.67;0.00;1290.12;47.26;0.00;291.94;0.00;0.00;13.77;0.00;0.00;0.00;3.17;0.00;0.00;0.00;0.00;31.98;71.81;43.83
315510;109.99;0.00;45.74;390.56;0.00;4.75;0.00;65.05;91.58;609.00;0.00;596.35;40.30;0.00;101.77;3.71;0.02;0.75;0.00;8.68;0.00;0.00;0.00;0.00;0.00;64.51;18.64;47.76;0.00
421470;34.14;0.00;0.00;201.25;0.00;50.23;0.00;47.27;44.37;484.44;0.00;696.10;14.36;0.00;400.88;0.00;1.34;1.46;0.00;75.09;0.00;0.00;5.37;0.00;0.00;249.55;11.60;75.61;0.00
354000;85.24;0.00;0.00;378.50;0.00;0.00;0.00;157.16;59.43;763.18;0.00;886.21;11.76;0.00;425.24;0.00;200.91;23.09;0.00;7.18;0.00;0.00;0.00;0.00;0.00;94.39;99.94;37.29;0.00
421210;89.75;0.00;0.00;177.94;0.00;18.44;0.00;98.02;0.00;538.10;0.00;508.98;11.72;0.00;169.99;2.22;29.33;0.00;0.00;151.22;0.00;24.03;0.00;3.75;0.00;170.42;47.90;68.32;0.00
