#Cidade;População;Legislativa;Judiciária;Essencial à Justiça;Administração;Defesa Nacional;Segurança Pública;Relações Exteriores;Assistência Social;Previdência Social;Saúde;Trabalho;Educação;Cultura;Direitos da Cidadania;Urbanismo;Habitação;Saneamento;Gestão Ambiental;Ciência e Tecnologia;Agricultura;Organização Agrária;Indústria;Comércio e Serviços;Comunicações;Energia;Transporte;Desporto e Lazer;Encargos Especiais;Despesas (Intraorçamentárias)
352585;3.4902394852462875;5.67;0.00;5.09;6.32;0.00;3.90;0.00;5.88;5.63;6.48;0.00;6.62;5.49;4.49;6.01;0.00;5.63;0.00;0.00;5.46;0.00;0.00;0.00;0.00;0.00;4.58;5.46;5.22;0.00
230140;4.057628072955568;5.91;0.00;0.00;6.10;0.00;0.00;0.00;6.11;0.00;6.82;0.00;7.03;5.57;0.00;6.05;0.00;5.10;4.86;0.00;5.82;0.00;0.00;0.00;0.00;0.00;4.16;3.97;6.14;0.00
130400;3.954917553734959;6.06;0.00;0.00;6.39;0.00;0.00;0.00;5.97;0.00;6.54;0.00;7.04;5.40;0.00;6.48;0.00;0.00;5.41;0.00;5.84;0.00;0.00;0.00;0.00;0.00;0.00;5.62;6.11;0.00
220205;4.011824095594308;5.63;0.00;0.00;6.41;0.00;0.00;0.00;5.66;0.00;6.55;0.00;6.87;0.00;0.00;5.80;4.21;4.74;0.00;0.00;4.79;0.00;0.00;0.00;0.00;5.33;3.48;4.96;5.33;0.00
210535;4.132867788319085;0.00;0.00;0.00;6.54;0.00;4.37;0.00;5.85;5.23;6.81;3.65;7.18;4.72;0.00;5.91;0.00;5.61;4.36;0.00;4.84;0.00;0.00;0.00;0.00;4.59;6.10;4.68;0.00;0.00
420208;3.452706226511029;5.66;0.00;0.00;6.08;0.00;4.00;0.00;5.73;0.00;6.41;4.98;6.48;5.23;0.00;0.00;4.19;4.85;0.00;0.00;5.97;0.00;5.40;4.40;5.02;0.00;6.15;5.05;5.68;0.00
315770;4.103872108403055;6.22;0.00;0.00;6.62;0.00;5.01;0.00;5.88;6.13;6.99;0.00;6.85;5.29;0.00;6.61;0.00;2.16;5.68;0.00;5.99;0.00;0.00;0.00;4.65;5.10;5.51;5.41;5.87;6.25
500730;3.694517453811156;5.90;0.00;0.00;6.64;0.00;0.00;0.00;6.08;0.00;6.52;0.00;6.61;4.99;0.00;5.11;0.00;0.00;0.00;0.00;5.63;0.00;0.00;0.00;0.00;5.29;5.73;4.41;5.36;0.00
241140;4.138870857319504;6.00;0.00;0.00;6.47;0.00;0.00;0.00;6.06;0.00;6.91;0.00;6.99;5.74;0.00;6.26;0.00;0.00;0.00;0.00;5.94;0.00;0.00;0.00;0.00;0.00;0.00;3.48;5.76;0.00
330450;3.9463539972262747;6.26;0.00;0.00;6.86;0.00;0.00;0.00;6.23;5.66;7.18;0.00;7.10;6.44;0.00;6.80;5.91;6.21;6.04;0.00;0.00;0.00;0.00;5.49;4.92;0.00;0.00;5.86;5.59;0.00
