#Codigo;Cidade;População;Despesas (Exceto Intraorçamentárias);Legislativa;Judiciária;Essencial à Justiça;Administração;Defesa Nacional;Segurança Pública;Relações Exteriores;Assistência Social;Previdência Social;Saúde;Trabalho;Educação;Cultura;Direitos da Cidadania;Urbanismo;Habitação;Saneamento;Gestão Ambiental;Ciência e Tecnologia;Agricultura;Organização Agrária;Indústria;Comércio e Serviços;Comunicações;Energia;Transporte;Desporto e Lazer;Encargos Especiais;Despesas (Intraorçamentárias);LOF_2013_REL_NOR;LOF_2013_SUA_NOR
352150;Irapuã - SP;7666.0;16689052.36;774187.04;0.00;0.00;2419556.49;0.00;0.00;0.00;719132.14;280365.16;4934668.59;0.00;5061135.39;5925.96;0.00;903966.63;0.00;0.00;0.00;0.00;129892.75;0.00;0.00;0.00;0.00;0.00;1017360.62;151874.98;290986.61;0.00;1.11;0.99
130290;Maués - AM;57663.0;89107915.18;2946581.53;0.00;181927.50;11882159.15;0.00;0.00;0.00;2245729.25;2570572.88;19164131.91;168123.91;39345667.05;3820751.42;0.00;1109384.83;0.00;1467771.75;646915.87;0.00;1235465.10;0.00;0.00;0.00;0.00;0.00;126166.43;800801.61;1395764.99;0.00;1.19;1.20
220480;Ipiranga do Piauí - PI;9534.0;12858961.49;405830.15;57292.06;0.00;1892154.74;0.00;0.00;0.00;438062.81;172299.94;3332852.31;0.00;5133815.09;188737.37;40761.01;306333.06;0.00;461628.47;220.00;0.00;121719.60;0.00;0.00;0.00;107650.29;137113.19;28209.00;34282.40;0.00;0.00;1.28;1.22
231090;Piquet Carneiro - CE;16169.0;26832942.30;908259.27;0.00;0.00;4718151.41;0.00;0.00;0.00;1382045.45;534527.28;6283303.28;0.00;9027288.44;187540.00;0.00;452900.68;178421.08;1572513.00;25926.06;0.00;1050988.13;0.00;0.00;0.00;10578.78;0.00;116600.01;248564.92;135334.51;0.00;1.19;1.06
290035;Adustina - BA;16929.0;23041054.08;987374.84;0.00;0.00;4177750.23;0.00;39182.11;0.00;933129.67;0.00;4247657.55;0.00;11495610.26;145778.00;0.00;553823.66;0.00;104279.62;0.00;0.00;7509.78;0.00;0.00;0.00;0.00;100309.60;61426.00;187222.76;0.00;0.00;0.99;1.07
431449;Pinheirinho do Vale - RS;4715.0;13864876.32;423986.05;0.00;0.00;1588226.56;0.00;0.00;0.00;498084.87;0.00;3350566.70;47191.08;3620370.36;0.00;0.00;904322.37;0.00;212520.59;76032.21;0.00;1543004.86;0.00;0.00;0.00;0.00;0.00;937353.27;438021.19;225196.21;0.00;1.21;1.15
411660;Nova América da Colina - PR;3560.0;10417006.07;0.00;0.00;374117.67;3449220.44;0.00;0.00;0.00;474850.00;0.00;2467042.18;0.00;2290212.97;0.00;0.00;167994.60;0.00;0.00;4009.76;0.00;38257.95;0.00;19.02;0.00;0.00;0.00;1151281.48;0.00;0.00;0.00;2.34;1.30
353284;Nova Canaã Paulista - SP;2087.0;10345910.24;486933.28;0.00;0.00;1232742.32;0.00;0.00;0.00;963676.26;708248.17;2394712.70;0.00;1919582.08;0.00;0.00;1051734.37;83224.76;47302.42;0.00;0.00;153213.80;0.00;144087.96;0.00;0.00;0.00;416435.37;527974.57;216042.18;0.00;1.70;1.16
420545;Forquilhinha - SC;24256.0;51185841.01;1597557.46;0.00;0.00;5769561.45;0.00;126797.15;0.00;1880527.78;570201.10;11292448.85;0.00;13408056.59;499931.22;0.00;5580224.97;351903.17;283933.50;393232.68;0.00;1901671.85;0.00;343865.12;0.00;0.00;0.00;4153547.62;1341862.79;1690517.71;1589552.45;1.16;1.03
431805;São Domingos do Sul - RS;3046.0;11713897.85;223479.26;0.00;0.00;2247660.28;0.00;0.00;0.00;407927.25;0.00;2790637.55;0.00;2070130.20;171259.55;6301.43;156112.31;0.00;378062.25;312589.86;0.00;1024612.81;0.00;0.00;146016.98;13692.61;0.00;1369004.17;56910.07;339501.27;0.00;1.40;1.25
312800;Guanhães - MG;33020.0;50248785.11;1785803.25;497651.35;53410.43;5985796.42;19759.16;63960.81;0.00;1314862.50;3951891.39;12554089.92;0.00;13374766.53;997022.17;0.00;2310935.21;324.10;4419260.36;224328.73;0.00;552127.29;0.00;58763.57;3270.00;245.29;47395.24;786641.38;297105.49;949374.52;2442650.09;1.16;1.20
