311860;kmeans-outlier=496.23843673469406
430790;kmeans-outlier=331.4376683051215
241310;kmeans-outlier=311.06519387755094
120060;kmeans-outlier=280.14478446880895
270320;kmeans-outlier=268.1048317567567
522045;kmeans-outlier=261.89603700642783
355030;kmeans-outlier=248.77596530612246
210083;kmeans-outlier=239.07894590650832
521830;kmeans-outlier=228.35104885185189
260140;kmeans-outlier=225.59348392303724
210330;kmeans-outlier=218.84931722414458
430440;kmeans-outlier=203.32052456054683
312707;kmeans-outlier=199.0409310740741
261560;kmeans-outlier=188.5217083175803
241430;kmeans-outlier=182.5261454306378
421227;kmeans-outlier=179.77442658253827
292465;kmeans-outlier=177.17321764539545
292665;kmeans-outlier=171.97422653061227
354340;kmeans-outlier=155.97030780246914
310900;kmeans-outlier=155.6117582511505
522160;kmeans-outlier=154.54700065157752
210170;kmeans-outlier=151.70612229916907
130260;kmeans-outlier=151.442656691358
311060;kmeans-outlier=149.89932455512158
240410;kmeans-outlier=149.03936599999997
241160;kmeans-outlier=148.66366599999998
520620;kmeans-outlier=147.33769795918366
420400;kmeans-outlier=146.88288781768532
411440;kmeans-outlier=145.37366155017298
521390;kmeans-outlier=138.62701224489803
521030;kmeans-outlier=138.17808905441234
410690;kmeans-outlier=138.13140408163264
231290;kmeans-outlier=137.36460907029476
292740;kmeans-outlier=136.90723775992436
353430;kmeans-outlier=136.7108412217883
500390;kmeans-outlier=135.06548132807367
421190;kmeans-outlier=133.059155687048
521250;kmeans-outlier=131.64076036139946
411840;kmeans-outlier=128.5221947845805
351520;kmeans-outlier=125.95801224489799
411820;kmeans-outlier=123.62660086505188
510792;kmeans-outlier=123.49725825115057
330455;kmeans-outlier=122.8951655802469
354870;kmeans-outlier=121.00893673469385
411080;kmeans-outlier=120.92221346849179
221100;kmeans-outlier=118.42656122448977
260765;kmeans-outlier=117.3456913647092
410845;kmeans-outlier=115.60027363576596
292150;kmeans-outlier=115.56984861495843
330510;kmeans-outlier=114.92886145124717
292000;kmeans-outlier=113.02759795918365
500348;kmeans-outlier=112.70359375000002
130320;kmeans-outlier=112.68251466140698
500800;kmeans-outlier=112.20989671268903
230440;kmeans-outlier=110.18976408163263
330100;kmeans-outlier=108.97717446913579
220800;kmeans-outlier=108.5041710716634
