#Codigo;Legislativa(2019);Judiciária(2019);Essencial à Justiça(2019);Administração(2019);Defesa Nacional(2019);Segurança Pública(2019);Relações Exteriores(2019);Assistência Social(2019);Previdência Social(2019);Saúde(2019);Trabalho(2019);Educação(2019);Cultura(2019);Direitos da Cidadania(2019);Urbanismo(2019);Habitação(2019);Saneamento(2019);Gestão Ambiental(2019);Ciência e Tecnologia(2019);Agricultura(2019);Organização Agrária(2019);Indústria(2019);Comércio e Serviços(2019);Comunicações(2019);Energia(2019);Transporte(2019);Desporto e Lazer(2019);Encargos Especiais(2019);Despesas (Intraorçamentárias)(2019);Legislativa(2020);Judiciária(2020);Essencial à Justiça(2020);Administração(2020);Defesa Nacional(2020);Segurança Pública(2020);Relações Exteriores(2020);Assistência Social(2020);Previdência Social(2020);Saúde(2020);Trabalho(2020);Educação(2020);Cultura(2020);Direitos da Cidadania(2020);Urbanismo(2020);Habitação(2020);Saneamento(2020);Gestão Ambiental(2020);Ciência e Tecnologia(2020);Agricultura(2020);Organização Agrária(2020);Indústria(2020);Comércio e Serviços(2020);Comunicações(2020);Energia(2020);Transporte(2020);Desporto e Lazer(2020);Encargos Especiais(2020);Despesas (Intraorçamentárias)(2020)
421715;2.32;-0.27;-0.15;1.46;-0.08;-0.27;-0.02;0.97;-0.64;1.68;-0.18;0.92;-0.01;-0.09;0.34;-0.14;-0.32;-0.39;-0.09;5.97;-0.03;-0.18;-0.29;-0.21;-0.40;2.19;0.01;0.92;-0.30;2.32;-0.27;-0.15;1.46;-0.08;-0.27;-0.02;0.97;-0.64;1.68;-0.18;0.92;-0.01;-0.09;0.34;-0.14;-0.32;-0.39;-0.09;5.97;-0.03;-0.18;-0.29;-0.21;-0.40;2.19;0.01;0.92;-0.30
521950;1.34;-0.27;-0.15;0.28;-0.03;0.05;-0.02;1.19;2.51;1.68;-0.16;0.14;4.78;-0.09;1.64;-0.14;-0.32;-0.03;-0.09;0.02;-0.03;-0.18;-0.29;-0.21;-0.40;-0.58;0.03;-0.01;-0.30;1.34;-0.27;-0.15;0.28;-0.03;0.05;-0.02;1.19;2.51;1.68;-0.16;0.14;4.78;-0.09;1.64;-0.14;-0.32;-0.03;-0.09;0.02;-0.03;-0.18;-0.29;-0.21;-0.40;-0.58;0.03;-0.01;-0.30
521710;0.01;-0.26;-0.15;-0.50;-0.07;0.09;-0.02;0.22;2.46;-0.39;-0.18;-0.24;-0.68;-0.09;-0.14;-0.14;-0.32;-0.33;-0.09;-0.51;-0.03;0.13;0.83;-0.21;-0.40;-0.20;-0.28;0.78;-0.30;0.01;-0.26;-0.15;-0.50;-0.07;0.09;-0.02;0.22;2.46;-0.39;-0.18;-0.24;-0.68;-0.09;-0.14;-0.14;-0.32;-0.33;-0.09;-0.51;-0.03;0.13;0.83;-0.21;-0.40;-0.20;-0.28;0.78;-0.30
350180;0.31;-0.27;-0.15;-0.31;-0.08;-0.31;-0.02;0.38;-0.33;0.12;-0.18;0.83;1.35;-0.09;0.89;0.54;0.33;-0.39;-0.09;-0.17;-0.03;-0.18;-0.29;-0.21;-0.40;0.04;-0.20;0.74;-0.30;0.31;-0.27;-0.15;-0.31;-0.08;-0.31;-0.02;0.38;-0.33;0.12;-0.18;0.83;1.35;-0.09;0.89;0.54;0.33;-0.39;-0.09;-0.17;-0.03;-0.18;-0.29;-0.21;-0.40;0.04;-0.20;0.74;-0.30
431560;-0.13;-0.27;-0.15;0.01;-0.08;-0.21;-0.02;-1.04;1.08;-0.82;0.68;-0.59;0.02;-0.09;0.00;0.10;-0.09;-0.15;-0.09;-0.49;-0.03;-0.18;-0.23;-0.21;-0.40;-0.46;-0.56;0.75;3.29;-0.13;-0.27;-0.15;0.01;-0.08;-0.21;-0.02;-1.04;1.08;-0.82;0.68;-0.59;0.02;-0.09;0.00;0.10;-0.09;-0.15;-0.09;-0.49;-0.03;-0.18;-0.23;-0.21;-0.40;-0.46;-0.56;0.75;3.29
231340;-0.47;-0.27;0.43;-0.84;-0.08;-0.31;-0.02;-0.47;-0.64;-0.63;-0.18;-0.06;-0.73;-0.09;-0.32;-0.14;-0.30;-0.39;-0.09;-0.49;-0.03;-0.18;-0.29;-0.21;-0.40;-0.52;-0.14;-0.83;-0.30;-0.47;-0.27;0.43;-0.84;-0.08;-0.31;-0.02;-0.47;-0.64;-0.63;-0.18;-0.06;-0.73;-0.09;-0.32;-0.14;-0.30;-0.39;-0.09;-0.49;-0.03;-0.18;-0.29;-0.21;-0.40;-0.52;-0.14;-0.83;-0.30
353590;0.47;-0.27;-0.15;0.12;-0.08;-0.31;-0.02;1.04;1.88;0.63;-0.18;3.98;-0.54;-0.09;2.83;-0.14;-0.32;-0.39;-0.09;0.03;-0.03;-0.18;-0.29;-0.21;-0.40;0.08;1.43;0.34;-0.30;0.47;-0.27;-0.15;0.12;-0.08;-0.31;-0.02;1.04;1.88;0.63;-0.18;3.98;-0.54;-0.09;2.83;-0.14;-0.32;-0.39;-0.09;0.03;-0.03;-0.18;-0.29;-0.21;-0.40;0.08;1.43;0.34;-0.30
351530;1.47;-0.27;-0.15;1.81;-0.08;-0.31;-0.02;1.40;-0.64;1.34;-0.18;1.56;-0.54;-0.09;2.90;9.08;-0.32;-0.39;-0.09;4.20;-0.03;-0.18;-0.29;-0.21;-0.40;-0.59;1.01;-0.83;-0.30;1.47;-0.27;-0.15;1.81;-0.08;-0.31;-0.02;1.40;-0.64;1.34;-0.18;1.56;-0.54;-0.09;2.90;9.08;-0.32;-0.39;-0.09;4.20;-0.03;-0.18;-0.29;-0.21;-0.40;-0.59;1.01;-0.83;-0.30
260845;-0.26;-0.27;-0.15;-0.77;-0.08;-0.31;-0.02;-0.49;-0.34;-0.58;-0.18;-0.42;0.09;-0.09;-0.27;-0.14;-0.32;-0.39;-0.09;-0.50;-0.03;-0.18;-0.29;-0.21;-0.40;-0.59;-0.51;-0.83;-0.30;-0.26;-0.27;-0.15;-0.77;-0.08;-0.31;-0.02;-0.49;-0.34;-0.58;-0.18;-0.42;0.09;-0.09;-0.27;-0.14;-0.32;-0.39;-0.09;-0.50;-0.03;-0.18;-0.29;-0.21;-0.40;-0.59;-0.51;-0.83;-0.30
313835;0.40;1.32;-0.15;-0.30;-0.03;-0.18;-0.02;0.29;-0.23;-0.19;-0.18;-0.21;1.53;-0.09;-0.59;-0.14;0.18;-0.32;-0.09;0.14;-0.03;-0.18;-0.29;1.70;-0.39;-0.06;0.26;1.00;0.73;0.40;1.32;-0.15;-0.30;-0.03;-0.18;-0.02;0.29;-0.23;-0.19;-0.18;-0.21;1.53;-0.09;-0.59;-0.14;0.18;-0.32;-0.09;0.14;-0.03;-0.18;-0.29;1.70;-0.39;-0.06;0.26;1.00;0.73
420435;0.72;-0.27;-0.15;0.15;-0.08;-0.04;-0.02;-0.11;-0.64;1.24;-0.18;0.50;1.36;-0.04;2.91;-0.14;0.79;-0.39;-0.09;3.52;-0.03;-0.18;-0.29;-0.21;1.30;-0.59;-0.28;3.02;-0.30;0.72;-0.27;-0.15;0.15;-0.08;-0.04;-0.02;-0.11;-0.64;1.24;-0.18;0.50;1.36;-0.04;2.91;-0.14;0.79;-0.39;-0.09;3.52;-0.03;-0.18;-0.29;-0.21;1.30;-0.59;-0.28;3.02;-0.30
