#Codigo;População 2019;Legislativa(2019);Judiciária(2019);Essencial à Justiça(2019);Administração(2019);Defesa Nacional(2019);Segurança Pública(2019);Relações Exteriores(2019);Assistência Social(2019);Previdência Social(2019);Saúde(2019);Trabalho(2019);Educação(2019);Cultura(2019);Direitos da Cidadania(2019);Urbanismo(2019);Habitação(2019);Saneamento(2019);Gestão Ambiental(2019);Ciência e Tecnologia(2019);Agricultura(2019);Organização Agrária(2019);Indústria(2019);Comércio e Serviços(2019);Comunicações(2019);Energia(2019);Transporte(2019);Desporto e Lazer(2019);Encargos Especiais(2019);Despesas (Intraorçamentárias)(2019);Legislativa(2020);Judiciária(2020);Essencial à Justiça(2020);Administração(2020);Defesa Nacional(2020);Segurança Pública(2020);Relações Exteriores(2020);Assistência Social(2020);Previdência Social(2020);Saúde(2020);Trabalho(2020);Educação(2020);Cultura(2020);Direitos da Cidadania(2020);Urbanismo(2020);Habitação(2020);Saneamento(2020);Gestão Ambiental(2020);Ciência e Tecnologia(2020);Agricultura(2020);Organização Agrária(2020);Indústria(2020);Comércio e Serviços(2020);Comunicações(2020);Energia(2020);Transporte(2020);Desporto e Lazer(2020);Encargos Especiais(2020);Despesas (Intraorçamentárias)(2020)
280310;-0.8037426253574104;0.29;-0.53;3.02;-0.49;-0.25;-0.80;-0.04;0.07;-1.02;-0.38;-0.48;-0.34;-2.73;-0.32;0.18;-0.66;-1.21;-1.18;-0.20;0.41;-0.09;-0.47;-0.76;-0.51;-0.65;-1.92;0.51;-1.77;-0.47;0.29;-0.53;3.02;-0.49;-0.25;-0.80;-0.04;0.07;-1.02;-0.38;-0.48;-0.34;-2.73;-0.32;0.18;-0.66;-1.21;-1.18;-0.20;0.41;-0.09;-0.47;-0.76;-0.51;-0.65;-1.92;0.51;-1.77;-0.47
353440;3.4193430805821676;1.14;-0.53;-0.30;2.22;3.92;2.29;-0.04;1.82;1.39;2.20;3.02;2.22;1.20;4.43;1.64;2.54;-1.21;1.52;5.52;-2.87;-0.09;1.32;0.85;-0.51;-0.65;1.40;1.54;1.48;2.76;1.14;-0.53;-0.30;2.22;3.92;2.29;-0.04;1.82;1.39;2.20;3.02;2.22;1.20;4.43;1.64;2.54;-1.21;1.52;5.52;-2.87;-0.09;1.32;0.85;-0.51;-0.65;1.40;1.54;1.48;2.76
220340;-0.5591988517784328;-2.39;-0.53;-0.30;-0.32;-0.25;0.38;-0.04;-0.29;0.79;-0.38;1.87;-0.30;-0.80;-0.32;-0.49;-0.66;-1.21;-1.18;-0.20;0.34;-0.09;-0.47;-0.76;-0.51;1.13;-0.07;-0.12;-1.77;-0.47;-2.39;-0.53;-0.30;-0.32;-0.25;0.38;-0.04;-0.29;0.79;-0.38;1.87;-0.30;-0.80;-0.32;-0.49;-0.66;-1.21;-1.18;-0.20;0.34;-0.09;-0.47;-0.76;-0.51;1.13;-0.07;-0.12;-1.77;-0.47
350350;-1.038737736607094;0.24;-0.53;-0.30;-0.70;-0.25;-0.80;-0.04;-0.36;-1.02;-0.30;-0.48;-0.29;0.18;-0.32;0.12;-0.66;0.83;-1.18;-0.20;0.09;-0.09;-0.47;-0.76;-0.51;-0.65;0.33;0.70;0.34;-0.47;0.24;-0.53;-0.30;-0.70;-0.25;-0.80;-0.04;-0.36;-1.02;-0.30;-0.48;-0.29;0.18;-0.32;0.12;-0.66;0.83;-1.18;-0.20;0.09;-0.09;-0.47;-0.76;-0.51;-0.65;0.33;0.70;0.34;-0.47
510780;0.3474703976818891;0.49;1.11;-0.30;0.34;-0.25;-0.80;-0.04;0.14;0.92;0.21;-0.48;-0.06;0.47;-0.32;-0.50;1.23;1.01;0.90;-0.20;0.33;-0.09;-0.47;0.55;-0.51;1.33;0.36;0.10;0.65;-0.47;0.49;1.11;-0.30;0.34;-0.25;-0.80;-0.04;0.14;0.92;0.21;-0.48;-0.06;0.47;-0.32;-0.50;1.23;1.01;0.90;-0.20;0.33;-0.09;-0.47;0.55;-0.51;1.33;0.36;0.10;0.65;-0.47
260180;-0.030072066002527275;0.36;-0.53;1.89;-0.02;-0.25;-0.80;-0.04;0.02;1.01;-0.01;-0.48;0.26;0.34;-0.32;0.09;-0.66;-1.21;-1.18;-0.20;0.10;-0.09;-0.47;-0.76;-0.51;-0.65;0.23;-2.56;0.39;-0.47;0.36;-0.53;1.89;-0.02;-0.25;-0.80;-0.04;0.02;1.01;-0.01;-0.48;0.26;0.34;-0.32;0.09;-0.66;-1.21;-1.18;-0.20;0.10;-0.09;-0.47;-0.76;-0.51;-0.65;0.23;-2.56;0.39;-0.47
350340;-0.3826307887256653;0.23;-0.53;-0.30;-0.18;-0.25;-0.80;-0.04;0.11;-1.02;-0.05;-0.48;-0.03;0.26;-0.32;0.33;-0.66;-1.21;-0.10;-0.20;0.11;-0.09;-0.47;-0.76;-0.51;-0.65;0.61;0.47;0.36;-0.47;0.23;-0.53;-0.30;-0.18;-0.25;-0.80;-0.04;0.11;-1.02;-0.05;-0.48;-0.03;0.26;-0.32;0.33;-0.66;-1.21;-0.10;-0.20;0.11;-0.09;-0.47;-0.76;-0.51;-0.65;0.61;0.47;0.36;-0.47
410275;-1.0195031552489997;-2.39;-0.53;-0.30;-0.45;-0.25;-0.80;-0.04;-0.27;-1.02;-0.36;-0.48;-0.71;-1.43;-0.32;0.19;1.44;-1.21;-1.18;-0.20;0.52;-0.09;-0.47;-0.76;-0.51;-0.65;-1.92;-0.16;0.40;-0.47;-2.39;-0.53;-0.30;-0.45;-0.25;-0.80;-0.04;-0.27;-1.02;-0.36;-0.48;-0.71;-1.43;-0.32;0.19;1.44;-1.21;-1.18;-0.20;0.52;-0.09;-0.47;-0.76;-0.51;-0.65;-1.92;-0.16;0.40;-0.47
412135;-1.2890256156008708;-2.39;-0.53;-0.30;-0.14;-0.25;-0.80;-0.04;-0.36;-1.02;-0.43;-0.48;-0.73;0.05;-0.32;-0.62;0.71;-1.21;-1.18;-0.20;0.39;-0.09;-0.47;-0.76;-0.51;-0.65;0.61;-0.05;-1.77;1.94;-2.39;-0.53;-0.30;-0.14;-0.25;-0.80;-0.04;-0.36;-1.02;-0.43;-0.48;-0.73;0.05;-0.32;-0.62;0.71;-1.21;-1.18;-0.20;0.39;-0.09;-0.47;-0.76;-0.51;-0.65;0.61;-0.05;-1.77;1.94
411580;1.0576237072065215;0.53;-0.53;3.45;0.63;-0.25;-0.80;-0.04;0.58;-1.02;0.62;-0.48;0.53;0.52;-0.32;0.65;-0.66;-1.21;1.38;-0.20;0.60;-0.09;2.26;1.60;-0.51;-0.65;-1.92;0.77;0.85;2.27;0.53;-0.53;3.45;0.63;-0.25;-0.80;-0.04;0.58;-1.02;0.62;-0.48;0.53;0.52;-0.32;0.65;-0.66;-1.21;1.38;-0.20;0.60;-0.09;2.26;1.60;-0.51;-0.65;-1.92;0.77;0.85;2.27
351260;-0.8103997257438008;0.33;-0.53;-0.30;-0.40;-0.25;-0.80;-0.04;0.04;0.98;-0.23;-0.48;-0.40;-2.73;-0.32;0.24;-0.66;-1.21;0.79;-0.20;0.18;-0.09;-0.47;-0.76;-0.51;-0.65;-1.92;0.50;0.48;1.96;0.33;-0.53;-0.30;-0.40;-0.25;-0.80;-0.04;0.04;0.98;-0.23;-0.48;-0.40;-2.73;-0.32;0.24;-0.66;-1.21;0.79;-0.20;0.18;-0.09;-0.47;-0.76;-0.51;-0.65;-1.92;0.50;0.48;1.96
412790;-0.3182706237447796;-2.39;1.89;-0.30;-0.22;4.26;-0.80;-0.04;-0.06;-1.02;-0.06;1.78;-0.23;-2.73;-0.32;0.06;-0.66;0.64;0.55;-0.20;0.65;-0.09;2.15;1.11;-0.51;-0.65;0.74;0.26;0.29;-0.47;-2.39;1.89;-0.30;-0.22;4.26;-0.80;-0.04;-0.06;-1.02;-0.06;1.78;-0.23;-2.73;-0.32;0.06;-0.66;0.64;0.55;-0.20;0.65;-0.09;2.15;1.11;-0.51;-0.65;0.74;0.26;0.29;-0.47
310780;0.16651223821117292;0.40;1.36;-0.30;-0.16;3.71;1.15;-0.04;-0.17;0.91;-0.07;-0.48;-0.18;0.58;-0.32;0.25;1.40;0.72;0.72;-0.20;0.44;-0.09;-0.47;0.90;2.07;1.60;0.62;0.12;0.42;-0.47;0.40;1.36;-0.30;-0.16;3.71;1.15;-0.04;-0.17;0.91;-0.07;-0.48;-0.18;0.58;-0.32;0.25;1.40;0.72;0.72;-0.20;0.44;-0.09;-0.47;0.90;2.07;1.60;0.62;0.12;0.42;-0.47
