#Codigo;População;Legislativa;Judiciária;Essencial à Justiça;Administração;Defesa Nacional;Segurança Pública;Relações Exteriores;Assistência Social;Previdência Social;Saúde;Trabalho;Educação;Cultura;Direitos da Cidadania;Urbanismo;Habitação;Saneamento;Gestão Ambiental;Ciência e Tecnologia;Agricultura;Organização Agrária;Indústria;Comércio e Serviços;Comunicações;Energia;Transporte;Desporto e Lazer;Encargos Especiais;Despesas (Intraorçamentárias)
250485;-1.6579449057324578;0.27;-0.55;-0.30;-1.22;-0.24;-0.82;-0.04;-0.77;-1.00;-0.94;-0.48;-1.02;-0.45;-0.35;-0.07;-0.66;-1.20;-1.27;-0.20;0.28;-0.09;-0.47;-0.78;1.83;1.56;0.06;0.38;0.17;-0.49
290190;0.3236795669287597;0.41;1.90;-0.30;-0.62;-0.24;1.04;-0.04;-0.13;-1.00;-0.00;-0.48;0.28;0.62;-0.35;0.28;-0.66;-1.20;-1.27;-0.20;0.01;-0.09;-0.47;-0.78;-0.49;1.65;-1.85;-1.10;0.53;-0.49
412788;-0.49082888271235425;-2.34;1.78;-0.30;-0.81;-0.24;-0.82;-0.04;-0.62;-1.00;-0.31;-0.48;-0.45;-0.21;-0.35;0.00;-0.66;-1.20;0.81;-0.20;-0.02;-0.09;1.77;-0.78;-0.49;-0.65;0.55;0.35;0.34;-0.49
270100;0.6268731768953361;0.52;1.90;-0.30;0.48;-0.24;-0.82;-0.04;0.63;1.11;0.50;-0.48;0.51;0.74;-0.35;0.57;-0.66;1.06;-1.27;-0.20;0.66;-0.09;1.88;0.80;-0.49;-0.65;0.27;0.93;-1.86;-0.49
330513;-0.511065909335681;0.50;-0.55;-0.30;0.70;-0.24;-0.82;-0.04;0.32;0.76;0.17;-0.48;-0.26;0.35;-0.35;0.65;1.71;-1.20;0.96;-0.20;0.55;-0.09;-0.47;-0.78;-0.49;-0.65;0.70;0.44;0.02;-0.49
270770;1.4968400737053502;0.66;-0.55;-0.30;1.11;-0.24;-0.82;-0.04;0.65;-1.00;0.93;2.03;1.04;0.85;-0.35;0.81;0.59;-1.20;0.99;-0.20;-2.97;-0.09;-0.47;1.44;-0.49;-0.65;0.49;0.14;0.65;-0.49
250690;0.54196692674534;-2.34;-0.55;-0.30;0.19;-0.24;-0.82;-0.04;0.54;-1.00;0.40;-0.48;0.12;0.57;-0.35;0.32;-0.66;-1.20;0.77;-0.20;0.38;-0.09;2.07;-0.78;-0.49;-0.65;-1.85;-0.94;0.53;-0.49
231230;1.0746551455974584;0.55;-0.55;-0.30;1.30;-0.24;-0.82;-0.04;-0.29;-1.00;0.60;-0.48;0.86;0.68;-0.35;0.33;-0.66;-1.20;0.66;-0.20;0.73;-0.09;-0.47;1.59;-0.49;1.89;0.58;0.01;0.48;-0.49
521720;-0.12775723790473015;0.41;1.69;-0.30;-0.66;3.85;1.17;-0.04;0.00;1.11;0.10;2.12;-0.11;-1.63;-0.35;0.10;1.47;-1.20;0.44;-0.20;0.28;-0.09;-0.47;0.83;-0.49;-0.65;0.49;0.24;0.40;-0.49
220910;-0.6470689347162051;0.21;-0.55;-0.30;-0.55;-0.24;-0.82;-0.04;-0.76;-1.00;-0.74;1.93;-0.68;-1.15;2.37;-0.93;-0.66;0.91;0.15;-0.20;0.00;-0.09;-0.47;-0.78;1.67;1.58;-0.22;0.31;-1.86;-0.49
150555;-0.717158823574017;-2.34;-0.55;-0.30;0.68;-0.24;-0.82;-0.04;-1.20;-1.00;-0.36;-0.48;-0.23;-0.56;-0.35;-0.83;-0.66;0.97;-1.27;-0.20;-0.98;-0.09;-0.47;-0.78;-0.49;0.93;0.61;0.45;0.25;-0.49
220435;-0.7701427915361196;0.20;-0.55;-0.30;-0.92;-0.24;0.50;-0.04;-1.00;-1.00;-0.82;-0.48;-0.65;-0.17;-0.35;-0.58;-0.66;-1.20;0.90;-0.20;-0.21;-0.09;-0.47;-0.78;1.66;1.59;0.37;-0.40;0.21;-0.49
