#Codigo;Cidade;GAUSSIAN-MODEL_REL_NOR;SVM_REL_NOR;COP_REL_NOR;OPTICS_REL_NOR;LOF_REL_NOR;GAUSSIAN-MODEL_SUA_NOR;SVM_SUA_NOR;COP_SUA_NOR;OPTICS_SUA_NOR;LOF_SUA_NOR
521370;Montes Claros de Goiás - GO;1;7174,09;1;2,65;2,66;1;-820,51;1;1,23;1,23
353000;Mira Estrela - SP;1;7062,58;1;2,03;2,05;1;-7636,5;0,59;1,07;1,07
520320;Barro Alto - GO;1;6839,54;1;2,73;2,75;1;-8818,87;1;1,11;1,11
330395;Pinheiral - RJ;1;6789,08;1;1,97;2;1;-6579,51;1;1,24;1,25
420945;Lajeado Grande - SC;1;6550,19;0,5;1,48;1,49;1;-5442,19;0,11;1,05;1,05
312340;Doresópolis - MG;1;6509,58;1;1,75;1,76;1;-4971,81;0,18;1,02;1,02
430210;Bento Gonçalves - RS;1;6507,18;0,21;1,98;2,02;1;46,44;0,26;1,07;1,08
355580;Urânia - SP;1;6057,08;1;2,83;2,88;1;-7626,75;0,05;1,19;1,19
353690;Pedranópolis - SP;1;5937,65;0,8;1,76;1,76;1;-5830,25;0,35;1,13;1,13
314010;Marilac - MG;1;5824,13;1;2,06;2,09;1;-6807,43;1;1,1;1,1
431775;Santo Antônio do Planalto - RS;1;5789,71;1;1,87;1,88;1;-4084,54;1;1,31;1,32
432162;Travesseiro - RS;1;5608,86;1;1,61;1,61;1;-4269,42;1;1,14;1,15
410740;Enéas Marques - PR;1;5600,34;0,1;2,04;2,07;1;-3296,43;1;1,28;1,29
430265;Brochier - RS;1;5460,33;0,86;1,91;1,93;1;-4114,33;0,99;1,37;1,38
354880;São Caetano do Sul - SP;1;5399,81;1;2,08;2,1;1;4501,03;1;1,51;1,52
430090;Aratiba - RS;1;5009,45;0,15;1,76;1,78;1;-7481,99;0,3;1,23;1,23
420985;Lindóia do Sul - SC;1;4846,56;0,08;1,7;1,72;1;-7562,2;0;1,02;1,02
354860;São Bento do Sapucaí - SP;1;4790,99;0,49;1,88;1,88;1;-4242,7;0,97;1,33;1,33
330475;São Francisco de Itabapoana - RJ;1;4469,66;0,99;2,93;2,98;1;-5785,89;1;1,31;1,31
421310;Piratuba - SC;1;4463,93;1;1,71;1,71;1;-7743,2;0,99;1,03;1,03
421610;São Domingos - SC;1;4441,7;0,94;1,96;1,99;1;-1650,22;1;1,37;1,38
316140;São Francisco do Glória - MG;1;4169,31;1;2,89;2,9;1;107242,12;1;3,01;3,05
510840;Várzea Grande - MT;1;3745,12;0,91;1,96;1,98;1;2686,13;1;1,31;1,31
430642;Dois Irmãos das Missões - RS;1;3689,02;1;2,03;2,04;1;-5615,5;1;1,08;1,08
352965;Mesópolis - SP;1;3386,12;1;1,71;1,72;1;-4202,96;0,97;1,19;1,19
314820;Patrocínio do Muriaé - MG;1;3187,91;0,04;2,06;2,08;1;-3481,38;1;1,27;1,29
521878;Rio Quente - GO;1;3176,08;1;2,04;2,05;1;-5822,08;1;1,17;1,17
431350;Osório - RS;1;3153,64;1;2,46;2,48;1;-6948,65;1;1,21;1,21
311535;Catas Altas - MG;1;3086,03;0,92;1,75;1,77;1;-7727;1;1,03;1,03
520545;Cezarina - GO;1;3036,63;0,98;1,76;1,76;1;-1967,64;1;1,22;1,22
430105;Arroio do Sal - RS;1;2928,01;1;1,97;2;1;-8002,29;1;1,2;1,21
210235;Buritirana - MA;1;2842,7;0,98;1,75;1,77;1;-4590,44;1;1,27;1,28
353286;Nova Castilho - SP;1;2728,31;1;1,7;1,72;1;-5358,39;1;1,15;1,15
431020;Ijuí - RS;1;2663,65;1;1,81;1,83;1;-5335,15;1;1,22;1,22
330590;Trajano de Moraes - RJ;1;2613,18;1;2,03;2,05;1;-9324,65;0,15;1,07;1,07
430885;Gentil - RS;1;2576,83;0,67;1,43;1,44;1;-6277,05;0,04;1,04;1,04
312290;Dona Eusébia - MG;1;2303,43;1;2,71;2,75;1;107067,37;1;3,01;3,05
354850;Santos - SP;1;2283,23;1;1,98;2;1;10762,22;0,05;1,15;1,15
412040;Presidente Castelo Branco - PR;1;2249,79;1;2,72;2,74;1;107280,07;1;3,01;3,05
351610;Florínia - SP;1;2245,44;1;1,87;1,88;1;-3540,15;1;1,26;1,27
350745;Borebi - SP;1;2125,64;1;2,01;2,02;1;-1904,65;1;1,38;1,38
411230;Japira - PR;1;2074,86;0,74;1,81;1,84;1;-4490,65;0,29;1,17;1,17
171550;Oliveira de Fátima - TO;1;2068,13;1;1,62;1,62;1;-4572,47;1;1,1;1,1
432200;Triunfo - RS;1;2022,32;1;1,71;1,73;1;-7480,34;0,1;1,05;1,05
431127;Lagoa dos Três Cantos - RS;1;1948,87;1;1,54;1,54;1;-4954,16;0,84;1,12;1,12
431805;São Domingos do Sul - RS;1;1941,75;1;1,54;1,55;1;-5682,23;1;1,07;1,07
320490;São Mateus - ES;1;1760,96;0,93;1,87;1,88;1;-2783,33;1;1,19;1,19
352070;Indiaporã - SP;1;1654,37;1;1,78;1,8;1;-7943,82;0,99;1,23;1,23
430485;Carlos Gomes - RS;1;1611,2;1;1,72;1,74;1;-4892,59;0,53;1,26;1,27
420055;Águas Frias - SC;1;1606,54;0,01;1,45;1,46;1;-5228,36;0;1,05;1,05
430066;André da Rocha - RS;1;1555,47;1;1,72;1,73;1;-5765,78;1;1,11;1,11
500797;Taquarussu - MS;1;1517,33;1;1,98;1,99;1;-5161,04;1;1,14;1,14
130120;Coari - AM;1;1492,27;0,97;1,83;1,86;1;-700,79;1;1,43;1,43
521645;Perolândia - GO;1;1452,5;1;1,94;1,96;1;-7652,13;1;1,12;1,13
210215;Brejo de Areia - MA;1;1414,36;1;3,09;3,14;1;4351,53;1;1,24;1,24
310070;Água Comprida - MG;1;1408,91;1;1,71;1,71;1;-6239,43;1;1,2;1,2
430955;Harmonia - RS;1;1369,95;1;1,8;1,81;1;-3074,59;1;1,17;1,18
240070;Alto do Rodrigues - RN;1;1346,77;1;2,07;2,1;1;-6849,11;1;1,3;1,3
430003;Aceguá - RS;1;1265,11;0,96;1,94;1,95;1;-7741;1;1,07;1,07
250820;Lagoa de Dentro - PB;1;1191,03;0,17;1,81;1,83;1;-5580,45;0,87;1,12;1,12
351330;Cruzália - SP;1;1165,69;1;1,79;1,81;1;-6609,05;0,96;1,12;1,12
420680;Ibicaré - SC;1;1123,25;1;1,75;1,76;1;-3947,78;1;1,2;1,21
330270;Maricá - RJ;1;1112,13;1;2,38;2,39;1;-1798,98;1;1,16;1,16
350570;Barueri - SP;1;936,2;1;1,79;1,81;1;4750,17;0,89;1,19;1,2
412830;Uniflor - PR;1;852,53;1;2,1;2,12;1;-2237,44;0,81;1,13;1,14
432140;Tenente Portela - RS;1;806,14;1;2,06;2,07;1;-348,85;1;1,55;1,56
140023;Caroebe - RR;1;775,5;0,02;1,74;1,76;1;-8073,97;0,53;1,08;1,08
330245;Macuco - RJ;1;760,77;1;1,98;2;1;-7190,66;1;1,2;1,21
160027;Laranjal do Jari - AP;1;759,73;0,6;1,88;1,89;1;-6092,62;0,15;1,24;1,24
421055;Marema - SC;1;744,23;0,08;1,34;1,35;1;-6025,8;0,22;1,03;1,03
431470;Planalto - RS;1;722;1;2,54;2,59;1;106722,8;1;3,01;3,05
350775;Brejo Alegre - SP;1;613,67;1;1,66;1,67;1;-5845,78;0,07;0,97;0,97
420075;Alto Bela Vista - SC;1;489,49;0,17;1,29;1,29;1;-6555,32;0;1,03;1,04
170980;Ipueiras - TO;1;392,34;0,76;1,73;1,74;1;-5380,43;1;1,13;1,13
350930;Cajobi - SP;1;324,62;0,57;1,77;1,79;1;-4801,16;1;1,19;1,19
315010;Piau - MG;1;251,01;1;2,16;2,18;1;-5536,95;1;1,06;1,06
520690;Davinópolis - GO;1;189,49;1;1,61;1,61;1;-6988,44;0,04;1,09;1,08
411260;Jardim Olinda - PR;1;160,78;1;1,79;1,79;1;-5621,01;0,56;1,12;1,12
420710;Ilhota - SC;1;110,25;0,99;2,27;2,3;1;-3661,65;1;1,08;1,08
430510;Caxias do Sul - RS;1;104,26;0,99;1,8;1,81;1;6889,44;0,01;1,09;1,09
520540;Ceres - GO;1;57,85;1;1,74;1,76;1;3883,69;1;1,38;1,39
521540;Ouro Verde de Goiás - GO;1;26,12;1;2,1;2,12;1;-2411,64;1;1,35;1,35
431673;Santa Cecília do Sul - RS;1;0,04;0,95;1,41;1,43;1;-4157,94;1;1,15;1,15
313980;Mar de Espanha - MG;1;-0,04;1;2,5;2,5;1;106643,97;1;3,01;3,05
280730;Telha - SE;1;-49,3;0,96;1,89;1,89;1;-1994,43;0;1,11;1,11
315500;Rio Doce - MG;1;-58,01;1;2,12;2,13;1;16192,02;0,37;1,88;1,91
351565;Fernão - SP;1;-61,94;1;1,62;1,63;1;-3260,18;1;1,11;1,1
430462;Capão Bonito do Sul - RS;1;-73,48;1;2,01;2,03;1;-3448,99;1;1,23;1,23
520005;Abadia de Goiás - GO;1;-90,3;0,01;1,69;1,69;1;-4249,93;0,99;1,19;1,19
220323;Currais - PI;1;-232,56;1;2,09;2,11;1;-1759,06;0,03;1,27;1,28
353460;Osvaldo Cruz - SP;1;-343,43;0,03;1,7;1,72;1;-5811,02;0,98;1,13;1,13
150215;Canaã dos Carajás - PA;1;-505,52;1;1,89;1,9;1;-5408,01;1;1,34;1,35
351830;Guararema - SP;1;-521,6;1;2,08;2,09;1;-5728,8;1;1,18;1,18
421005;Macieira - SC;1;-567,03;0,5;1,3;1,31;1;-5380,82;0,11;1,11;1,11
250485;Coxixola - PB;1;-579,62;0,98;1,9;1,92;1;-3468,09;0,2;1,06;1,06
431215;Mato Leitão - RS;1;-580,78;0,03;1,65;1,66;1;-7420,11;1;1,06;1,06
432377;Westfalia - RS;1;-592,16;1;1,51;1,51;1;-5641,28;0,49;1,07;1,07
330100;Campos dos Goytacazes - RJ;1;-638,71;1;1,86;1,89;1;15275,77;1;1,25;1,26
211065;São Domingos do Azeitão - MA;1;-654,16;1;1,8;1,82;1;-2437,7;1;1,29;1,3
521487;Nova Iguaçu de Goiás - GO;1;-698,91;0,01;1,69;1,7;1;-1571,92;1;1,18;1,18
