#Codigo;Cidade;GAUSSIAN-MODEL_REL_NOR;SVM_REL_NOR;COP_REL_NOR;OPTICS_REL_NOR;LOF_REL_NOR;GAUSSIAN-MODEL_SUA_NOR;SVM_SUA_NOR;COP_SUA_NOR;OPTICS_SUA_NOR;LOF_SUA_NOR
150034;Água Azul do Norte - PA;1;-6925,61;0,01;0,99;0,99;1;-6716,14;0,11;1,13;1,13
431164;Linha Nova - RS;1;-6926,95;1;2,01;2,03;1;4753,08;1;1,24;1,25
251340;Santa Luzia - PB;1;-6929,16;0,08;1,44;1,44;1;-8643,89;0,01;1,21;1,21
310560;Barbacena - MG;1;-6931,6;1;1,58;1,58;1;-1199,83;1;1,27;1,27
150440;Marapanim - PA;1;-6932,26;0,76;1,17;1,18;1;-3906,93;0,14;1,13;1,13
211290;Vitória do Mearim - MA;1;-6932,88;0;1,02;1,02;1;-3386,49;0,01;1,1;1,1
150812;Ulianópolis - PA;1;-6935,1;1;1,17;1,17;1;-8436,91;1;1,23;1,24
210455;Governador Edison Lobão - MA;1;-6935,89;0;1,03;1,03;1;-7469,82;0;1,02;1,02
351750;Guapiaçu - SP;1;-6944,22;0,23;1,53;1,54;1;-9218,59;0,99;1,05;1,05
251530;Sapé - PB;1;-6950,23;0,12;1,06;1,06;1;-6237,84;1;1,3;1,3
313940;Manhuaçu - MG;1;-6957,87;0,12;1,26;1,27;1;-5398,2;1;1,31;1,31
430865;Garruchos - RS;1;-6960,2;0,34;1,53;1,53;1;-6259,34;1;1,13;1,13
220205;Cabeceiras do Piauí - PI;1;-6961,2;0;1,07;1,08;1;-5798,02;0,01;1,1;1,1
110130;Mirante da Serra - RO;1;-6963,05;0,22;1,12;1,12;1;-4964,46;0,04;1,1;1,1
290580;Camamu - BA;1;-6963,33;0;1,01;1,01;1;-6388,64;0,09;1,19;1,19
510250;Cáceres - MT;1;-6964,22;1;1,33;1,34;1;-4459,51;1;1,29;1,29
352430;Jaboticabal - SP;1;-6964,69;1;1,43;1,44;1;-4379,18;0;1,12;1,13
110010;Guajará-Mirim - RO;1;-6967,14;0,05;1,26;1,27;1;-10249,3;1;1,1;1,1
430355;Camargo - RS;1;-6969,57;1;1,39;1,4;1;-8295,94;0,05;1,03;1,03
210170;Barreirinhas - MA;1;-6969,72;0,76;1,05;1,05;1;-7318,73;1;1,22;1,22
150090;Augusto Corrêa - PA;1;-6970,42;1;1,04;1,04;1;-8874,37;1;1,14;1,14
130380;São Gabriel da Cachoeira - AM;1;-6972,73;0;0,99;0,99;1;-9762,35;0,05;1,08;1,08
171790;Ponte Alta do Tocantins - TO;1;-6974,56;0,01;1,22;1,22;1;-5457,83;0,01;1,06;1,06
110012;Ji-Paraná - RO;1;-6975,05;0,01;1,14;1,14;1;-7900,17;0,95;1,16;1,16
315220;Porteirinha - MG;1;-6976,54;0;0,97;0,97;1;-9258,93;0;1,04;1,05
230470;Granja - CE;1;-6977,04;0,65;1,4;1,41;1;-6664,1;1;1,16;1,16
430950;Guarani das Missões - RS;1;-6979,89;0,01;1,16;1,16;1;-9483,62;0;1;1
150270;Conceição do Araguaia - PA;1;-6980,66;0,09;1,05;1,05;1;-8386,74;0,99;1,21;1,21
290630;Canavieiras - BA;1;-6981,3;0;1;1;1;-10069,96;0;1,03;1,03
230770;Maranguape - CE;1;-6983,17;0,01;1,07;1,07;1;-8498,34;0,01;1,1;1,1
210510;Icatu - MA;1;-6991,99;0;1,04;1,04;1;-6630,68;0,01;1,04;1,05
350490;Bananal - SP;1;-6996,63;0,12;1,63;1,64;1;-4813,68;0,75;1,11;1,12
150620;Salinópolis - PA;1;-7003,9;0,04;1,13;1,13;1;-8628,46;1;1,06;1,06
352500;Jandira - SP;1;-7004,33;0,95;1,54;1,56;1;-177,67;1;1,25;1,26
211170;São Vicente Ferrer - MA;1;-7006,73;0;1,05;1,05;1;-4588,79;1;1,22;1,22
210845;Peritoró - MA;1;-7009,3;0;1,05;1,05;1;-6680,76;0;1,09;1,09
421185;Ouro Verde - SC;1;-7012,04;0,99;1,41;1,42;1;-7003,06;0,09;1,05;1,05
210660;Matões - MA;1;-7013,26;1;1,09;1,09;1;-6271,25;1;1,29;1,29
230425;Cruz - CE;1;-7021,95;0,01;0,99;0,99;1;-9172,29;0,94;1,01;1,01
330560;Silva Jardim - RJ;1;-7022,46;1;1,63;1,64;1;-7695,43;1;1,19;1,2
241010;Poço Branco - RN;1;-7023,16;0;0,98;0,98;1;-7189,68;0,02;1,08;1,08
230015;Acarape - CE;1;-7023,5;0,02;1,16;1,16;1;-6188,6;0,98;1,2;1,2
150470;Moju - PA;1;-7027,05;0,01;1,09;1,09;1;-7867,34;1;1,25;1,25
261110;Petrolina - PE;1;-7031,37;0,92;1,24;1,24;1;-462,29;1;1,4;1,41
150070;Anajás - PA;1;-7033,31;0;1,12;1,12;1;-7812,07;1;1,06;1,06
316700;Serranos - MG;1;-7037,29;1;1,63;1,64;1;-5121,41;1;1,13;1,12
350380;Artur Nogueira - SP;1;-7039,78;0,07;1,35;1,35;1;-6179,43;1;1,21;1,22
210667;Milagres do Maranhão - MA;1;-7042,25;0,2;1,28;1,28;1;-6798,81;1;1,03;1,03
420785;Irati - SC;1;-7049,67;0,01;1,46;1,46;1;-5638,78;0,91;1,03;1,03
211245;Turilândia - MA;1;-7053,93;0;1,1;1,1;1;-7856,63;0;1,01;1,01
260960;Olinda - PE;1;-7055,71;0,14;1,51;1,52;1;772,83;1;1,17;1,18
354610;Santa Clara d'Oeste - SP;1;-7056,06;0,1;1,37;1,38;1;-6075,83;0,01;0,98;0,98
352310;Itaquaquecetuba - SP;1;-7058,29;0,01;1,38;1,39;1;-1286,43;0,05;1,13;1,14
280740;Tobias Barreto - SE;1;-7063,74;0,1;1,31;1,32;1;-6503,56;1;1,19;1,19
320520;Vila Velha - ES;1;-7064,99;0,4;1,49;1,5;1;126,43;1;1,28;1,29
314400;Mutum - MG;1;-7067,04;0,99;1,13;1,13;1;-10365,7;0,01;1,04;1,04
261010;Palmeirina - PE;1;-7069,94;0,18;1,58;1,59;1;-5963,74;0,02;1,13;1,13
522028;São Patrício - GO;1;-7070,44;1;1,7;1,71;1;-4540,19;0,84;1,11;1,11
251550;Serra Branca - PB;1;-7073,61;0,94;1,12;1,12;1;-8166,52;0,52;1,06;1,05
293300;Valente - BA;1;-7075,18;0,1;1,08;1,08;1;-9170,21;1;1,2;1,2
250890;Mamanguape - PB;1;-7078,11;1;1,21;1,21;1;-5431,61;1;1,31;1,32
292305;Novo Triunfo - BA;1;-7078,29;0,21;1,13;1,13;1;-7253,11;1;1,07;1,07
210040;Altamira do Maranhão - MA;1;-7085,68;0,89;1,23;1,24;1;-3945,62;0,76;1,14;1,14
220670;Nazaré do Piauí - PI;1;-7090,61;0,01;1,16;1,16;1;-6831,2;0;1;1
172020;São Miguel do Tocantins - TO;1;-7093,9;0,23;1,25;1,25;1;-7871,94;0,49;1,1;1,1
250370;Cajazeiras - PB;1;-7095,15;0;1,19;1,19;1;-8057,56;0,03;1,27;1,27
431730;Santa Vitória do Palmar - RS;1;-7095,23;0,03;1,42;1,43;1;-8723,59;0,99;1,18;1,18
210015;Água Doce do Maranhão - MA;1;-7098,69;0,02;1,2;1,2;1;-5036,96;0,6;1,14;1,14
521740;Pires do Rio - GO;1;-7099,28;0,01;1,09;1,09;1;-9991,99;0,01;1,08;1,08
150500;Nova Timboteua - PA;1;-7107,06;0,3;1,32;1,32;1;-6447,39;0;1,02;1,02
130310;Nova Olinda do Norte - AM;1;-7107,43;0,01;0,99;0,99;1;-10894,51;0,03;1,04;1,04
120001;Acrelândia - AC;1;-7109,14;1;1,57;1,57;1;32183,54;1;2,35;2,38
210540;Itapecuru Mirim - MA;1;-7111,22;0,03;1,11;1,12;1;-7875,8;0,85;1,15;1,15
150660;Santa Maria do Pará - PA;1;-7114,35;0;1,12;1,13;1;-7989,77;0,78;1,12;1,12
510345;Denise - MT;1;-7115,81;0;1,14;1,14;1;854,13;0,19;1,22;1,23
150803;Tracuateua - PA;1;-7118,27;1;2,15;2,17;1;-6566,9;0,02;1,32;1,32
420730;Imbituba - SC;1;-7118,63;0,56;1,55;1,57;1;-6315,44;1;1,25;1,25
421715;São Miguel da Boa Vista - SC;1;-7119,61;0;1,23;1,24;1;-4958,86;0;0,99;0,99
314290;Monte Azul - MG;1;-7120,99;0,1;1,14;1,14;1;-7175,54;1;1,19;1,19
421460;Rio do Oeste - SC;1;-7127,93;1;1,56;1,56;1;-7173,93;1;1,08;1,08
210370;Cururupu - MA;1;-7135,21;0;1,01;1,01;1;-6749,52;0,39;1,12;1,12
292860;Santo Amaro - BA;1;-7135,38;1;1,76;1,76;1;-4614,19;1;1,41;1,41
220555;Lagoa Alegre - PI;1;-7136,89;0,01;1,22;1,23;1;-8136,63;0,02;1,06;1,06
261350;São José do Belmonte - PE;1;-7141,01;0;1,05;1,05;1;-6911,78;1;1,27;1,27
280460;Nossa Senhora das Dores - SE;1;-7141,13;0,01;1,21;1,22;1;-7632,81;0,95;1,14;1,15
251390;São Bento - PB;1;-7142,12;0,02;0,97;0,97;1;-7604,73;0,09;1,14;1,14
110146;Pimenteiras do Oeste - RO;1;-7146,96;0,59;1,55;1,55;1;-926,01;0,01;1,23;1,23
292160;Morpará - BA;1;-7146,97;1;1,34;1,34;1;4817,56;1;1,2;1,21
150375;Jacareacanga - PA;1;-7147,41;0,03;1;1;1;-5732,63;0,08;1,14;1,14
260260;Brejo da Madre de Deus - PE;1;-7148,73;0;1,04;1,05;1;-8350,15;0,85;1,14;1,14
210490;Guimarães - MA;1;-7150,03;0,02;1,05;1,05;1;-4480,1;1;1,29;1,29
314310;Monte Carmelo - MG;1;-7151,76;0,4;1,43;1,43;1;-6377,41;0,53;1,1;1,1
250040;Alagoa Nova - PB;1;-7152,53;0,05;1,2;1,2;1;-7271,15;0,84;1,09;1,09
150618;Rondon do Pará - PA;1;-7154,1;0;1,02;1,02;1;-9893,41;0,11;1,03;1,03
280560;Porto da Folha - SE;1;-7154,84;1;0,97;0,97;1;-6977,56;1;1,28;1,28
270930;União dos Palmares - AL;1;-7158,98;0,03;1,06;1,06;1;-8154,92;0,99;1,14;1,14
430010;Agudo - RS;1;-7160,3;0,51;1,56;1,58;1;-7223,22;1;1,1;1,1
260210;Bom Conselho - PE;1;-7160,43;0,02;1,09;1,09;1;-8257,86;0,85;1,09;1,09
230970;Pacatuba - CE;1;-7161,46;0,01;1,35;1,37;1;-7441,01;1;1,25;1,25
220150;Batalha - PI;1;-7163,5;0;0,99;0,99;1;-8131,36;0;1,12;1,12
220310;Cristino Castro - PI;1;-7164,14;0,01;0,98;0,98;1;-7874,87;0,02;1,01;1,01
430110;Arroio dos Ratos - RS;1;-7164,56;0,98;1,37;1,38;1;-4031,09;1;1,28;1,28
130110;Careiro - AM;1;-7170,67;0,03;1,07;1,07;1;-8079,42;0,3;1,03;1,03
280440;Neópolis - SE;1;-7172,22;0,14;1,3;1,3;1;-859,1;0,04;1,15;1,16
170255;Augustinópolis - TO;1;-7173,16;0;1,18;1,19;1;-6053,25;1;1,27;1,27
170220;Araguatins - TO;1;-7173,39;0,88;1,24;1,24;1;-9352,09;0;1,05;1,05
150715;São Domingos do Araguaia - PA;1;-7174,81;1;1,24;1,24;1;-5244,8;1;1,31;1,31
230330;Cariús - CE;1;-7176,87;0,04;1,16;1,17;1;-9354,97;0;1,01;1,01
293015;Serra do Ramalho - BA;1;-7179,34;0,01;1,16;1,16;1;-8574,31;0,77;1,14;1,14
250630;Guarabira - PB;1;-7179,77;1;1,09;1,09;1;-6163,02;1;1,23;1,23
315670;Sabará - MG;1;-7182,35;0;1,27;1,27;1;-7110,63;1;1,26;1,26
150405;Mãe do Rio - PA;1;-7183,19;0,32;1,08;1,08;1;-9574,76;1;1,18;1,18
210480;Grajaú - MA;1;-7189,26;0,94;1,02;1,02;1;-7245,06;1;1,29;1,3
431560;Rio Grande - RS;1;-7189,55;0,96;1,64;1,65;1;-1877,1;1;1,13;1,13
290560;Camacan - BA;1;-7189,89;0;1,01;1,01;1;-9881,81;0,02;1,06;1,06
250030;Alagoa Grande - PB;1;-7195,88;0;0,96;0,96;1;-8995,19;0;1,01;1,01
293050;Serrinha - BA;1;-7201,11;0;1;1;1;-9959,97;0,16;1,11;1,11
250690;Itabaiana - PB;1;-7201,9;0,06;1,11;1,11;1;-6648,93;0,53;1,18;1,18
211090;São Francisco do Maranhão - MA;1;-7204,05;0;0,98;0,98;1;-5634,85;0;1,05;1,06
251620;Sousa - PB;1;-7206,47;0,1;1,23;1,23;1;-9299,24;1;1,07;1,07
330170;Duque de Caxias - RJ;1;-7206,91;0,8;1,48;1,48;1;1388,24;1;1,2;1,21
421130;Navegantes - SC;1;-7213,46;1;1,69;1,69;1;-4261,44;0,42;1,15;1,16
150275;Concórdia do Pará - PA;1;-7215;0,7;1,26;1,27;1;-5122,36;0,02;1,15;1,15
292990;Seabra - BA;1;-7215,92;1;1,71;1,72;1;-8075,83;0,08;1,2;1,2
290490;Cachoeira - BA;1;-7222,72;0,65;1,3;1,3;1;-7680,73;0,08;1,09;1,09
292250;Nazaré - BA;1;-7223,91;0;1,02;1,02;1;-7308,13;0,11;1,08;1,08
311160;Campos Gerais - MG;1;-7226,25;0,02;1,08;1,09;1;-10262,43;0,01;1,01;1,01
432120;Taquara - RS;1;-7228,2;0,99;1,26;1,26;1;-7208,46;1;1,23;1,23
130255;Manaquiri - AM;1;-7228,91;0,73;0,97;0,97;1;-9932,46;0;1,06;1,06
220470;Inhuma - PI;1;-7229,39;0,01;1;1;1;-7591,03;0;1;1
410315;Bom Jesus do Sul - PR;1;-7231,89;0,16;1,59;1,6;1;-5847,54;1;1,11;1,11
240650;Lagoa Nova - RN;1;-7233,29;0;1,01;1,01;1;-4612,31;0,01;1,08;1,08
292750;Santa Bárbara - BA;1;-7236,3;0;1,09;1,09;1;-8311,71;0;1,03;1,03
210635;Marajá do Sena - MA;1;-7237,8;0,81;1,76;1,76;1;-4997,88;0,12;1,08;1,08
420195;Balneário Arroio do Silva - SC;1;-7238,66;1;1,62;1,63;1;-5982,05;1;1,16;1,16
290035;Adustina - BA;1;-7240,05;0;0,98;0,98;1;-7968,28;0,01;1,07;1,07
314790;Passos - MG;1;-7240,96;0,01;1,2;1,2;1;-7987,57;0,99;1,19;1,19
260400;Carpina - PE;1;-7241,94;0,18;1,11;1,11;1;-8329,02;1;1,19;1,2
261250;Santa Cruz do Capibaribe - PE;1;-7242,51;0,01;1,29;1,29;1;-8379,94;0,07;1,2;1,2
431213;Mato Castelhano - RS;1;-7242,95;1;1,68;1,69;1;-499,79;1;1,37;1,38
510325;Colniza - MT;1;-7245,42;0;1,05;1,05;1;-10111,25;0;1;1
521830;Posse - GO;1;-7248,74;1;1,74;1,75;1;-1793,58;1;1,16;1,15
150445;Medicilândia - PA;1;-7248,76;0,01;1,07;1,07;1;-8667,02;0;1,03;1,04
250710;Itapororoca - PB;1;-7251,08;0,39;1,2;1,2;1;-7376,65;0,33;1,22;1,22
280350;Lagarto - SE;1;-7253,46;1;1,27;1,26;1;-1823,64;1;1,35;1,35
110008;Costa Marques - RO;1;-7254,86;0,01;1,04;1,04;1;-5860,94;0,01;1,08;1,09
500500;Jardim - MS;1;-7255,48;1;1,7;1,71;1;-8567,17;1;1,15;1,15
291070;Euclides da Cunha - BA;1;-7256,65;0,09;1,08;1,08;1;-7724,19;0,06;1,09;1,09
432240;Uruguaiana - RS;1;-7258,01;0,55;1,17;1,17;1;-4512,03;1;1,23;1,24
420757;Iomerê - SC;1;-7258,62;0,4;1,44;1,46;1;-5745,97;1;1,02;1,02
230350;Cascavel - CE;1;-7260,59;0,3;1,16;1,16;1;-8953,23;0,56;1,12;1,12
280020;Aquidabã - SE;1;-7260,67;0,64;1,36;1,36;1;-4285,73;1;1,18;1,18
211220;Timon - MA;1;-7262,39;1;1,19;1,2;1;-2029,87;0,41;1,16;1,16
260110;Araripina - PE;1;-7263,34;0,97;2,06;2,08;1;-4377,6;0,24;1,12;1,12
210690;Monção - MA;1;-7264,55;1;1,03;1,03;1;-2698,36;1;1,41;1,42
314860;Peçanha - MG;1;-7267,58;0,01;1,16;1,16;1;-9349,59;1;1,09;1,09
313840;Leopoldina - MG;1;-7268,23;1;1,2;1,21;1;-8336,22;0,99;1,1;1,1
320405;Pedro Canário - ES;1;-7269,69;0,21;1,32;1,32;1;-6969,49;1;1,19;1,19
210095;Arame - MA;1;-7270,75;0,02;1,07;1,07;1;-8453,69;0,01;1,03;1,03
150503;Novo Progresso - PA;1;-7272,72;0,32;1,46;1,46;1;-7843,64;0,55;1,09;1,09
261310;São Caetano - PE;1;-7272,91;0;0,97;0,97;1;-9258,55;0;1,01;1
411820;Paranaguá - PR;1;-7275,92;1;1,49;1,5;1;-955,61;1;1,6;1,62
130440;Urucurituba - AM;1;-7277,18;0,12;1,2;1,2;1;-9574,96;0;1,02;1,02
251370;Santa Rita - PB;1;-7281,53;0,03;1,04;1,04;1;-3567,92;1;1,36;1,37
316070;Santos Dumont - MG;1;-7285,33;0;1,06;1,06;1;-6665,27;0,04;1,09;1,09
150150;Benevides - PA;1;-7286,77;0;1,12;1,12;1;-7200,95;0,96;1,1;1,1
150630;Salvaterra - PA;1;-7287,87;0,2;1,25;1,25;1;-4010,98;0,01;1,14;1,14
250330;Cachoeira dos Índios - PB;1;-7288,14;1;1,12;1,12;1;-6062,07;1;1,24;1,25
351630;Francisco Morato - SP;1;-7291,05;0;1,13;1,13;1;-4163,16;1;1,33;1,34
250490;Cruz do Espírito Santo - PB;1;-7295,24;0,12;1,15;1,16;1;-7463,11;0,98;1,2;1,2
220330;Demerval Lobão - PI;1;-7295,91;0;1,08;1,08;1;-7729,84;0;1;1
290515;Caetanos - BA;1;-7296,39;0;0,97;0,97;1;-7705,15;0,09;1,04;1,04
290270;Barra - BA;1;-7299,62;1;1,03;1,03;1;-7416,76;1;1,36;1,36
211020;Santa Rita - MA;1;-7302,68;1;1,28;1,29;1;-2808,98;1;1,43;1,44
353475;Ouroeste - SP;1;-7303,22;1;1,66;1,68;1;-7577,77;1;1,15;1,15
240580;João Câmara - RN;1;-7305,09;0,27;1,03;1,02;1;-7802,73;1;1,16;1,16
310740;Bom Despacho - MG;1;-7308,89;0,01;1,14;1,14;1;-8623,04;0,94;1,19;1,2
211040;São Benedito do Rio Preto - MA;1;-7308,91;0;1,03;1,03;1;-5945,81;0;1,11;1,11
520549;Cidade Ocidental - GO;1;-7311,34;0,01;1,27;1,28;1;-9731,8;0,01;1,12;1,12
352700;Lindóia - SP;1;-7312,38;1;1,66;1,66;1;-6569,15;1;1,19;1,19
150010;Abaetetuba - PA;1;-7312,91;0,01;1,2;1,2;1;-5207,35;1;1,24;1,25
120017;Capixaba - AC;1;-7313,05;0;1,01;1,01;1;-6377,78;0,41;1,08;1,08
240020;Açu - RN;1;-7313,72;0;1,03;1,03;1;-8693,69;0,07;1,14;1,14
280300;Itabaianinha - SE;1;-7316,33;0;0,98;0,98;1;-7553,03;1;1,15;1,16
210043;Alto Alegre do Maranhão - MA;1;-7316,51;1;1,16;1,16;1;-6325,98;1;1,3;1,3
292310;Olindina - BA;1;-7320,69;0;0,97;0,97;1;-9333,46;0;1,02;1,02
150120;Baião - PA;1;-7320,76;1;1,26;1,26;1;-8035,07;0,99;1,21;1,22
280400;Maruim - SE;1;-7323,96;0,09;1,43;1,44;1;-2882,47;1;1,13;1,13
220050;Amarante - PI;1;-7328,72;0,19;1,48;1,49;1;-5210,36;0,62;1,15;1,15
261540;Toritama - PE;1;-7331,61;0,01;1,01;1,01;1;-8574,23;1;1,22;1,22
172010;São Bento do Tocantins - TO;1;-7331,75;1;1,73;1,74;1;-5171,82;1;1,36;1,36
316320;São José do Alegre - MG;1;-7331,85;0,98;1,71;1,71;1;-5950,98;1;1,2;1,2
150370;Itupiranga - PA;1;-7334,67;1;0,97;0,97;1;-8283,11;0,22;1,14;1,14
241120;Santa Cruz - RN;1;-7335,18;0,01;1,21;1,21;1;-9039,18;0,05;1,07;1,08
230240;Boa Viagem - CE;1;-7337,39;0,08;1,05;1,05;1;-9832,19;0;1,06;1,06
316620;Senhora dos Remédios - MG;1;-7339,13;0,01;1,12;1,13;1;-7666,07;0,11;0,99;0,99
120045;Senador Guiomard - AC;1;-7341,61;0,84;1,35;1,35;1;-3579,03;0,88;1,25;1,25
420210;Barra Velha - SC;1;-7344,27;0,76;1,35;1,35;1;-7732,54;1;1,13;1,13
510050;Alto Paraguai - MT;1;-7346,04;1;1,32;1,32;1;3006,33;0,74;2,11;2,14
280710;Simão Dias - SE;1;-7346,26;0,02;1,22;1,23;1;-7747,28;1;1,23;1,24
210207;Bom Lugar - MA;1;-7347,78;0,87;1,28;1,28;1;-2982,89;0,01;1,11;1,11
420440;Coronel Freitas - SC;1;-7349,74;0,05;1,48;1,49;1;-7197,43;0,48;1,12;1,12
250830;Lagoa Seca - PB;1;-7353,09;0;1,11;1,11;1;-7041,43;0,61;1,17;1,18
210203;Bom Jesus das Selvas - MA;1;-7357,94;0,98;1,52;1,53;1;-5852,83;0,99;1,18;1,18
220209;Caldeirão Grande do Piauí - PI;1;-7358;0,31;1,48;1,49;1;-2853,27;0,7;1,33;1,33
120038;Plácido de Castro - AC;1;-7358,65;1;1,47;1,47;1;-5901,95;1;1,16;1,16
150815;Uruará - PA;1;-7360,09;0,48;1,09;1,09;1;-6252,52;1;1,2;1,21
210250;Cajari - MA;1;-7361,76;0;1,03;1,03;1;-5899,15;0,01;1,1;1,1
150290;Curuçá - PA;1;-7364,58;1;1,31;1,31;1;-6299,62;1;1,29;1,3
312430;Espinosa - MG;1;-7365,42;0,05;1,25;1,26;1;-4746,47;0,99;1,08;1,08
311230;Capelinha - MG;1;-7367,52;0,07;1,25;1,26;1;-5179,37;0,01;1,02;1,02
350190;Amparo - SP;1;-7370,89;1;1,58;1,59;1;-7360,64;1;1,19;1,19
430045;Alegria - RS;1;-7371,39;0,05;1,52;1,54;1;-7620,65;0,01;1;1
292660;Ribeira do Pombal - BA;1;-7372,64;0;0,97;0,97;1;-9988,52;0;1,06;1,06
431640;Rosário do Sul - RS;1;-7373,82;0,02;1,16;1,16;1;-10522,52;0,31;1,08;1,09
291460;Irecê - BA;1;-7376,54;0,04;1,19;1,19;1;-10023,28;0,7;1,05;1,05
210910;Presidente Dutra - MA;1;-7378,29;0;1,05;1,06;1;-7419,72;0,08;1,19;1,19
430300;Cachoeira do Sul - RS;1;-7379,17;1;1,35;1,36;1;-6580,98;0,84;1,06;1,06
311320;Carandaí - MG;1;-7383,18;0,01;1,11;1,11;1;-7357,35;0,99;1,13;1,13
290470;Buerarema - BA;1;-7384,9;0;0,98;0,98;1;-7422,97;0,19;1,11;1,11
354450;Rubinéia - SP;1;-7386,11;0,93;1,5;1,5;1;-5837,83;1;1,11;1,11
292150;Monte Santo - BA;1;-7386,93;0,01;1;1;1;-6085,72;0,79;1,16;1,16
431440;Pelotas - RS;1;-7387,27;0,82;1,2;1,2;1;-2566,84;1;1,18;1,18
170100;Ananás - TO;1;-7388,2;0,01;1,13;1,13;1;-8550,47;0,02;1;1
231130;Quixadá - CE;1;-7389,47;0,01;1,05;1,05;1;-8900,79;0;1,08;1,09
230040;Aiuaba - CE;1;-7390,84;0;0,98;0,98;1;-9706,33;0;1;1
410480;Cascavel - PR;1;-7392,63;0,98;1,41;1,41;1;5773,34;1;1,22;1,23
430170;Barão de Cotegipe - RS;1;-7392,8;0,04;1,5;1,51;1;-7881,04;0;1,02;1,02
320480;São José do Calçado - ES;1;-7395,7;0,12;1,52;1,53;1;-7514,42;0,98;1,16;1,16
210805;Paulino Neves - MA;1;-7397,95;0,08;1,15;1,15;1;-3154,11;1;1,25;1,26
411210;Jandaia do Sul - PR;1;-7401,35;1;1,89;1,91;1;-2056,72;1;1,17;1,17
280450;Nossa Senhora da Glória - SE;1;-7402,15;0;1,02;1,02;1;-5472,9;1;1,08;1,09
261180;Ribeirão - PE;1;-7403,42;0,36;1,13;1,13;1;-8097,37;1;1,22;1,22
521120;Itapuranga - GO;1;-7405,93;0,05;1,27;1,27;1;-8746,94;0,57;1,14;1,14
240890;Parelhas - RN;1;-7406,54;1;1,01;1,01;1;-9869,01;1;1,38;1,38
150680;Santarém - PA;1;-7406,94;0;0,97;0,97;1;-5380,24;0,99;1,21;1,21
280550;Poço Verde - SE;1;-7407,47;1;1,18;1,18;1;-6610,48;0,23;1,24;1,24
172090;Taguatinga - TO;1;-7407,51;0,05;1,14;1,14;1;-10298,69;0,36;1,07;1,07
241150;Santo Antônio - RN;1;-7407,88;0;1;1;1;-9224,79;0;0,99;0,99
130070;Boca do Acre - AM;1;-7408,17;0;1,09;1,09;1;-5048,57;0,03;1,16;1,16
110013;Machadinho D'Oeste - RO;1;-7409,03;0,01;1,11;1,11;1;-7356,36;0,08;1,21;1,21
290640;Candeal - BA;1;-7409,87;0;0,99;0,99;1;-7941,97;0,51;1,04;1,04
291270;Ibirapitanga - BA;1;-7413,95;0,01;1,31;1,31;1;-5819,31;0,13;1,12;1,13
412410;Santo Antônio da Platina - PR;1;-7414,16;0,59;1,34;1,35;1;-2479,38;1;1,21;1,21
291950;Livramento de Nossa Senhora - BA;1;-7415,81;1;1,12;1,12;1;-7304,24;1;1,23;1,23
353780;Piedade - SP;1;-7416,62;0,11;1,2;1,2;1;-6518,8;1;1,31;1,31
292240;Mutuípe - BA;1;-7417,41;0;0,99;0,99;1;-8999,92;0;0,98;0,98
210927;Presidente Sarney - MA;1;-7419,6;0;1,05;1,05;1;-4909,25;0;1,1;1,1
210070;Anajatuba - MA;1;-7420,29;0,02;1,14;1,14;1;-8427,01;0,02;1,09;1,1
261300;São Bento do Una - PE;1;-7420,98;0;1,04;1,04;1;-9386,43;0;1,11;1,11
354580;Santa Bárbara d'Oeste - SP;1;-7421,62;0,04;1,32;1,32;1;-4891,26;0,86;1,22;1,22
316350;São José do Jacuri - MG;1;-7423,78;0,73;1,39;1,39;1;-6160,02;0,96;1,16;1,16
431340;Novo Hamburgo - RS;1;-7425,73;0,47;1,46;1,46;1;-1353,72;0,26;1,1;1,1
220270;Cocal - PI;1;-7429,53;0,04;0,98;0,98;1;-9813,73;1;1,09;1,09
313780;Lambari - MG;1;-7430,87;1;1,63;1,64;1;-7626,24;1;1,21;1,21
350470;Balbinos - SP;1;-7430,96;0,01;1,51;1,53;1;-6533,99;0,63;1,05;1,05
510770;Rosário Oeste - MT;1;-7437,22;0,42;1,22;1,23;1;-6373,27;1;1,23;1,23
313005;Icaraí de Minas - MG;1;-7437,4;0,01;1,05;1,05;1;-9435,46;0,01;1,02;1,02
230075;Amontada - CE;1;-7437,44;0,02;1,11;1,11;1;-6076,56;1;1,31;1,32
261090;Pesqueira - PE;1;-7438,9;1;1;1;1;-7208,6;1;1,51;1,51
241230;São José do Campestre - RN;1;-7440,66;0,95;1,12;1,12;1;-7637,87;0,28;1,09;1,09
251450;São José de Piranhas - PB;1;-7446,64;0;1,1;1,1;1;-1664,1;1;1,26;1,26
231230;São Benedito - CE;1;-7449,44;0,47;1,12;1,12;1;-8345,54;1;1,12;1,12
351640;Franco da Rocha - SP;1;-7452,83;0,01;1,19;1,2;1;-5305,84;0,98;1,3;1,3
430160;Bagé - RS;1;-7454,34;0,96;1,55;1,57;1;-8225,47;1;1,18;1,18
291120;Gandu - BA;1;-7468,46;0,01;1,06;1,06;1;-9838,86;0,13;1,09;1,09
230420;Crato - CE;1;-7472,17;0,01;1,06;1,06;1;-8583,77;0,69;1,13;1,13
261060;Paudalho - PE;1;-7472,79;0;1,02;1,02;1;-9604,97;0,8;1,11;1,11
