#Codigo;Cidade;População;Despesas (Exceto Intraorçamentárias);Legislativa;Judiciária;Essencial à Justiça;Administração;Defesa Nacional;Segurança Pública;Relações Exteriores;Assistência Social;Previdência Social;Saúde;Trabalho;Educação;Cultura;Direitos da Cidadania;Urbanismo;Habitação;Saneamento;Gestão Ambiental;Ciência e Tecnologia;Agricultura;Organização Agrária;Indústria;Comércio e Serviços;Comunicações;Energia;Transporte;Desporto e Lazer;Encargos Especiais;Despesas (Intraorçamentárias);GAUSSIAN-MODEL_REL_NOR;SVM_REL_NOR;COP_REL_NOR;OPTICS_REL_NOR;LOF_REL_NOR;GAUSSIAN-MODEL_SUA_NOR;SVM_SUA_NOR;COP_SUA_NOR;OPTICS_SUA_NOR;LOF_SUA_NOR
410347;Cafezal do Sul - PR;4310.0;14105173.03;0.00;0.00;0.00;2546471.91;0.00;163784.28;0.00;616274.00;0.00;4486310.72;0.00;3424159.28;14339.02;0.00;918772.61;0.00;0.00;65879.12;0.00;390175.28;0.00;67051.97;0.00;3305.67;179220.55;637210.53;107737.48;484480.61;0.00;0.00;-11715.04;1.00;1.33;1.33;0.00;-5334.12;1.00;1.14;1.14
410960;Guaratuba - PR;34767.0;87572868.92;0.00;858343.84;0.00;8675631.33;0.00;1375912.67;0.00;2531390.82;0.00;20399698.76;0.00;23445028.00;290691.49;0.00;20885518.55;0.00;0.00;5094572.93;0.00;0.00;0.00;0.00;1043492.48;0.00;0.00;0.00;613513.28;2359074.77;4358941.88;0.00;-8061.24;0.04;1.48;1.49;0.00;-5045.29;0.45;1.26;1.27
231330;Tauá - CE;57478.0;127321990.40;2596990.40;0.00;0.00;23199245.12;0.00;0.00;0.00;2713963.55;4628417.06;33653855.94;0.00;51443630.59;1618477.40;0.00;4190714.30;0.00;0.00;572088.17;0.00;1185458.92;0.00;0.00;0.00;0.00;0.00;0.00;1519148.95;0.00;0.00;0.00;-9522.45;0.47;1.16;1.15;0.00;-7757.24;0.06;1.16;1.16
432234;Ubiretama - RS;2283.0;10059443.58;510094.55;0.00;0.00;2767207.54;0.00;0.00;0.00;504331.82;456586.35;2216404.60;0.00;1390965.79;69597.67;0.00;387416.00;0.00;98354.89;9054.59;0.00;925667.88;0.00;169969.73;0.00;0.00;50068.90;343258.13;31319.28;129145.86;588326.88;0.00;-10136.70;1.00;1.44;1.45;0.00;-5959.76;0.85;1.08;1.08
411690;Nova Esperança - PR;27783.0;46885960.22;0.00;313451.89;0.00;4929497.13;0.00;684355.35;0.00;2660183.89;0.00;13783844.43;16715.84;12186404.32;219887.30;0.00;7142370.76;0.00;0.00;1339020.15;0.00;909584.59;0.00;173292.98;303895.68;0.00;0.00;53691.75;361229.85;1808534.31;3493608.24;0.00;-8994.93;0.01;1.24;1.25;0.00;-6947.76;0.02;1.16;1.16
251335;Santa Inês - PB;3593.0;9604371.88;525364.51;0.00;0.00;1329857.70;0.00;0.00;0.00;497918.06;0.00;2125561.82;0.00;3636535.97;24195.01;0.00;810064.52;0.00;32022.72;25242.74;0.00;234076.99;0.00;0.00;183185.99;0.00;0.00;20382.00;3050.00;156913.85;0.00;0.00;-11568.99;0.01;1.27;1.27;0.00;-7032.83;0.47;1.02;1.02
355360;Tapiratiba - SP;13084.0;27726741.89;0.00;0.00;0.00;2298815.39;0.00;869955.49;0.00;1157082.15;481281.70;8070419.71;0.00;9304410.81;216742.23;0.00;1816413.31;9800.77;1064417.96;0.00;0.00;106789.29;0.00;103886.11;0.00;0.00;0.00;903802.10;343366.41;979558.46;0.00;0.00;-9011.91;0.01;1.19;1.20;0.00;-7530.02;1.00;1.15;1.15
431413;Paulo Bento - RS;2291.0;11534311.18;532597.88;0.00;0.00;1782610.18;0.00;0.00;0.00;587363.82;0.00;2662482.49;0.00;2294242.52;98008.25;0.00;352853.28;0.00;335022.03;42738.07;0.00;894286.53;0.00;73907.03;85.00;0.00;94448.29;1708923.14;64935.53;9807.14;0.00;0.00;-11189.08;0.01;1.25;1.25;0.00;-5795.77;0.10;1.07;1.07
130380;São Gabriel da Cachoeira - AM;42342.0;67879300.36;2222075.67;0.00;0.00;12644216.86;0.00;0.00;0.00;2587383.97;0.00;12924282.61;0.00;34834367.09;143192.88;0.00;1321911.62;34946.81;230701.87;142987.01;0.00;406921.86;0.00;0.00;0.00;0.00;0.00;197740.99;188571.12;0.00;0.00;0.00;-6972.73;0.00;0.99;0.99;0.00;-9762.35;0.05;1.08;1.08
220610;Matias Olímpio - PI;10693.0;17151201.95;538791.68;0.00;162199.66;3685934.15;0.00;0.00;0.00;794154.08;0.00;4400740.34;0.00;6861130.49;5618.00;0.00;64358.90;0.00;9685.00;3827.00;0.00;85966.79;0.00;0.00;0.00;0.00;0.00;0.00;68120.30;470675.56;0.00;0.00;-7498.51;0.19;1.38;1.38;0.00;-7302.62;0.01;1.16;1.16
