#Codigo;Legislativa;Judiciária;Essencial à Justiça;Administração;Defesa Nacional;Segurança Pública;Relações Exteriores;Assistência Social;Previdência Social;Saúde;Trabalho;Educação;Cultura;Direitos da Cidadania;Urbanismo;Habitação;Saneamento;Gestão Ambiental;Ciência e Tecnologia;Agricultura;Organização Agrária;Indústria;Comércio e Serviços;Comunicações;Energia;Transporte;Desporto e Lazer;Encargos Especiais;Despesas (Intraorçamentárias)
313835;0.61;1.52;-0.15;-0.35;-0.05;-0.20;-0.01;0.20;-0.16;-0.12;-0.22;1.12;1.18;-0.10;-0.05;1.86;-0.04;-0.03;-0.10;0.61;-0.04;-0.17;-0.26;1.05;-0.42;-0.00;-0.07;0.88;0.56
431170;0.65;-0.28;-0.15;-0.05;-0.08;-0.32;-0.01;-0.26;-0.64;0.67;-0.22;0.22;-0.40;-0.10;-0.67;-0.02;0.13;-0.44;-0.10;1.46;-0.04;-0.17;2.53;-0.21;-0.44;2.50;-0.02;0.37;-0.31
291700;-0.59;-0.28;-0.15;-0.52;-0.08;-0.32;-0.01;-0.11;-0.56;-1.19;-0.22;0.25;0.18;-0.10;-0.57;-0.22;-0.40;-0.44;-0.10;-0.45;-0.04;-0.17;-0.26;-0.21;-0.44;-0.45;-0.49;-0.48;-0.31
292520;0.34;-0.28;-0.15;-0.07;-0.08;-0.32;-0.01;-0.65;-0.64;-0.37;-0.22;-0.14;0.77;-0.10;-0.37;-0.15;2.77;-0.43;-0.10;-0.57;-0.04;-0.17;-0.24;-0.21;-0.44;-0.53;-0.29;0.13;-0.31
292360;-0.39;0.17;-0.15;-0.80;-0.08;-0.27;-0.01;-0.63;-0.53;0.31;-0.22;-0.73;-0.35;-0.10;0.27;-0.22;-0.05;-0.30;-0.10;-0.48;-0.04;-0.17;-0.22;-0.03;-0.08;0.15;-0.33;-0.60;-0.31
520340;0.07;-0.28;-0.15;-0.42;-0.08;-0.21;-0.01;-0.06;0.84;-0.40;-0.22;-0.64;0.02;-0.10;0.29;-0.22;-0.41;-0.44;-0.10;-0.34;-0.04;0.27;-0.05;-0.21;0.51;-0.48;-0.31;-0.81;-0.31
354570;0.45;-0.28;-0.15;0.05;-0.08;-0.32;-0.01;0.81;1.54;0.72;-0.22;0.63;-0.73;-0.10;0.28;-0.22;-0.41;-0.44;-0.10;0.33;-0.04;-0.17;0.50;-0.21;-0.44;1.01;0.78;-0.25;-0.31
210135;0.02;-0.28;-0.15;0.10;-0.08;-0.32;-0.01;-0.17;-0.64;-0.15;-0.22;0.44;1.37;-0.10;-0.25;-0.22;-0.07;-0.21;-0.10;-0.53;-0.04;-0.17;-0.26;-0.21;-0.44;0.96;-0.63;-0.49;-0.31
410755;-1.21;2.64;-0.15;0.68;-0.08;-0.32;-0.01;1.32;-0.64;0.67;-0.22;0.45;-0.37;-0.10;0.34;0.14;-0.41;0.34;-0.10;1.29;-0.04;-0.17;-0.25;-0.21;-0.44;0.42;2.28;2.01;-0.31
500400;0.22;1.12;-0.15;0.65;-0.08;-0.32;-0.01;0.19;-0.64;-0.25;-0.22;-0.88;-0.03;-0.10;-0.87;-0.19;0.03;-0.44;-0.10;0.02;-0.04;-0.17;-0.26;-0.21;2.40;0.06;-0.61;0.07;-0.31
