#Codigo;Cidade ;População 2013;Legislativa(2013);Judiciária(2013);Essencial à Justiça(2013);Administração(2013);Defesa Nacional(2013);Segurança Pública(2013);Relações Exteriores(2013);Assistência Social(2013);Previdência Social(2013);Saúde(2013);Trabalho(2013);Educação(2013);Cultura(2013);Direitos da Cidadania(2013);Urbanismo(2013);Habitação(2013);Saneamento(2013);Gestão Ambiental(2013);Ciência e Tecnologia(2013);Agricultura(2013);Organização Agrária(2013);Indústria(2013);Comércio e Serviços(2013);Comunicações(2013);Energia(2013);Transporte(2013);Desporto e Lazer(2013);Encargos Especiais(2013);Despesas (Intraorçamentárias)(2013);Legislativa(2014);Judiciária(2014);Essencial à Justiça(2014);Administração(2014);Defesa Nacional(2014);Segurança Pública(2014);Relações Exteriores(2014);Assistência Social(2014);Previdência Social(2014);Saúde(2014);Trabalho(2014);Educação(2014);Cultura(2014);Direitos da Cidadania(2014);Urbanismo(2014);Habitação(2014);Saneamento(2014);Gestão Ambiental(2014);Ciência e Tecnologia(2014);Agricultura(2014);Organização Agrária(2014);Indústria(2014);Comércio e Serviços(2014);Comunicações(2014);Energia(2014);Transporte(2014);Desporto e Lazer(2014);Encargos Especiais(2014);Despesas (Intraorçamentárias)(2014);LOF_REL_NOR;LOF_SUA_NOR
220110;Avelino Lopes - PI;11341.0;565791.54;0.00;0.00;3338824.07;0.00;28000.00;0.00;541503.89;0.00;3691846.00;0.00;6456909.59;21081.80;0.00;428242.98;0.00;372506.92;0.00;0.00;77816.53;0.00;0.00;0.00;0.00;146237.46;186537.99;123007.26;0.00;0.00;585957.49;0.00;0.00;3314824.27;0.00;14000.00;0.00;503480.12;0.00;3843614.31;0.00;6905791.65;48898.22;0.00;1325245.65;0.00;2376.36;0.00;0.00;31717.61;0.00;0.00;0.00;0.00;0.00;0.00;5430.00;0.00;0.00;1.01;1.08
261330;São Joaquim do Monte - PE;21079.0;1105859.61;0.00;0.00;3602420.15;0.00;0.00;0.00;1237673.19;0.00;8930350.91;0.00;13674005.25;1189044.46;0.00;2763651.15;0.00;30586.50;0.00;0.00;326240.71;0.00;0.00;11000.00;0.00;0.00;14880.00;33217.49;592588.86;0.00;1195965.34;0.00;0.00;3750840.25;0.00;300.00;0.00;1736909.74;0.00;11439447.15;0.00;16205965.56;1403679.54;0.00;3372840.76;0.00;109815.50;0.00;0.00;2031801.42;0.00;0.00;13680.00;0.00;0.00;8920.00;22929.80;436443.64;0.00;1.05;1.00
431406;Passa Sete - RS;5421.0;436706.91;0.00;0.00;2607580.86;0.00;0.00;0.00;374775.55;321072.53;2232902.71;0.00;3347988.04;28184.45;0.00;64235.53;0.00;36290.99;295914.17;0.00;682270.14;0.00;0.00;0.00;0.00;0.00;746774.29;33457.93;197739.59;900839.83;465772.47;0.00;0.00;2700402.91;0.00;0.00;0.00;464530.32;365845.43;3242129.47;0.00;4064560.87;23095.55;0.00;77655.20;0.00;43179.96;235686.67;0.00;2483989.56;0.00;0.00;0.00;0.00;0.00;698188.17;0.00;22206.22;1011811.46;1.48;1.14
351110;Catanduva - SP;118209.0;7916631.09;0.00;0.00;33673686.89;0.00;0.00;0.00;10188512.58;26947108.38;51529482.56;670089.29;80593850.12;2851852.04;0.00;24641632.71;184710.71;25812415.46;11163016.91;0.00;492352.83;0.00;0.00;1937875.77;10101.78;0.00;0.00;4405502.03;10956475.96;22987212.51;8484322.59;0.00;0.00;38773368.68;0.00;0.00;0.00;11028848.68;29806965.38;63379486.36;995161.15;83310546.98;3030353.02;0.00;44990188.09;515039.19;26738677.01;14792218.37;0.00;589992.26;0.00;0.00;2569623.01;8385.41;0.00;0.00;5615676.64;11831530.35;27378088.66;1.41;1.20
432032;Senador Salgado Filho - RS;2890.0;461839.51;0.00;0.00;1670506.66;0.00;5159.20;0.00;364544.73;540236.61;2103832.46;152593.85;2393047.91;36308.77;0.00;575103.58;0.00;245409.56;56692.88;0.00;679340.40;0.00;0.00;34200.00;0.00;0.00;817850.30;206430.08;0.00;0.00;523746.98;0.00;0.00;1901229.79;0.00;4807.60;0.00;401495.14;616024.86;2322203.26;130213.30;2363313.56;31898.04;0.00;603369.90;0.00;236068.54;86656.76;0.00;925289.27;0.00;0.00;18000.00;0.00;0.00;943188.45;191108.82;105394.98;0.00;1.40;1.06
330205;Italva - RJ;14405.0;1701228.18;0.00;352702.80;3596636.55;0.00;1172706.31;0.00;1423777.23;2697347.10;11140943.30;0.00;8674007.66;856966.57;0.00;1796544.70;0.00;39300.00;2504255.26;0.00;1248353.03;0.00;0.00;0.00;0.00;0.00;635919.38;14117.83;1211266.05;1945075.34;1891272.07;0.00;413352.83;4376159.90;0.00;1395815.63;0.00;1839684.13;3088513.90;13054643.50;0.00;10065395.36;1546893.25;0.00;1987079.55;0.00;0.00;3132739.88;0.00;3045749.11;0.00;0.00;0.00;0.00;0.00;0.00;35665.83;1233441.01;1985627.46;1.64;1.15
431650;Salvador do Sul - RS;7182.0;495161.98;0.00;0.00;2216231.60;0.00;36000.00;0.00;219352.18;1300933.44;4494207.53;0.00;4720799.71;654083.68;0.00;758342.55;0.00;86398.00;1500.00;0.00;604015.62;0.00;127781.01;65305.40;0.00;7125.76;2107584.42;29733.04;0.00;1855042.47;485187.11;0.00;0.00;2620998.54;0.00;44000.00;0.00;325967.43;1381363.52;4552578.29;0.00;4742066.71;609867.57;0.00;683285.77;0.00;261677.65;7445.64;0.00;939609.25;0.00;85683.32;83715.85;120000.00;12568.55;2170900.09;296101.73;0.00;2197376.79;1.52;1.08
431480;Portão - RS;33212.0;2619395.76;0.00;0.00;13770726.61;0.00;0.00;0.00;2598832.58;5315129.11;10894205.46;0.00;14885310.86;0.00;0.00;0.00;0.00;1994812.79;0.00;0.00;669560.87;0.00;0.00;0.00;0.00;0.00;0.00;1712853.05;843976.16;2305229.18;2605525.24;0.00;0.00;13235904.35;0.00;0.00;0.00;2661235.23;5565607.30;12837145.81;0.00;24044583.67;0.00;0.00;0.00;136786.67;1909903.84;0.00;0.00;804252.67;0.00;0.00;0.00;0.00;0.00;0.00;1346512.64;933320.18;2935165.79;1.15;1.45
120040;Rio Branco - AC;357194.0;18420593.29;0.00;5333877.03;64446088.25;0.00;0.00;0.00;17048816.75;17809897.49;96031008.69;819259.86;111328588.25;3695428.59;370348.75;158600763.43;550480.44;10249967.21;19773037.25;0.00;8861418.78;0.00;0.00;0.00;0.00;0.00;7835562.53;0.00;12282648.95;0.00;19422000.29;0.00;8161773.87;120000114.47;0.00;4883341.00;0.00;10684622.45;6591462.25;113607886.96;1546244.00;126236677.93;2287862.37;315040.06;181935067.49;822439.53;10818214.04;16251335.73;0.00;12362089.08;0.00;0.00;0.00;0.00;0.00;10892937.25;914023.06;12809756.27;0.00;1.68;1.26
430245;Boqueirão do Leão - RS;7910.0;0.00;0.00;0.00;3744475.39;0.00;0.00;0.00;0.00;1147470.37;2078584.92;0.00;3234605.75;26717.00;450734.38;173976.48;0.00;163267.52;0.00;0.00;485665.60;0.00;0.00;0.00;259.28;164633.87;2061490.26;17558.00;336600.75;311105.04;396753.35;0.00;0.00;4669637.94;0.00;0.00;0.00;86043.74;1107313.96;3084353.17;0.00;4058726.51;23461.45;505153.36;361002.55;0.00;171000.00;799.00;0.00;875790.39;0.00;0.00;0.00;0.00;139779.47;888330.89;33491.39;338735.62;0.00;2.63;1.86
421940;Witmarsum - SC;3769.0;472060.39;0.00;0.00;1599868.40;0.00;14184.49;0.00;246455.20;129789.23;2631456.79;0.00;2776667.18;96265.18;0.00;2390329.71;0.00;0.00;0.00;0.00;872847.71;0.00;0.00;5977.92;0.00;0.00;5414.80;200533.24;401850.45;0.00;506521.25;0.00;0.00;1339811.91;0.00;18711.86;0.00;367733.39;122891.20;3580912.73;0.00;2786709.47;123336.75;0.00;2116798.74;0.00;0.00;0.00;0.00;1161914.93;0.00;0.00;4691.96;0.00;0.00;0.00;134268.89;1215576.83;0.00;1.61;1.06
210950;Riachão - MA;20011.0;1493471.63;0.00;252978.12;5409436.79;0.00;0.00;0.00;491730.95;884935.72;8004897.65;0.00;13277466.08;503237.54;0.00;690151.49;0.00;1097541.94;11512.00;0.00;382731.94;0.00;0.00;109758.14;0.00;193085.85;2305605.70;6100.00;0.00;0.00;1432136.88;0.00;0.00;5555816.36;0.00;0.00;0.00;1490966.72;210921.24;8748700.61;0.00;17560346.05;729710.15;0.00;1682796.54;0.00;2038240.89;0.00;0.00;421109.86;0.00;0.00;149826.33;27749.43;155499.43;3396339.56;107025.95;0.00;0.00;1.42;1.26
420475;Cunhataí - SC;1931.0;514400.97;0.00;0.00;1422485.38;0.00;19134.57;0.00;288934.38;0.00;1769121.65;0.00;1561592.27;63417.17;62084.47;71042.11;0.00;0.00;0.00;0.00;1015217.76;0.00;0.00;0.00;0.00;0.00;1008108.99;457257.45;296719.95;0.00;572682.39;0.00;0.00;1337624.42;0.00;0.00;0.00;365246.28;0.00;2202054.79;0.00;2075908.37;62086.30;0.00;1766374.14;0.00;0.00;0.00;0.00;1338968.44;0.00;0.00;337733.77;0.00;0.00;1331584.32;162440.63;419017.74;0.00;1.56;1.23
430066;André da Rocha - RS;1278.0;358925.11;0.00;0.00;2742210.92;0.00;5500.00;0.00;293490.20;0.00;1896953.33;101494.40;1100488.61;11084.60;0.00;83091.87;0.00;105286.32;21861.58;0.00;534204.13;0.00;0.00;0.00;704.38;0.00;1052062.34;734724.79;0.00;0.00;502755.00;0.00;0.00;3088110.24;0.00;8056.00;0.00;520680.51;0.00;2442015.88;111005.97;1392040.38;23592.02;0.00;77534.55;0.00;70807.16;7621.83;0.00;671395.80;0.00;0.00;0.00;580.64;0.00;510259.07;155248.03;0.00;0.00;2.14;1.09
353350;Novo Horizonte - SP;38828.0;2060261.50;0.00;0.00;10580046.27;67440.34;129164.64;0.00;4489046.31;1893821.57;16109567.64;563644.55;26686396.18;98059.90;0.00;7845610.71;0.00;0.00;2403887.68;0.00;2057250.10;0.00;0.00;520302.46;0.00;0.00;1742733.78;1181445.31;5687030.31;0.00;2153531.88;0.00;0.00;11681427.64;120707.75;130563.85;0.00;4771006.56;2603848.49;19704042.85;768482.74;34757925.65;289286.70;0.00;8516656.83;0.00;0.00;4800153.26;0.00;2226107.57;0.00;41849.34;310290.73;0.00;0.00;1242440.04;1399240.49;3181568.47;0.00;1.39;1.19
410570;Clevelândia - PR;17501.0;0.00;0.00;0.00;3916791.05;0.00;0.00;0.00;814489.37;0.00;6831187.36;0.00;7841923.29;25349.81;0.00;0.00;0.00;0.00;428133.03;0.00;799043.13;0.00;203800.31;0.00;0.00;0.00;4874269.37;48002.71;1496192.51;0.00;0.00;0.00;0.00;4615713.62;0.00;0.00;0.00;1164179.33;0.00;9105517.42;0.00;10026999.67;78041.84;0.00;0.00;0.00;0.00;424128.23;0.00;924242.22;0.00;320164.00;0.00;0.00;0.00;7453929.49;229761.41;1624581.74;0.00;1.31;1.27
430605;Cristal - RS;7659.0;626583.82;0.00;0.00;1927352.80;0.00;0.00;0.00;435878.09;1171335.38;3566580.99;0.00;3262106.26;179810.68;0.00;539510.21;0.00;51882.92;349336.30;0.00;516240.55;0.00;0.00;5488.10;0.00;0.00;383420.51;132892.02;632492.11;1208640.69;682617.30;0.00;0.00;2337920.88;0.00;300.00;0.00;622752.82;1441235.56;4311266.61;0.00;4368719.34;165859.63;0.00;700116.87;0.00;1029797.23;805646.72;0.00;879708.43;0.00;8400.00;5073.08;0.00;0.00;432521.09;330902.61;345562.44;1522949.26;1.25;1.01
