#Codigo;Cidade ;População 2013;Legislativa(2013);Judiciária(2013);Essencial à Justiça(2013);Administração(2013);Defesa Nacional(2013);Segurança Pública(2013);Relações Exteriores(2013);Assistência Social(2013);Previdência Social(2013);Saúde(2013);Trabalho(2013);Educação(2013);Cultura(2013);Direitos da Cidadania(2013);Urbanismo(2013);Habitação(2013);Saneamento(2013);Gestão Ambiental(2013);Ciência e Tecnologia(2013);Agricultura(2013);Organização Agrária(2013);Indústria(2013);Comércio e Serviços(2013);Comunicações(2013);Energia(2013);Transporte(2013);Desporto e Lazer(2013);Encargos Especiais(2013);Despesas (Intraorçamentárias)(2013);Legislativa(2014);Judiciária(2014);Essencial à Justiça(2014);Administração(2014);Defesa Nacional(2014);Segurança Pública(2014);Relações Exteriores(2014);Assistência Social(2014);Previdência Social(2014);Saúde(2014);Trabalho(2014);Educação(2014);Cultura(2014);Direitos da Cidadania(2014);Urbanismo(2014);Habitação(2014);Saneamento(2014);Gestão Ambiental(2014);Ciência e Tecnologia(2014);Agricultura(2014);Organização Agrária(2014);Indústria(2014);Comércio e Serviços(2014);Comunicações(2014);Energia(2014);Transporte(2014);Desporto e Lazer(2014);Encargos Especiais(2014);Despesas (Intraorçamentárias)(2014);Legislativa(2015);Judiciária(2015);Essencial à Justiça(2015);Administração(2015);Defesa Nacional(2015);Segurança Pública(2015);Relações Exteriores(2015);Assistência Social(2015);Previdência Social(2015);Saúde(2015);Trabalho(2015);Educação(2015);Cultura(2015);Direitos da Cidadania(2015);Urbanismo(2015);Habitação(2015);Saneamento(2015);Gestão Ambiental(2015);Ciência e Tecnologia(2015);Agricultura(2015);Organização Agrária(2015);Indústria(2015);Comércio e Serviços(2015);Comunicações(2015);Energia(2015);Transporte(2015);Desporto e Lazer(2015);Encargos Especiais(2015);Despesas (Intraorçamentárias)(2015);LOF_REL_NOR;LOF_SUA_NOR
260580;Frei Miguelinho - PE;14932.0;805909.62;0.00;0.00;2605958.23;0.00;0.00;0.00;932520.01;750142.00;4611201.77;0.00;7393045.43;796942.48;0.00;2944399.57;0.00;17188.80;77800.88;0.00;680954.26;0.00;0.00;0.00;21055.80;0.00;144304.20;718396.95;376377.49;0.00;952375.07;0.00;0.00;2709350.06;0.00;0.00;0.00;1061081.98;771904.14;5551644.00;0.00;8343480.98;920754.36;0.00;1926242.79;0.00;13030.00;21570.52;0.00;903404.87;0.00;0.00;0.00;24388.22;0.00;0.00;81026.44;247361.95;0.00;944530.74;0.00;0.00;2731679.74;0.00;0.00;0.00;1157887.43;863633.82;6417821.33;0.00;10864888.42;872448.79;0.00;3822795.46;0.00;27625.39;284728.05;0.00;706988.52;0.00;0.00;0.00;22984.94;0.00;0.00;254653.80;269937.02;0.00;1.12;1.07
312330;Dores do Turvo - MG;4516.0;553486.93;96065.59;0.00;864725.40;12233.37;18824.43;0.00;431259.98;321494.29;2673722.52;0.00;2431187.84;427935.80;0.00;531295.53;0.00;10439.50;21715.00;0.00;167553.21;0.00;0.00;0.00;2656.09;0.00;621902.20;67448.25;610666.93;0.00;595288.45;96379.27;0.00;1080828.98;0.00;0.00;0.00;673278.36;370046.22;2924793.50;0.00;2336455.84;20228.63;0.00;619346.54;0.00;11132.66;0.00;0.00;575346.16;0.00;0.00;89751.03;470.55;0.00;1214415.47;103024.95;476639.35;0.00;632768.12;158626.94;0.00;1163070.45;0.00;0.00;0.00;613008.76;388420.04;3230670.77;0.00;2463517.04;33705.69;0.00;1424299.67;0.00;251261.24;0.00;0.00;257201.23;0.00;0.00;123620.68;620.00;0.00;477202.41;77306.24;464996.07;0.00;1.41;1.14
140010;Boa Vista - RR;308996.0;18206575.52;0.00;576.00;92351287.96;0.00;1739822.71;0.00;14302038.03;7290964.18;134387942.32;0.00;163761396.27;2846164.94;44043.00;104528712.67;837692.92;3562765.29;514026.40;0.00;2825212.95;0.00;0.00;103731.32;0.00;0.00;6770786.12;4675520.52;14328444.09;0.00;24121669.55;0.00;0.00;111897966.02;0.00;25584975.01;0.00;36308765.45;8831316.27;135082799.48;0.00;215509275.75;7766812.78;198349.88;180987378.96;473298.56;69770349.92;9007503.65;144041.48;0.00;0.00;0.00;830749.20;0.00;0.00;14858485.67;1858442.12;8450147.07;39395020.09;31222892.09;0.00;0.00;117857718.01;0.00;28956681.89;0.00;39547427.46;11989194.69;151250252.96;0.00;231139139.44;8404476.66;193065.16;262459348.99;1338921.64;4006948.92;8826764.76;132870.76;0.00;0.00;0.00;621890.51;0.00;0.00;11187054.43;1995918.70;9146120.38;34718818.28;1.51;1.13
320255;Ibitirama - ES;9400.0;941222.00;302669.41;0.00;6056225.70;0.00;0.00;0.00;1027293.49;0.00;5134586.14;0.00;9664961.03;12650.00;0.00;1616327.35;2120.10;324678.11;60.00;0.00;241343.35;0.00;0.00;372018.62;0.00;171621.75;0.00;13445.90;0.00;0.00;924818.75;343981.23;0.00;6289695.72;0.00;0.00;0.00;1235448.12;0.00;5703630.36;0.00;9557605.72;1500.00;0.00;1105991.36;0.00;358523.68;75.63;158780.00;1290650.64;0.00;0.00;1160889.90;67896.60;177993.11;0.00;10183.00;0.00;0.00;990989.49;336841.86;0.00;6115120.23;0.00;258.98;0.00;1752246.28;0.00;4802634.27;332.50;9714600.41;0.00;0.00;1273064.38;0.00;416910.65;0.00;274309.16;370000.00;0.00;0.00;308464.82;126059.24;172716.66;0.00;9075.34;0.00;0.00;2.45;1.53
421917;Vargem Bonita - SC;4752.0;712364.53;0.00;0.00;2093224.23;0.00;36713.93;0.00;412075.42;0.00;4366804.81;0.00;3591084.83;235802.65;0.00;890176.29;5396.11;100000.00;0.00;0.00;1137550.50;0.00;0.00;0.00;14933.90;0.00;1679729.47;329591.92;591240.96;0.00;877412.31;0.00;0.00;2188542.12;0.00;42068.26;0.00;579839.66;0.00;5383802.38;0.00;4511856.66;197623.71;0.00;1680465.93;148567.11;0.00;0.00;0.00;1550757.26;0.00;0.00;0.00;14000.00;0.00;3124934.90;505806.06;433712.19;0.00;937802.56;0.00;0.00;2231198.29;0.00;48637.02;0.00;740846.52;0.00;4836939.10;0.00;4839935.88;221633.68;0.00;928636.96;36005.97;0.00;0.00;0.00;1390952.16;0.00;0.00;0.00;7500.00;0.00;4194767.54;458637.20;424549.04;0.00;1.20;1.06
350335;Arco-Íris - SP;1925.0;438051.64;0.00;0.00;2152756.01;0.00;0.00;0.00;851329.08;120314.88;2372676.24;0.00;1842867.35;277727.89;0.00;513032.07;0.00;0.00;75639.26;0.00;391649.30;0.00;0.00;0.00;0.00;0.00;690709.70;229044.08;0.00;0.00;458201.46;0.00;0.00;2305099.76;0.00;0.00;0.00;962479.80;134611.73;2959699.91;0.00;2238894.72;287504.00;0.00;467193.39;0.00;0.00;78654.60;0.00;514307.94;0.00;0.00;0.00;0.00;0.00;1253720.08;148080.71;0.00;0.00;730599.42;0.00;0.00;2373674.21;0.00;0.00;0.00;1000667.48;130061.97;2882138.95;0.00;2183682.24;215791.65;0.00;567397.69;0.00;0.00;82967.65;0.00;406900.13;0.00;53086.38;0.00;0.00;0.00;662226.41;142968.96;0.00;0.00;1.37;1.05
352940;Mauá - SP;444136.0;23069705.16;264993.21;0.00;54452697.54;0.00;12340312.34;0.00;13839527.64;4436148.78;229264281.45;4683537.39;130432802.30;898321.62;11339061.21;86597867.46;15384011.07;84599924.50;2023050.12;0.00;0.00;0.00;37105.56;0.00;1328325.55;0.00;6695947.49;2065409.89;75927062.09;708526.71;25625238.08;4193351.98;0.00;57638172.14;0.00;14573529.34;0.00;14437219.00;0.00;260027241.49;12659018.14;143295838.76;1232140.22;6914635.02;99445626.99;6557988.81;66783156.42;2079208.35;0.00;0.00;0.00;378436.92;0.00;3265298.27;0.00;0.00;2763708.38;83162675.94;650881.75;25241598.80;4618181.23;0.00;62387933.65;0.00;16773549.23;0.00;17406677.84;0.00;264351423.45;11845729.78;164551791.69;1312436.98;7177406.99;91882260.50;5716290.95;94630453.93;1959687.48;0.00;0.00;0.00;291766.86;0.00;593421.31;0.00;0.00;4162866.82;74628630.68;565798.06;1.66;1.21
354085;Pracinha - SP;3315.0;481550.90;0.00;0.00;1380918.26;0.00;0.00;0.00;620861.21;0.00;2056068.58;0.00;2427190.94;19271.20;0.00;1773350.81;0.00;0.00;0.00;0.00;329388.26;0.00;0.00;0.00;0.00;0.00;241912.13;60558.60;0.00;0.00;540821.80;0.00;0.00;1660694.23;0.00;0.00;0.00;912413.23;0.00;2647985.96;0.00;2199128.42;30978.49;0.00;1987454.30;0.00;0.00;0.00;0.00;318714.18;0.00;0.00;0.00;0.00;0.00;88116.99;73179.25;0.00;0.00;564680.37;0.00;0.00;1534821.38;0.00;0.00;0.00;815289.00;0.00;2801349.37;0.00;2422011.94;154420.09;0.00;1517351.70;0.00;0.00;0.00;0.00;243168.53;0.00;0.00;0.00;0.00;0.00;93995.74;72211.50;0.00;0.00;1.19;1.00
316250;São João del Rei - MG;88405.0;2385393.42;0.00;0.00;16611796.07;0.00;0.00;0.00;4152901.76;10633001.87;50665500.48;0.00;21767503.62;3192565.28;0.00;10002725.90;0.00;7635506.57;503796.79;0.00;1596982.61;0.00;0.00;128720.48;0.00;0.00;0.00;495630.54;0.00;9560321.37;3415595.20;0.00;0.00;20570959.08;0.00;0.00;0.00;5331790.59;13600164.60;57552384.42;0.00;25976610.45;3590726.08;0.00;13487400.54;0.00;12468058.10;823795.44;0.00;1849595.69;0.00;0.00;137359.30;0.00;0.00;0.00;623956.99;73071.53;10615190.48;3864643.57;0.00;0.00;18901834.26;0.00;220489.78;0.00;5368499.08;18187331.82;65371717.74;0.00;28675022.07;3007299.10;0.00;13773505.78;0.00;13583114.32;890840.68;0.00;1579850.94;0.00;0.00;25905.41;0.00;0.00;0.00;685383.78;100952.59;10912014.48;1.17;1.13
431230;Miraguaí - RS;4990.0;0.00;0.00;0.00;2328812.74;0.00;0.00;0.00;347559.75;0.00;2724905.38;0.00;3348776.36;27705.80;0.00;388625.27;163586.69;2980.00;0.00;0.00;781859.10;0.00;0.00;0.00;0.00;0.00;386772.82;93403.24;0.00;0.00;622596.56;0.00;0.00;2771154.29;0.00;0.00;0.00;508226.38;0.00;3564831.07;0.00;3874928.99;29819.07;0.00;347557.74;10511.80;12456.91;0.00;0.00;874202.40;0.00;0.00;0.00;0.00;0.00;525975.47;87018.38;0.00;0.00;0.00;0.00;0.00;2852749.90;0.00;0.00;0.00;478789.57;0.00;3352579.04;0.00;4687939.77;1149.59;0.00;427155.29;37780.45;28036.02;0.00;0.00;997208.19;0.00;0.00;0.00;0.00;0.00;533103.78;28678.85;0.00;0.00;1.45;1.12
