##Cod.IBGE;UF;Instituição;População;01 - Legislativa;02 - Judiciária;03 - Essencial à Justiça;04 - Administração;05 - Defesa Nacional;06 - Segurança Pública;07 - Relações Exteriores;08 - Assistência Social;09 - Previdência Social;10 - Saúde;11 - Trabalho;12 - Educação;13 - Cultura;14 - Direitos da Cidadania;15 - Urbanismo;16 - Habitação;17 - Saneamento;18 - Gestão Ambiental;19 - Ciência e Tecnologia;20 - Agricultura;21 - Organização Agrária;22 - Indústria;23 - Comércio e Serviços;24 - Comunicações;25 - Energia;26 - Transporte;27 - Desporto e Lazer;28 - Encargos Especiais;Despesas (Intraorçamentárias)
311510;MG;Cássia;17991;858276.74;0;0;4048875.77;0;44593.40;0;1142966.86;0;12339092.74;0;8808234.08;614482.12;66709.87;2913357.24;0;540130.31;0;0;779077.30;0;0;44266.32;212040.86;1087742.28;2078788.52;204082.34;726436.90;0
410980;PR;Ibiporã;51802;0;0;0;8618459.81;0;92183.22;0;4450603.29;11078109.80;31260516.60;1253861.25;29888154.69;2712298.04;221993.12;16472866.80;0;13411464.87;110652.95;951027.86;686053.97;0;2030303.92;0;0;0;66925.00;2097668.51;2790788.12;12638007.06
210740;MA;Olho d'Água das Cunhãs;19009;0;0;0;3787767.67;0;0;0;1557094.22;0;7779064.76;0;26606058.65;335813.60;0;2538236.85;0;0;0;0;94919.25;0;0;0;0;0;0;2652.60;695277.04;0
430740;RS;Esmeralda;3294;627623.88;169515.49;0;2034822.98;0;0;0;977377.19;0;3587921.74;0;3449639.60;251690.86;0;1556105.45;0;244420.19;74261.69;10970.49;1122689.37;0;35415.56;25675.03;45154.45;167774.29;1643930.20;118471.09;361615.64;0
230550;CE;Iguatu;100733;4713802.17;0;0;12860076.22;0;0;0;7111637.89;0;61808240.28;224662.05;53318526.37;1947870.59;0;16156289.28;449093.52;12657051.20;5620560.28;92463.67;1414995.42;0;0;0;0;0;0;658297.43;3685412.04;211.99
293070;BA;Simões Filho;131630;13074906.28;0;0;71283198.87;0;0;0;1713496.14;0;59313151.42;0;96074848.20;815692.36;0;41407893.36;6263466.58;2936529.72;0;0;0;0;0;0;0;0;0;1516231.18;7655853.21;0
240010;RN;Acari;11349;881614.96;0;0;3815632.22;0;0;0;1098994.65;0;4907543.34;0;7248147.86;345678.70;0;3007305.89;0;18998.23;0;0;55074.30;0;0;2500.00;0;0;6400.00;49060.25;0;0
521483;GO;Nova Crixás;12571;1656857.22;11334.86;0;7362453.59;0;370076.16;0;2451875.03;1758376.41;8043604.50;0;11759473.85;4000.00;0;3304733.39;0;1542545.70;90705.36;0;339190.95;0;0;0;11446.08;0;1588280.87;398081.66;0;0
313440;MG;Iturama;37277;4985315.79;836820.23;0;20579354.23;0;0;0;3351114.50;0;25588949.67;1398557.25;26629868.90;1087375.99;0;12372129.34;0;0;60000.00;0;412400.40;0;331805.01;7107.88;0;0;2901232.82;350341.03;3283354.02;0
314530;MG;Novo Cruzeiro;31760;1740453.12;189211.86;288988.48;2928388.49;0;1328271.58;0;1997911.94;0;11872873.10;0;17192084.63;978584.84;0;2419657.58;63693.81;392372.95;8932.48;0;1497103.96;0;0;0;15760.00;0;817964.58;182446.07;1972892.27;0
431480;RS;Portão;33615;2850606.64;0;0;14472444.04;0;0;0;3014996.21;6552123.19;12087418.31;0;18737187.23;0;0;0;1544.03;0;1861998.38;0;488474.11;0;0;0;0;0;0;1322892.30;1929039.70;3198420.83
290470;BA;Buerarema;19297;1247688.83;0;0;4772072.95;0;0;0;1043781.91;0;5764103.05;0;11461766.24;361151.03;0;4190070.88;0;0;58036.58;0;159158.65;0;0;0;0;0;0;151000.00;0;0
420415;SC;Celso Ramos;2784;537305.97;0;0;2052113.94;0;14839.00;0;981150.81;0;2786779.25;0;4061521.62;0;134757.97;842782.50;407826.87;0;24.22;0;1167430.44;0;0;0;0;0;1758803.85;301688.68;801579.86;0
