110011;"RO";"JARU";52476,00;R$ 2040379,08;R$ 0,00;R$ 0,00;R$ 10518310,04;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1050311,68;R$ 1271171,07;R$ 11863723,54;R$ 0,00;R$ 17257464,33;R$ 0,00;R$ 0,00;R$ 2304412,75;R$ 0,00;R$ 326437,50;R$ 0,00;R$ 0,00;R$ 670973,49;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1423536,96;R$ 269769,79;R$ 0,00
110012;"RO";"JI-PARANA";107638,0;R$ 3648991,15;R$ 0,00;R$ 0,00;R$ 16400241,24;R$ 0,00;R$ 0,00;R$ 0,00;R$ 2771086,23;R$ 455809,57;R$ 27812386,16;R$ 0,00;R$ 16634494,32;R$ 509943,33;R$ 0,00;R$ 6683452,92;R$ 24000,00;R$ 575566,88;R$ 0,00;R$ 0,00;R$ 1222703,73;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 10497434,78;R$ 984194,00;R$ 2147801,66
110013;"RO";"MACHADINHO D'OESTE";29548,00;R$ 932842,46;R$ 0,00;R$ 0,00;R$ 4030896,85;R$ 0,00;R$ 0,00;R$ 0,00;R$ 862148,62;R$ 459699,75;R$ 5473491,60;R$ 0,00;R$ 10989492,98;R$ 0,00;R$ 0,00;R$ 327549,62;R$ 50000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 703851,83;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 35496,73;R$ 826893,24;R$ 94031,12;R$ 0,00
110014;"RO";"NOVA BRASILANDIA D'OESTE";17170,00;R$ 583263,99;R$ 0,00;R$ 0,00;R$ 2385958,08;R$ 3433,40;R$ 0,00;R$ 0,00;R$ 461957,11;R$ 556374,74;R$ 4355706,77;R$ 0,00;R$ 6300447,80;R$ 9686,30;R$ 0,00;R$ 3275431,01;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 175153,53;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1594851,28;R$ 184405,36;R$ 53120,86
110015;"RO";"OURO PRETO DO OESTE";36040,00;R$ 1324561,11;R$ 0,00;R$ 0,00;R$ 5626096,41;R$ 0,00;R$ 0,00;R$ 0,00;R$ 623007,12;R$ 995726,99;R$ 6849628,41;R$ 0,00;R$ 7221092,20;R$ 130677,72;R$ 0,00;R$ 413343,91;R$ 181444,87;R$ 0,00;R$ 15220,85;R$ 0,00;R$ 20000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 75988,50;R$ 1685551,44;R$ 48653,95;R$ 1386119,97
110018;"RO";"PIMENTA BUENO";32893,00;R$ 1336437,00;R$ 0,00;R$ 0,00;R$ 3926492,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1379936,00;R$ 366077,00;R$ 6483307,00;R$ 0,00;R$ 6644826,00;R$ 283639,00;R$ 0,00;R$ 1522194,00;R$ 28999,00;R$ 0,00;R$ 22901,00;R$ 0,00;R$ 689706,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1362123,00;R$ 447722,00;R$ 1826241,00
110020;"RO";"PORTO VELHO";371791,0;R$ 12571333,36;R$ 176674,33;R$ 0,00;R$ 79125906,58;R$ 0,00;R$ 0,00;R$ 0,00;R$ 9127503,40;R$ 13366038,27;R$ 77020449,79;R$ 300693,20;R$ 86748534,89;R$ 770903,02;R$ 77772,02;R$ 41626669,89;R$ 5819153,96;R$ 3198092,31;R$ 1438234,18;R$ 136326,08;R$ 3604711,02;R$ 0,00;R$ 0,00;R$ 47091,82;R$ 0,00;R$ 6608331,53;R$ 4052983,52;R$ 2104132,61;R$ 20775559,54
110025;"RO";"PRESIDENTE MEDICI";22197,00;R$ 786299,34;R$ 0,00;R$ 0,00;R$ 3265366,90;R$ 0,00;R$ 0,00;R$ 0,00;R$ 179898,67;R$ 0,00;R$ 5276362,72;R$ 0,00;R$ 4704331,48;R$ 6575,44;R$ 0,00;R$ 923003,12;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 14355,20;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1030043,39;R$ 14690,26;R$ 496767,86
110026;"RO";"RIO CRESPO";3174,00;R$ 342879,90;R$ 0,00;R$ 0,00;R$ 1326441,83;R$ 0,00;R$ 0,00;R$ 0,00;R$ 59083,84;R$ 9700,00;R$ 1128113,64;R$ 0,00;R$ 1834124,00;R$ 5160,00;R$ 0,00;R$ 13407,44;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 190159,48;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 606296,33;R$ 31832,23;R$ 152895,14
110028;"RO";"ROLIM DE MOURA";48894,00;R$ 1695033,00;R$ 0,00;R$ 0,00;R$ 8351266,28;R$ 0,00;R$ 69038,80;R$ 0,00;R$ 433740,84;R$ 1110539,26;R$ 13416901,36;R$ 0,00;R$ 8940291,25;R$ 218366,96;R$ 0,00;R$ 3186247,14;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1310435,13;R$ 0,00;R$ 394821,00;R$ 514934,90;R$ 0,00;R$ 1499376,44;R$ 1619116,10;R$ 1028157,03;R$ 1470980,71
