#"CodIBGE";"uf";"nome caixa";"populacao";"legislativa";"judiciária";"essencial à justiça";"administração";"defesa nacional";"segurança pública";"relações exteriores";"assistência social";"previdência social";"saúde";"trabalho";"educação";"cultura";"direitos da cidadania";"urbanismo";"habitação";"saneamento";"gestão ambiental";"ciência e tecnologia";"agricultura";"organização agrária";"indústria";"comércio e serviços";"comunicações";"energia";"transporte";"desporto e lazer";"encargos especiais"
420245;"SC";"BOMBINHAS";11211,00;R$ 901186,93;R$ 136884,74;R$ 0,00;R$ 3175857,39;R$ 11182,38;R$ 91215,63;R$ 0,00;R$ 204709,90;R$ 0,00;R$ 3547109,03;R$ 0,00;R$ 5635345,16;R$ 87947,17;R$ 0,00;R$ 3262747,34;R$ 0,00;R$ 160821,56;R$ 113600,54;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 300894,72;R$ 0,00;R$ 873399,89;R$ 0,00;R$ 165674,40;R$ 206132,44
420250;"SC";"BOM JARDIM DA SERRA";4033,00;R$ 182418,91;R$ 0,00;R$ 0,00;R$ 843752,37;R$ 0,00;R$ 1308,73;R$ 0,00;R$ 151708,29;R$ 0,00;R$ 996442,82;R$ 0,00;R$ 1124625,72;R$ 0,00;R$ 0,00;R$ 117857,45;R$ 0,00;R$ 0,00;R$ 76780,73;R$ 0,00;R$ 321325,34;R$ 0,00;R$ 0,00;R$ 23533,38;R$ 4700,00;R$ 78371,52;R$ 921765,56;R$ 26729,99;R$ 84559,48
420253;"SC";"BOM JESUS";2074,00;R$ 212835,61;R$ 0,00;R$ 0,00;R$ 962514,86;R$ 0,00;R$ 1346,61;R$ 0,00;R$ 120944,96;R$ 0,00;R$ 992965,03;R$ 0,00;R$ 1007069,09;R$ 7900,00;R$ 0,00;R$ 188243,25;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 265485,36;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 4572,06;R$ 408054,40;R$ 8359,23;R$ 130569,12
420257;"SC";"BOM JESUS DO OESTE";2083,00;R$ 96570,43;R$ 0,00;R$ 0,00;R$ 566976,75;R$ 0,00;R$ 7317,04;R$ 0,00;R$ 142613,98;R$ 0,00;R$ 776139,63;R$ 0,00;R$ 765883,21;R$ 16081,46;R$ 0,00;R$ 225449,53;R$ 44982,90;R$ 0,00;R$ 5492,67;R$ 0,00;R$ 364732,26;R$ 0,00;R$ 0,00;R$ 0,00;R$ 21143,67;R$ 0,00;R$ 672395,95;R$ 59471,15;R$ 111902,78
420260;"SC";"BOM RETIRO";8492,00;R$ 334220,89;R$ 0,00;R$ 0,00;R$ 1075028,25;R$ 0,00;R$ 0,00;R$ 0,00;R$ 95491,70;R$ 0,00;R$ 1561968,62;R$ 0,00;R$ 2003331,90;R$ 22579,95;R$ 0,00;R$ 214754,77;R$ 16865,65;R$ 58552,18;R$ 0,00;R$ 0,00;R$ 262745,02;R$ 0,00;R$ 177,70;R$ 3901,50;R$ 0,00;R$ 0,00;R$ 853853,72;R$ 63914,32;R$ 0,00
420270;"SC";"BOTUVERA";3569,00;R$ 165930,69;R$ 0,00;R$ 0,00;R$ 589128,42;R$ 0,00;R$ 20000,67;R$ 0,00;R$ 71071,82;R$ 15434,43;R$ 1062210,14;R$ 0,00;R$ 916184,43;R$ 18516,37;R$ 0,00;R$ 137365,37;R$ 0,00;R$ 43253,86;R$ 0,00;R$ 0,00;R$ 432377,43;R$ 0,00;R$ 15000,00;R$ 98912,91;R$ 6958,25;R$ 0,00;R$ 909293,21;R$ 45154,88;R$ 197142,91
420280;"SC";"BRACO DO NORTE";29845,00;R$ 820294,77;R$ 197585,27;R$ 0,00;R$ 2332431,19;R$ 0,00;R$ 228861,51;R$ 0,00;R$ 1324060,30;R$ 0,00;R$ 4584893,77;R$ 0,00;R$ 5647623,37;R$ 196146,28;R$ 0,00;R$ 1711240,77;R$ 0,00;R$ 85338,81;R$ 20203,74;R$ 0,00;R$ 407438,53;R$ 0,00;R$ 40751,55;R$ 205501,96;R$ 0,00;R$ 0,00;R$ 1131195,56;R$ 157169,47;R$ 764270,83
420285;"SC";"BRACO DO TROMBUDO";3607,00;R$ 144975,04;R$ 0,00;R$ 0,00;R$ 561785,68;R$ 0,00;R$ 0,00;R$ 0,00;R$ 29226,25;R$ 237919,58;R$ 1147606,05;R$ 0,00;R$ 1155968,00;R$ 6207,73;R$ 0,00;R$ 80842,38;R$ 27358,89;R$ 74781,60;R$ 7578,15;R$ 0,00;R$ 348834,11;R$ 0,00;R$ 0,00;R$ 0,00;R$ 64351,68;R$ 49530,46;R$ 823238,93;R$ 15278,95;R$ 165765,99
420287;"SC";"BRUNOPOLIS";3270,00;R$ 207648,48;R$ 0,00;R$ 0,00;R$ 553982,59;R$ 0,00;R$ 8476,73;R$ 0,00;R$ 84641,19;R$ 0,00;R$ 872231,50;R$ 19276,68;R$ 1123252,01;R$ 1005,20;R$ 0,00;R$ 1861955,27;R$ 3379,66;R$ 34709,30;R$ 52867,62;R$ 0,00;R$ 123191,28;R$ 0,00;R$ 1515,00;R$ 0,00;R$ 0,00;R$ 43144,12;R$ 0,00;R$ 3562,72;R$ 40014,72
420290;"SC";"BRUSQUE";87244,00;R$ 1855194,61;R$ 0,00;R$ 0,00;R$ 13386048,52;R$ 0,00;R$ 859244,34;R$ 0,00;R$ 1440744,03;R$ 0,00;R$ 16287049,93;R$ 0,00;R$ 18629406,02;R$ 1065601,70;R$ 0,00;R$ 29559464,02;R$ 452320,39;R$ 5971632,55;R$ 32890,65;R$ 254950,44;R$ 0,00;R$ 0,00;R$ 138569,27;R$ 1121181,31;R$ 0,00;R$ 0,00;R$ 33096,36;R$ 2177877,73;R$ 6078006,94
420300;"SC";"CACADOR";71192,00;R$ 2631042,49;R$ 0,00;R$ 0,00;R$ 7638276,10;R$ 0,00;R$ 515126,12;R$ 0,00;R$ 1721885,53;R$ 2718644,58;R$ 11303382,37;R$ 0,00;R$ 15705240,60;R$ 152919,81;R$ 0,00;R$ 8715157,08;R$ 2232,79;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1969927,19;R$ 0,00;R$ 402938,32;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 580206,99;R$ 0,00
420310;"SC";"CAIBI";5681,00;R$ 177055,36;R$ 0,00;R$ 0,00;R$ 712690,57;R$ 0,00;R$ 22984,35;R$ 0,00;R$ 227331,95;R$ 0,00;R$ 1347782,76;R$ 0,00;R$ 1165511,13;R$ 23264,65;R$ 0,00;R$ 238222,51;R$ 20000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 302308,66;R$ 0,00;R$ 0,00;R$ 18049,70;R$ 0,00;R$ 0,00;R$ 857846,42;R$ 72744,39;R$ 221210,56
420315;"SC";"CALMON";3977,00;R$ 225409,53;R$ 0,00;R$ 0,00;R$ 838140,29;R$ 0,00;R$ 0,00;R$ 0,00;R$ 555043,93;R$ 0,00;R$ 786916,26;R$ 0,00;R$ 1730522,86;R$ 32,70;R$ 0,00;R$ 92557,23;R$ 130472,98;R$ 0,00;R$ 0,00;R$ 0,00;R$ 141910,95;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 41249,92;R$ 565216,53;R$ 20503,00;R$ 212421,21
420320;"SC";"CAMBORIU";51243,00;R$ 730350,29;R$ 28661,29;R$ 0,00;R$ 5862158,80;R$ 0,00;R$ 32238,35;R$ 0,00;R$ 972258,52;R$ 186587,29;R$ 4637665,39;R$ 0,00;R$ 10758525,69;R$ 0,00;R$ 0,00;R$ 549693,37;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 305996,61;R$ 0,00;R$ 0,00;R$ 16566,40;R$ 0,00;R$ 0,00;R$ 1252730,82;R$ 66773,64;R$ 366258,80
