#CodIBGE;uf;nome caixa;populacao;legislativa;judiciária;essencial à justiça;administração;defesa nacional;segurança pública;relações exteriores;assistência social;previdência social;saúde;trabalho;educação;cultura;direitos da cidadania;urbanismo;habitação;saneamento;gestão ambiental;ciência e tecnologia;agricultura;organização agrária;indústria;comércio e serviços;comunicações;energia;transporte;desporto e lazer;encargos especiais
412360;PR;SANTA INES;2127;R$ 207845,00;R$ 22092,00;R$ 0,00;R$ 754880,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 90536,00;R$ 0,00;R$ 546965,00;R$ 0,00;R$ 569267,00;R$ 13472,00;R$ 0,00;R$ 322897,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 55300,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 232453,00;R$ 19480,00;R$ 295408,00
412370;PR;SANTA ISABEL DO IVAI;8884;R$ 219330,00;R$ 65599,00;R$ 0,00;R$ 1005088,00;R$ 5333,00;R$ 0,00;R$ 0,00;R$ 323363,00;R$ 181832,00;R$ 1464402,00;R$ 4372,00;R$ 1284335,00;R$ 24429,00;R$ 0,00;R$ 342753,00;R$ 0,00;R$ 443187,00;R$ 9438,00;R$ 0,00;R$ 223901,00;R$ 0,00;R$ 152693,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 263247,00;R$ 28568,00;R$ 300468,00
412380;PR;SANTA IZABEL DO OESTE;11301;R$ 230984,60;R$ 0,00;R$ 0,00;R$ 686157,84;R$ 0,00;R$ 11000,00;R$ 0,00;R$ 512002,83;R$ 0,00;R$ 2070049,34;R$ 0,00;R$ 2451808,96;R$ 0,00;R$ 0,00;R$ 608380,72;R$ 3274,41;R$ 0,00;R$ 89764,02;R$ 0,00;R$ 473473,40;R$ 0,00;R$ 171515,24;R$ 11607,28;R$ 0,00;R$ 0,00;R$ 867690,41;R$ 117043,91;R$ 179581,73
412382;PR;SANTA LUCIA;3690;R$ 170817,73;R$ 0,00;R$ 0,00;R$ 573339,59;R$ 0,00;R$ 0,00;R$ 0,00;R$ 261138,78;R$ 114661,72;R$ 910885,10;R$ 0,00;R$ 1098727,82;R$ 0,00;R$ 0,00;R$ 122444,02;R$ 0,00;R$ 0,00;R$ 4294,95;R$ 0,00;R$ 110280,46;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 663087,74;R$ 14851,25;R$ 76701,88
412385;PR;SANTA MARIA DO OESTE;13705;R$ 477960,61;R$ 0,00;R$ 0,00;R$ 1052350,69;R$ 0,00;R$ 0,00;R$ 0,00;R$ 324438,77;R$ 117907,59;R$ 1445872,90;R$ 0,00;R$ 3295984,13;R$ 36098,25;R$ 0,00;R$ 1544930,95;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 208431,61;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 452117,31;R$ 26322,59;R$ 111206,10
412390;PR;SANTA MARIANA;12833;R$ 275915,44;R$ 0,00;R$ 183272,58;R$ 1793215,66;R$ 0,00;R$ 0,00;R$ 0,00;R$ 442042,78;R$ 0,00;R$ 1860898,50;R$ 36763,39;R$ 2357287,87;R$ 47189,77;R$ 0,00;R$ 1312152,02;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 93395,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 65544,16;R$ 316549,99;R$ 0,00
412395;PR;SANTA MONICA;3196;R$ 133992,98;R$ 0,00;R$ 0,00;R$ 705473,53;R$ 539,00;R$ 0,00;R$ 0,00;R$ 235860,47;R$ 57053,14;R$ 898645,49;R$ 0,00;R$ 876659,29;R$ 6826,50;R$ 0,00;R$ 351790,67;R$ 0,00;R$ 200669,50;R$ 37478,25;R$ 0,00;R$ 226005,28;R$ 0,00;R$ 27580,85;R$ 0,00;R$ 0,00;R$ 0,00;R$ 323159,94;R$ 100022,14;R$ 126084,99
412400;PR;SANTANA DO ITARARE;5437;R$ 175983,89;R$ 0,00;R$ 0,00;R$ 799361,71;R$ 0,00;R$ 0,00;R$ 0,00;R$ 174986,68;R$ 0,00;R$ 1234470,66;R$ 49850,89;R$ 1170121,60;R$ 0,00;R$ 0,00;R$ 166160,42;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 98913,46;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 192204,54;R$ 9996,31;R$ 167722,23
412402;PR;SANTA TEREZA DO OESTE;13133;R$ 343122,28;R$ 0,00;R$ 0,00;R$ 891772,99;R$ 0,00;R$ 0,00;R$ 0,00;R$ 183378,03;R$ 179858,48;R$ 1048277,71;R$ 0,00;R$ 2021999,94;R$ 172421,69;R$ 0,00;R$ 545359,67;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 35166,63;R$ 0,00;R$ 203314,05;R$ 0,00;R$ 0,00;R$ 0,00;R$ 984742,02;R$ 116102,27;R$ 239700,62
412405;PR;SANTA TEREZINHA DE ITAIPU;20533;R$ 690019,68;R$ 0,00;R$ 0,00;R$ 3442479,10;R$ 0,00;R$ 38921,10;R$ 0,00;R$ 1390182,78;R$ 0,00;R$ 4573102,91;R$ 0,00;R$ 5555443,63;R$ 300321,80;R$ 0,00;R$ 1633011,95;R$ 0,00;R$ 0,00;R$ 418996,49;R$ 0,00;R$ 383632,63;R$ 0,00;R$ 525524,13;R$ 412043,53;R$ 0,00;R$ 0,00;R$ 1190636,25;R$ 523963,61;R$ 372095,04
