##Cod.IBGE;UF;Instituição;População;01 - Legislativa;02 - Judiciária;03 - Essencial à Justiça;04 - Administração;05 - Defesa Nacional;06 - Segurança Pública;07 - Relações Exteriores;08 - Assistência Social;09 - Previdência Social;10 - Saúde;11 - Trabalho;12 - Educação;13 - Cultura;14 - Direitos da Cidadania;15 - Urbanismo;16 - Habitação;17 - Saneamento;18 - Gestão Ambiental;19 - Ciência e Tecnologia;20 - Agricultura;21 - Organização Agrária;22 - Indústria;23 - Comércio e Serviços;24 - Comunicações;25 - Energia;26 - Transporte;27 - Desporto e Lazer;28 - Encargos Especiais;Despesas (Intraorçamentárias)
110033;RO;Nova Mamoré;26925;0;1387464.58;0;8392936.43;0;0;0;2052778.05;788204.48;10854951.77;0;18111000.83;162147.74;0;485407.35;0;0;18317.25;0;116181.12;0;0;0;0;323448.45;2052925.59;69872.10;296015.51;0
410347;PR;Cafezal do Sul;4310;0;0;0;2546471.91;0;163784.28;0;616274.00;0;4486310.72;0;3424159.28;14339.02;0;918772.61;0;0;65879.12;0;390175.28;0;67051.97;0;3305.67;179220.55;637210.53;107737.48;484480.61;0
420290;SC;Brusque;119719;4201924.69;2117774.51;0;45146492.88;0;3285775.94;0;5714713.90;11681411.24;62748724.57;0;57340462.22;469791.43;300493.88;51840812.66;47104.80;15067867.19;1741490.93;0;619595.30;0;0;4248047.50;0;0;0;2734111.66;10785862.39;8171967.08
220557;PI;Lagoa de São Francisco;6590;396785.13;0;0;2354416.99;0;0;0;460604.98;60887.96;2590796.59;0;5924993.81;53600.00;4884.00;106531.91;0;112640.97;0;0;6976.00;0;0;0;0;101742.14;90779.81;290770.31;134266.91;23903.60
421960;SC;Xavantina;4095;488727.63;0;0;1724592.96;0;0;0;396802.09;0;4327744.56;0;3097038.34;23475.61;0;524847.57;0;0;0;0;1933484.37;0;29286.81;0;0;0;4359002.56;242675.76;407719.37;0
352500;SP;Jandira;117457;7681652.21;46900.00;2519241.43;15571467.41;0;9484762.70;0;7899592.63;7701394.73;54315574.05;0;61020926.12;1686767.72;498524.67;26473824.03;1444719.17;0;1458304.77;0;0;0;0;400370.42;2018360.34;0;0;3150455.97;5092509.60;17503208.66
312990;MG;Ibitiúra de Minas;3512;512406.59;0;0;1604343.94;0;0;0;537647.29;153041.22;3479681.27;0;2737646.91;0;0;403130.68;0;7650.36;0;0;0;0;0;96037.33;15941.94;102132.31;839169.20;104604.07;0;0
432285;RS;Vespasiano Correa;1986;361127.95;0;0;1269490.12;0;0;0;358779.26;0;2872823.72;0;1597923.61;103570.62;0;226594.49;0;21105.01;0;0;1497115.67;0;0;0;0;0;1963559.29;30442.18;779.69;0
412030;PR;Porto Vitória;4141;0;0;0;2797267.85;0;0;0;902940.76;550856.25;3815127.58;0;3058171.34;0;0;754320.84;59874.38;0;0;0;412248.78;0;0;19398.33;0;43338.48;805184.53;33964.29;138474.69;0
431238;RS;Monte Belo do Sul;2712;366129.07;0;0;1425989.72;0;97.24;0;253978.63;0;2727295.08;0;3365267.97;276599.34;0;142032.60;0;566424.65;41464.22;0;205167.57;0;0;8323.75;0;0;1364061.70;64701.76;1129223.08;0
