#"CodIBGE";"uf";"municipio";"populacao";"legislativa";"judiciária";"essencial à justiça";"administração";"defesa nacional";"segurança pública";"relações exteriores";"assistência social";"previdência social";"saúde";"trabalho";"educação";"cultura";"direitos da cidadania";"urbanismo";"habitação";"saneamento";"gestão ambiental";"ciência e tecnologia";"agricultura";"organização agrária";"indústria";"comércio e serviços";"comunicações";"energia";"transporte";"desporto e lazer";"encargos especiais";"desp por função intra-orçamentária"
431115;"RS";"Jóia";8339;R$ 888045,93;R$ 0,00;R$ 0,00;R$ 4001969,21;R$ 0,00;R$ 3239,57;R$ 0,00;R$ 867102,19;R$ 937013,94;R$ 5100708,96;R$ 0,00;R$ 6831675,53;R$ 18650,00;R$ 0,00;R$ 232792,68;R$ 0,00;R$ 1443972,13;R$ 0,00;R$ 0,00;R$ 1228510,81;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 62373,56;R$ 1502537,06;R$ 99370,60;R$ 0,00;R$ 0,00
431120;"RS";"Júlio de Castilhos";19453;R$ 1198748,24;R$ 0,00;R$ 0,00;R$ 7025152,11;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1812850,39;R$ 3398206,48;R$ 9418838,49;R$ 59964,78;R$ 8363727,65;R$ 557000,55;R$ 0,00;R$ 3418640,02;R$ 400000,00;R$ 305482,19;R$ 787146,29;R$ 0,00;R$ 1380338,15;R$ 0,00;R$ 9164,64;R$ 957,15;R$ 0,00;R$ 0,00;R$ 1296074,89;R$ 861606,65;R$ 1891390,26;R$ 0,00
431123;"RS";"Lagoa Bonita do Sul";2694;R$ 344236,29;R$ 0,00;R$ 0,00;R$ 1237338,70;R$ 0,00;R$ 0,00;R$ 0,00;R$ 438323,70;R$ 0,00;R$ 2020415,38;R$ 0,00;R$ 1583851,51;R$ 100486,37;R$ 0,00;R$ 92703,14;R$ 0,00;R$ 174117,90;R$ 0,00;R$ 0,00;R$ 574106,97;R$ 0,00;R$ 0,00;R$ 24379,21;R$ 0,00;R$ 41445,59;R$ 1089980,32;R$ 89425,50;R$ 352521,64;R$ 0,00
431127;"RS";"Lagoa dos Três Cantos";1594;R$ 271547,93;R$ 0,00;R$ 0,00;R$ 1823948,39;R$ 0,00;R$ 16500,00;R$ 0,00;R$ 315386,92;R$ 177883,04;R$ 1926841,48;R$ 0,00;R$ 1618386,81;R$ 213116,11;R$ 0,00;R$ 336829,14;R$ 0,00;R$ 0,00;R$ 117759,69;R$ 0,00;R$ 595909,24;R$ 0,00;R$ 0,00;R$ 186500,65;R$ 0,00;R$ 108776,47;R$ 1417235,07;R$ 105913,80;R$ 236064,73;R$ 0,00
431130;"RS";"Lagoa Vermelha";27466;R$ 1031937,74;R$ 779938,15;R$ 0,00;R$ 6604782,98;R$ 0,00;R$ 928187,95;R$ 0,00;R$ 1785186,95;R$ 3503365,95;R$ 9726582,38;R$ 0,00;R$ 8161490,73;R$ 55319,08;R$ 0,00;R$ 1929681,40;R$ 742022,92;R$ 103290,49;R$ 1381376,62;R$ 0,00;R$ 1275860,39;R$ 0,00;R$ 0,00;R$ 178383,39;R$ 152261,69;R$ 591411,20;R$ 9415375,29;R$ 237587,81;R$ 292032,09;R$ 3890027,79
431125;"RS";"Lagoão";6247;R$ 480310,81;R$ 42086,79;R$ 0,00;R$ 1861495,22;R$ 0,00;R$ 52018,50;R$ 0,00;R$ 440906,18;R$ 567269,54;R$ 2722757,35;R$ 0,00;R$ 4200310,85;R$ 5310,00;R$ 0,00;R$ 38803,60;R$ 36000,00;R$ 91492,03;R$ 79370,75;R$ 0,00;R$ 1058399,02;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 5251,00;R$ 684308,37;R$ 103762,80;R$ 614074,74;R$ 0,00
431140;"RS";"Lajeado";73201;R$ 2489795,83;R$ 0,00;R$ 403221,71;R$ 9983095,25;R$ 0,00;R$ 325537,50;R$ 0,00;R$ 5161365,05;R$ 2848823,13;R$ 27580620,40;R$ 308580,05;R$ 45153662,63;R$ 1993950,96;R$ 16424,70;R$ 14215900,83;R$ 1406727,70;R$ 357297,75;R$ 2761774,64;R$ 2461800,00;R$ 3119164,08;R$ 0,00;R$ 230319,54;R$ 1234587,31;R$ 0,00;R$ 0,00;R$ 12939574,66;R$ 3033857,45;R$ 2101147,68;R$ 0,00
431142;"RS";"Lajeado do Bugre";2491;R$ 398424,16;R$ 0,00;R$ 0,00;R$ 2437117,48;R$ 0,00;R$ 0,00;R$ 0,00;R$ 614158,14;R$ 0,00;R$ 2341439,74;R$ 0,00;R$ 2601385,94;R$ 2073,38;R$ 0,00;R$ 0,00;R$ 0,00;R$ 178104,00;R$ 0,00;R$ 0,00;R$ 759894,64;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 66959,84;R$ 0,00;R$ 263194,67;R$ 0,00
431150;"RS";"Lavras do Sul";7615;R$ 807799,05;R$ 0,00;R$ 0,00;R$ 4317937,69;R$ 0,00;R$ 0,00;R$ 0,00;R$ 504731,87;R$ 1215554,80;R$ 3499343,06;R$ 0,00;R$ 5092139,32;R$ 27603,92;R$ 0,00;R$ 50890,82;R$ 0,00;R$ 0,00;R$ 271728,64;R$ 0,00;R$ 487063,04;R$ 0,00;R$ 0,00;R$ 383239,60;R$ 0,00;R$ 0,00;R$ 0,00;R$ 109046,14;R$ 620732,11;R$ 1879012,88
431160;"RS";"Liberato Salzano";5661;R$ 348199,49;R$ 12219,52;R$ 0,00;R$ 1386734,12;R$ 0,00;R$ 4320,00;R$ 0,00;R$ 345539,46;R$ 621612,10;R$ 2520907,52;R$ 0,00;R$ 3746216,31;R$ 34882,85;R$ 0,00;R$ 373991,74;R$ 16310,00;R$ 253824,45;R$ 109868,03;R$ 0,00;R$ 547011,73;R$ 0,00;R$ 54808,06;R$ 34587,00;R$ 71771,87;R$ 73109,40;R$ 1589841,70;R$ 174903,99;R$ 895425,82;R$ 0,00
431162;"RS";"Lindolfo Collor";5350;R$ 375012,67;R$ 0,00;R$ 0,00;R$ 2413005,51;R$ 0,00;R$ 2395,20;R$ 0,00;R$ 508890,17;R$ 267051,48;R$ 2827571,92;R$ 0,00;R$ 4334169,99;R$ 454698,86;R$ 0,00;R$ 165811,93;R$ 79094,59;R$ 23568,90;R$ 254261,81;R$ 0,00;R$ 238181,49;R$ 0,00;R$ 0,00;R$ 9555,42;R$ 0,00;R$ 96218,54;R$ 3468,00;R$ 633466,83;R$ 246578,76;R$ 0,00
431164;"RS";"Linha Nova";1634;R$ 127548,53;R$ 0,00;R$ 0,00;R$ 2956954,04;R$ 0,00;R$ 0,00;R$ 0,00;R$ 608607,02;R$ 21061,97;R$ 1265374,02;R$ 0,00;R$ 1206359,09;R$ 155781,07;R$ 0,00;R$ 139961,00;R$ 0,00;R$ 153382,46;R$ 119346,65;R$ 0,00;R$ 332309,44;R$ 0,00;R$ 0,00;R$ 0,00;R$ 186,00;R$ 80061,70;R$ 398850,04;R$ 0,00;R$ 0,00;R$ 0,00
431171;"RS";"Maçambara";4694;R$ 704588,61;R$ 0,00;R$ 0,00;R$ 4165518,43;R$ 0,00;R$ 100000,00;R$ 0,00;R$ 328806,07;R$ 188598,88;R$ 3529814,86;R$ 0,00;R$ 5095714,01;R$ 36220,18;R$ 0,00;R$ 3960,77;R$ 0,00;R$ 300420,72;R$ 0,00;R$ 0,00;R$ 437370,71;R$ 0,00;R$ 0,00;R$ 400,00;R$ 0,00;R$ 178568,44;R$ 502819,88;R$ 153217,01;R$ 0,00;R$ 0,00
431170;"RS";"Machadinho";5478;R$ 465279,47;R$ 0,00;R$ 0,00;R$ 1630831,66;R$ 0,00;R$ 52448,52;R$ 0,00;R$ 411133,01;R$ 0,00;R$ 2749436,61;R$ 0,00;R$ 2640090,60;R$ 50648,50;R$ 0,00;R$ 915459,38;R$ 2860,97;R$ 245102,11;R$ 0,00;R$ 0,00;R$ 1168667,56;R$ 0,00;R$ 0,00;R$ 493192,98;R$ 0,00;R$ 0,00;R$ 2427564,00;R$ 195056,55;R$ 328768,82;R$ 0,00
