##Cod.IBGE;UF;Instituição;População;01 - Legislativa;02 - Judiciária;03 - Essencial à Justiça;04 - Administração;05 - Defesa Nacional;06 - Segurança Pública;07 - Relações Exteriores;08 - Assistência Social;09 - Previdência Social;10 - Saúde;11 - Trabalho;12 - Educação;13 - Cultura;14 - Direitos da Cidadania;15 - Urbanismo;16 - Habitação;17 - Saneamento;18 - Gestão Ambiental;19 - Ciência e Tecnologia;20 - Agricultura;21 - Organização Agrária;22 - Indústria;23 - Comércio e Serviços;24 - Comunicações;25 - Energia;26 - Transporte;27 - Desporto e Lazer;28 - Encargos Especiais;Despesas (Intra-Orçamentárias)
150309;PA;Goianésia do Pará;36500;1374916.10;0;0;10331382.89;0;0;0;3139794.95;0;11891113.86;0;29563804.63;210555.37;0;2098058.09;0;1183398.18;0;0;1075651.95;0;0;0;0;0;0;733909.28;1417788.74;0
221110;PI;União;43403;1489888.88;0;0;5277544.09;0;0;0;1318205.04;4307492.75;12711157.84;0;23217623.65;523503.95;0;1953588.63;53001.31;101122.47;0;0;549034.97;0;0;0;0;14200.00;251607.47;132772.22;189939.02;0
171070;TO;Itaguatins;6092;385448.10;0;0;1270166.37;0;744.93;0;430508.75;9760.62;1639359.72;0;4120009.65;34000.00;0;948356.87;0;24650.53;8530.00;0;23421.92;0;0;141056.35;5400.00;0;146999.85;9261.37;368947.32;0
412310;PR;Santa Amélia;3769;0;0;0;1603187.68;0;0;0;204291.83;0;1906819.89;2337311.63;2337311.63;44173.69;0;1185569.52;0;0;0;0;162467.67;0;0;0;0;0;0;0;297351.83;0
140005;RR;Alto Alegre;16428;320001.00;0;0;3619516.19;0;0;0;1013453.26;0;7053797.15;0;9318226.71;44000.00;0;1802633.01;0;0;283871.40;0;434621.49;0;0;0;0;0;0;297609.37;190000.00;0
430055;RS;Alto Alegre;1856;331564.93;0;0;1445102.86;0;0;0;299034.65;390853.00;1727741.06;0;1379188.35;35199.22;0;443369.31;146854.84;446726.33;117694.73;0;497450.87;0;6820.50;31300.00;56475.92;86193.34;1838300.76;224280.72;123536.45;0
353110;SP;Mongaguá;50641;5755970.50;1845313.96;0;13770773.52;0;0;0;2615673.93;0;28946915.07;0;57271441.12;536710.72;0;13742258.13;684486.13;6079029.52;112522.27;0;113558.86;0;0;5339856.37;0;0;1192489.27;851374.40;6608177.47;0
291690;BA;Itiruçu;13267;759660.00;0;0;3715609.62;0;196291.69;0;170593.89;0;5216071.54;0;7472749.57;697430.00;0;1527382.88;0;0;0;0;0;0;0;176616.62;0;0;23951.00;0;641923.08;0
431430;RS;Pejuçara;4070;312897.46;0;0;1864588.93;0;0;0;517860.50;1108133.67;3474774.25;0;3264373.05;81781.71;0;663000.39;95495.35;33135.18;67937.54;0;266477.17;0;35443.10;3000.00;0;17992.55;1568221.97;161153.63;490797.92;1074553.38
352530;SP;Jaú;140077;3871912.01;0;789035.27;17316794.05;0;324346.16;0;6789627.30;7230422.27;56734482.51;0;80685418.25;2029061.24;0;21759262.71;1320559.99;37205649.48;974451.54;0;1101006.12;0;0;1400.00;0;0;26503.00;2420822.98;6314148.93;10705.17
291410;BA;Ipupiara;9992;593052.92;0;0;1615833.11;0;0;0;680550.01;0;5605183.38;0;6554227.08;255100.15;0;2236081.84;0;0;0;0;0;0;0;0;0;0;253508.00;82129.08;0;0
500260;MS;Camapuã;13770;1837230.02;56402.21;0;6705537.32;0;0;0;1242094.26;1264915.70;9153972.57;0;9623372.98;269754.45;0;5786087.98;1456.10;0;0;0;114733.73;0;0;0;0;382395.17;588446.86;448043.45;1190704.37;0
240920;RN;Passagem;3040;485136.00;0;0;1888887.59;0;0;0;852922.00;67281.67;1915669.74;80389.74;2677934.81;98574.33;0;552711.91;49146.51;0;80499.83;0;228049.69;0;0;0;0;82875.85;0;303233.91;287448.77;0
330420;RJ;Resende;123385;13626412.37;342689.06;0;73398565.93;0;1242706.74;0;6765435.54;14287836.49;112488690.68;36744.30;83867189.17;4046980.45;0;24696886.59;755283.72;3590562.78;3618733.23;16563.60;905062.75;0;7167.23;12966.49;0;3344536.47;3373297.48;2876448.01;11360972.26;13340382.82
521900;GO;Sanclerlândia;7766;759766.64;1530.71;0;1773007.96;1523.00;110176.13;0;640263.16;1224047.45;3951474.60;108864.96;3615146.88;0;0;1575246.52;0;0;18120.90;33000.00;596997.64;0;21758.00;137581.07;0;0;1112108.24;468434.01;315780.03;0
292020;BA;Malhada;17375;1034842.73;0;0;2089936.85;0;1370.00;0;863619.43;206865.60;6483874.78;0;15095474.16;462076.00;0;3127986.79;0;62878.63;0;0;104418.50;0;0;0;0;0;632720.05;1566.80;333688.83;0
350110;SP;Alto Alegre;4193;623108.88;0;0;1885829.61;0;0;0;706407.08;0;4806038.85;0;3188513.59;48379.20;0;614236.94;0;0;3196.05;0;3815.03;0;0;360471.87;0;0;756632.54;307277.21;257858.21;0
330115;RJ;Cardoso Moreira;12599;1670213.55;0;103403.62;8124411.21;0;0;0;1905451.55;1677428.32;8826745.23;0;12562721.70;968198.78;0;3637354.16;0;0;139619.36;0;1990323.15;0;0;0;371.70;0;477113.56;752821.99;615977.69;0
220551;PI;Juazeiro do Piauí;4828;383953.61;0;0;1592445.45;0;0;0;434792.34;23855.08;1850868.33;0;4862810.20;92985.10;0;615386.20;800.00;229914.00;8939.42;0;47616.50;0;0;0;7450.00;128734.57;19944.76;57991.19;0;0
261010;PE;Palmeirina;8191;624529.41;0;0;3383382.65;0;0;0;558345.89;1958438.40;4089662.73;0;8346917.97;243529.66;0;1549222.20;0;0;391.02;45863.70;194105.69;0;0;0;0;0;197255.40;0;423193.45;0
221060;PI;São Raimundo Nonato;33400;1433592.87;0;0;7541298.34;0;0;0;3350943.96;693421.05;13101574.21;0;22076798.92;118500.00;0;1984397.92;7900.00;4540603.64;31940.00;0;531269.84;0;0;52205.66;8000.00;247188.06;104270.66;323537.09;877886.42;0
500570;MS;Naviraí;49827;4645234.11;1309601.40;0;21386776.31;0;0;0;3612285.16;3064724.94;30348510.71;0;32905134.76;2944904.81;0;3726365.39;388128.44;487276.78;2078185.12;0;330.00;0;0;0;0;2129123.64;1994022.86;1412647.79;1722134.53;3838219.70
171820;TO;Porto Nacional;51501;3446035.33;0;0;8245390.25;0;1340654.37;0;3530552.52;246497.58;20651697.16;0;22174107.67;2113216.86;0;10257251.31;791770.52;8776.56;1329982.40;0;1896473.56;0;0;2350233.83;0;0;3002433.09;1254657.79;553357.80;0
171360;TO;Monte do Carmo;7286;482905.83;0;0;1175640.24;0;9168.60;0;454628.16;419020.77;2857760.19;77888.36;4489224.37;223562.47;0;566364.23;0;121449.24;152990.32;0;157338.56;0;0;0;2763.17;0;512003.69;34980.37;0;0
291310;BA;Ibititá;18752;1094697.84;0;0;3996677.68;0;0;0;1336936.96;0;5833975.85;0;12942085.69;122628.03;0;2486940.80;0;5710.00;0;0;479630.41;0;0;0;4000.00;0;916701.87;116979.36;485897.64;0
