#"CodIBGE";"uf";"nome caixa";"populacao";"legislativa";"judiciária";"essencial à justiça";"administração";"defesa nacional";"segurança pública";"relações exteriores";"assistência social";"previdência social";"saúde";"trabalho";"educação";"cultura";"direitos da cidadania";"urbanismo";"habitação";"saneamento";"gestão ambiental";"ciência e tecnologia";"agricultura";"organização agrária";"indústria";"comércio e serviços";"comunicações";"energia";"transporte";"desporto e lazer";"encargos especiais"
110001;"RO";"ALTA FLORESTA D'OESTE";24577,00;R$ 1044000,00;R$ 0,00;R$ 0,00;R$ 5593464,96;R$ 0,00;R$ 0,00;R$ 0,00;R$ 526498,02;R$ 0,00;R$ 7982311,23;R$ 0,00;R$ 8580643,14;R$ 0,00;R$ 0,00;R$ 2212053,15;R$ 0,00;R$ 74157,72;R$ 0,00;R$ 0,00;R$ 69446,89;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1171846,19;R$ 114065,70;R$ 387528,98
110002;"RO";"ARIQUEMES";84581,00;R$ 3732000,00;R$ 0,00;R$ 0,00;R$ 10915775,85;R$ 0,00;R$ 1443913,28;R$ 0,00;R$ 3607321,49;R$ 0,00;R$ 23098183,97;R$ 0,00;R$ 34450894,90;R$ 573376,20;R$ 0,00;R$ 18973676,60;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 4184404,95;R$ 0,00;R$ 0,00;R$ 200000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 298051,42;R$ 2935652,23
110003;"RO";"CABIXI";6777,00;R$ 386521,62;R$ 0,00;R$ 0,00;R$ 1747141,93;R$ 0,00;R$ 0,00;R$ 0,00;R$ 394223,03;R$ 0,00;R$ 1792456,58;R$ 0,00;R$ 2545822,82;R$ 3480,00;R$ 0,00;R$ 58876,30;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 79806,49;R$ 1858787,20;R$ 263379,05;R$ 211253,93
110004;"RO";"CACOAL";78263,00;R$ 3549970,30;R$ 0,00;R$ 0,00;R$ 19754277,63;R$ 0,00;R$ 10897,68;R$ 0,00;R$ 2674677,64;R$ 0,00;R$ 21728889,46;R$ 0,00;R$ 18835916,15;R$ 289107,07;R$ 0,00;R$ 1491629,19;R$ 1323037,87;R$ 4799062,66;R$ 2063147,82;R$ 0,00;R$ 1455617,84;R$ 0,00;R$ 0,00;R$ 133951,98;R$ 599548,77;R$ 0,00;R$ 2098055,93;R$ 2136271,63;R$ 3161203,89
110005;"RO";"CEREJEIRAS";16784,00;R$ 929764,08;R$ 0,00;R$ 0,00;R$ 6174671,83;R$ 0,00;R$ 0,00;R$ 0,00;R$ 921976,43;R$ 0,00;R$ 2757540,38;R$ 0,00;R$ 4751077,17;R$ 80129,88;R$ 0,00;R$ 1794920,29;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 717004,51;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1351653,56;R$ 265881,91;R$ 565131,52
110006;"RO";"COLORADO DO OESTE";18216,00;R$ 728836,05;R$ 0,00;R$ 0,00;R$ 4665240,03;R$ 0,00;R$ 0,00;R$ 0,00;R$ 409923,72;R$ 0,00;R$ 3618396,90;R$ 0,00;R$ 4385066,65;R$ 52006,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 404802,75;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 15380,90;R$ 1656740,50;R$ 261758,41;R$ 678572,34
110007;"RO";"CORUMBIARA";9761,00;R$ 499705,55;R$ 0,00;R$ 0,00;R$ 2911084,76;R$ 0,00;R$ 0,00;R$ 0,00;R$ 103328,86;R$ 0,00;R$ 2572168,93;R$ 0,00;R$ 3067105,62;R$ 0,00;R$ 0,00;R$ 81100,74;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 79949,26;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1335090,49;R$ 7467,67;R$ 234314,42
110008;"RO";"COSTA MARQUES";13973,00;R$ 539727,12;R$ 0,00;R$ 0,00;R$ 2997667,63;R$ 0,00;R$ 173360,32;R$ 0,00;R$ 100622,32;R$ 0,00;R$ 3970474,46;R$ 0,00;R$ 6943937,59;R$ 0,00;R$ 0,00;R$ 72300,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 373390,03;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 518089,68;R$ 1235570,76;R$ 78658,00;R$ 209997,73
110009;"RO";"ESPIGAO D'OESTE";28617,00;R$ 1133968,21;R$ 0,00;R$ 0,00;R$ 9085337,10;R$ 0,00;R$ 32169,70;R$ 0,00;R$ 894554,59;R$ 2036053,63;R$ 8666134,91;R$ 0,00;R$ 7643968,25;R$ 693007,67;R$ 0,00;R$ 2960352,15;R$ 138013,05;R$ 0,00;R$ 10787,50;R$ 0,00;R$ 1262737,80;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 348900,00;R$ 692324,44;R$ 113232,15
110010;"RO";"GUAJARA-MIRIM";40541,00;R$ 1638201,14;R$ 294447,40;R$ 0,00;R$ 16145069,57;R$ 0,00;R$ 0,00;R$ 0,00;R$ 952569,72;R$ 0,00;R$ 4555482,41;R$ 411995,01;R$ 8663875,84;R$ 44641,20;R$ 0,00;R$ 1294818,06;R$ 0,00;R$ 29400,00;R$ 61212,49;R$ 0,00;R$ 95600,34;R$ 0,00;R$ 0,00;R$ 3000,00;R$ 0,00;R$ 0,00;R$ 569940,04;R$ 10300,00;R$ 677533,01
