#"CodIBGE";"uf";"nome caixa";"populacao";"legislativa";"judiciária";"essencial à justiça";"administração";"defesa nacional";"segurança pública";"relações exteriores";"assistência social";"previdência social";"saúde";"trabalho";"educação";"cultura";"direitos da cidadania";"urbanismo";"habitação";"saneamento";"gestão ambiental";"ciência e tecnologia";"agricultura";"organização agrária";"indústria";"comércio e serviços";"comunicações";"energia";"transporte";"desporto e lazer";"encargos especiais"
110013;"RO";"MACHADINHO D'OESTE";29711,00;R$ 808003,85;R$ 0,00;R$ 0,00;R$ 2361806,56;R$ 0,00;R$ 0,00;R$ 0,00;R$ 788154,73;R$ 371432,16;R$ 5403581,75;R$ 0,00;R$ 11273921,64;R$ 0,00;R$ 0,00;R$ 2584210,13;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 951511,78;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1550561,00;R$ 0,00;R$ 0,00
110014;"RO";"NOVA BRASILANDIA D'OESTE";18005,00;R$ 567032,08;R$ 0,00;R$ 0,00;R$ 2024971,25;R$ 0,00;R$ 0,00;R$ 0,00;R$ 727215,47;R$ 757036,94;R$ 4189872,46;R$ 0,00;R$ 5332441,72;R$ 26162,99;R$ 0,00;R$ 1711829,07;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 414172,36;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1801437,89;R$ 34089,60;R$ 77712,30
110015;"RO";"OURO PRETO DO OESTE";40735,00;R$ 1291018,90;R$ 0,00;R$ 0,00;R$ 5053063,43;R$ 0,00;R$ 0,00;R$ 0,00;R$ 852498,97;R$ 745415,18;R$ 7222392,07;R$ 0,00;R$ 5762789,12;R$ 118260,00;R$ 0,00;R$ 729199,95;R$ 0,00;R$ 0,00;R$ 77873,80;R$ 0,00;R$ 432893,20;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 14037,50;R$ 453465,62;R$ 56777,36;R$ 1081160,54
110018;"RO";"PIMENTA BUENO";31415,00;R$ 1255982,00;R$ 0,00;R$ 0,00;R$ 4314146,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1464547,00;R$ 349935,00;R$ 6023357,00;R$ 0,00;R$ 5895874,00;R$ 89523,00;R$ 0,00;R$ 2281150,00;R$ 0,00;R$ 0,00;R$ 49823,00;R$ 0,00;R$ 480348,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 977228,00;R$ 326278,00;R$ 2223055,00
110020;"RO";"PORTO VELHO";380974,0;R$ 10627358,36;R$ 0,00;R$ 0,00;R$ 110615029,60;R$ 0,00;R$ 0,00;R$ 0,00;R$ 8180403,74;R$ 11334594,97;R$ 67982969,78;R$ 1853151,80;R$ 28575336,81;R$ 598707,10;R$ 17270,76;R$ 25451270,92;R$ 1839233,20;R$ 0,00;R$ 1233266,09;R$ 0,00;R$ 3285674,33;R$ 0,00;R$ 0,00;R$ 215746,74;R$ 0,00;R$ 5652713,40;R$ 3467186,14;R$ 1821087,46;R$ 18554793,80
110025;"RO";"PRESIDENTE MEDICI";25313,00;R$ 714465,81;R$ 0,00;R$ 0,00;R$ 5594940,57;R$ 0,00;R$ 0,00;R$ 0,00;R$ 302498,52;R$ 0,00;R$ 2627222,25;R$ 0,00;R$ 4793887,80;R$ 64945,62;R$ 0,00;R$ 478587,57;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 155480,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1060478,58;R$ 400087,17;R$ 535958,28
110026;"RO";"RIO CRESPO";3603,00;R$ 302990,00;R$ 0,00;R$ 0,00;R$ 1264326,70;R$ 0,00;R$ 0,00;R$ 0,00;R$ 55489,90;R$ 8800,00;R$ 1039979,93;R$ 0,00;R$ 1774687,79;R$ 4000,00;R$ 0,00;R$ 48257,43;R$ 0,00;R$ 0,00;R$ 3400,00;R$ 0,00;R$ 292049,64;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 336906,72;R$ 26047,97;R$ 80726,12
110028;"RO";"ROLIM DE MOURA";49907,00;R$ 1591657,01;R$ 0,00;R$ 0,00;R$ 5962993,61;R$ 0,00;R$ 500000,00;R$ 0,00;R$ 705858,89;R$ 904864,52;R$ 12891476,76;R$ 0,00;R$ 7901021,97;R$ 687190,16;R$ 357425,09;R$ 4349583,83;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1368925,97;R$ 0,00;R$ 249513,23;R$ 4577,00;R$ 48800,00;R$ 0,00;R$ 1314663,04;R$ 1268455,29;R$ 1150376,05
110029;"RO";"SANTA LUZIA D'OESTE";11067,00;R$ 424168,25;R$ 0,00;R$ 0,00;R$ 2376064,02;R$ 0,00;R$ 0,00;R$ 0,00;R$ 210341,37;R$ 0,00;R$ 2197109,07;R$ 0,00;R$ 2178797,75;R$ 0,00;R$ 0,00;R$ 289946,87;R$ 79116,24;R$ 721381,68;R$ 0,00;R$ 0,00;R$ 411228,27;R$ 0,00;R$ 0,00;R$ 4838,41;R$ 0,00;R$ 0,00;R$ 736902,74;R$ 66657,41;R$ 0,00
110030;"RO";"VILHENA";65807,00;R$ 3098739,19;R$ 0,00;R$ 0,00;R$ 18865635,70;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1596180,19;R$ 206732,86;R$ 19065905,27;R$ 0,00;R$ 14824481,88;R$ 193671,24;R$ 0,00;R$ 4208000,74;R$ 0,00;R$ 240924,53;R$ 1200,00;R$ 0,00;R$ 502299,45;R$ 0,00;R$ 8000,00;R$ 0,00;R$ 0,00;R$ 469889,92;R$ 2576826,78;R$ 1301718,77;R$ 1546271,10
