0;GAUSSIAN-MODEL;SVM;COP;OPTICSOF
1;Gavião - BA;São Bernardo do Campo - SP;Gavião - BA;Senador Elói de Souza - RN
2;Contagem - MG;Porto Alegre - RS;Dois Irmãos do Buriti - MS;Apicum-Açu - MA
3;Dois Irmãos do Buriti - MS;São Paulo - SP;São Bernardo do Campo - SP;São Bernardo do Campo - SP
4;São Bernardo do Campo - SP;Senador Elói de Souza - RN;Estrela d'Oeste - SP;Gavião - BA
5;Estrela d'Oeste - SP;Gavião - BA;Senador Elói de Souza - RN;Farroupilha - RS
6;Senador Elói de Souza - RN;Contagem - MG;Ribeirão do Largo - BA;Contagem - MG
7;Ribeirão do Largo - BA;Campinas - SP;Porto Alegre - RS;Ribeirão do Largo - BA
8;Porto Alegre - RS;Santo André - SP;Mossâmedes - GO;Cristalina - GO
9;Mossâmedes - GO;Senador Cortes - MG;Apicum-Açu - MA;Porto Alegre - RS
10;Apicum-Açu - MA;Galinhos - RN;São Paulo - SP;Santo André - SP
