LOF 2015 REL NOR;LOF 2015 SUA NOR
40,01 Barros Cassal - RS;5,79 Barros Cassal - RS
17,68 Hulha Negra - RS;4,71 Vargem Grande do Sul - SP
12,97 Lajeado - TO;4,35 Manfrinópolis - PR
10,39 Natividade - RJ;4,33 Cunha - SP
10,12 Timbaúba dos Batistas - RN;4,06 Gavião - BA
9,33 Arraial do Cabo - RJ;3,87 Anchieta - ES
8,11 Adolfo - SP;3,47 Brotas de Macaúbas - BA
7,61 Santo Antônio do Palma - RS;3,44 Ribeirão do Largo - BA
7,59 Gavião - BA;3,4 São Bernardo do Campo - SP
7,51 Candói - PR;3,23 Rio dos Índios - RS
